ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000001626	7	117105838	117356025
ENSG00000010438	9	33750515	33799230
ENSG00000015413	16	89679716	89704839
ENSG00000036828	3	121902530	122005342
ENSG00000080293	2	120197419	120282070
ENSG00000091704	7	130020180	130027955
ENSG00000095981	6	39282474	39290744
ENSG00000100079	22	37966255	37978623
ENSG00000100665	14	95027428	95036250
ENSG00000103375	16	25227052	25240261
ENSG00000104760	8	17721889	17767874
ENSG00000108849	17	42018172	42019836
ENSG00000112164	6	39016574	39055519
ENSG00000114204	3	167159577	167196792
ENSG00000115263	2	162999392	163008914
ENSG00000115386	2	79347488	79350545
ENSG00000116833	1	199996730	200146552
ENSG00000118271	18	29171689	29178974
ENSG00000121351	12	21507893	21532912
ENSG00000124159	20	43922085	43937169
ENSG00000124232	20	43935491	43945803
ENSG00000124713	6	42928496	42931618
ENSG00000126259	19	36346763	36358011
ENSG00000130675	7	156786745	156803345
ENSG00000134193	1	120336641	120354283
ENSG00000134873	13	96085858	96232013
ENSG00000136698	2	131350339	131357123
ENSG00000137392	6	35762759	35765088
ENSG00000138079	2	44502599	44548633
ENSG00000138161	10	124591665	124639146
ENSG00000138472	3	108626639	108672742
ENSG00000138798	4	110834040	110933422
ENSG00000139055	12	15066969	15092016
ENSG00000139515	13	28494157	28500368
ENSG00000139540	12	56623833	56631630
ENSG00000141086	16	67961543	67966317
ENSG00000142615	1	15783223	15798586
ENSG00000142677	1	24446261	24469611
ENSG00000142789	1	22328149	22339032
ENSG00000143954	2	79252812	79255631
ENSG00000145642	5	63986135	64013917
ENSG00000146755	7	72726535	72742085
ENSG00000148735	10	115511213	115543188
ENSG00000149735	11	64701943	64703360
ENSG00000152254	2	169757750	169766505
ENSG00000153002	3	148508889	148577974
ENSG00000157005	3	187386694	187388187
ENSG00000157315	16	69377151	69385712
ENSG00000158014	1	26363743	26372624
ENSG00000158516	7	129906667	129929638
ENSG00000161270	19	36316866	36360189
ENSG00000162438	1	15764935	15775737
ENSG00000162482	1	19609052	19615744
ENSG00000162877	1	205797150	205819260
ENSG00000163631	4	74262831	74287129
ENSG00000164049	3	48413709	48442666
ENSG00000164266	5	147204131	147211349
ENSG00000164756	8	117962512	118188953
ENSG00000165125	7	142568956	142583507
ENSG00000165556	13	28536274	28545276
ENSG00000167748	19	51322404	51327043
ENSG00000168267	10	23481256	23483181
ENSG00000168925	16	75252898	75258822
ENSG00000168928	16	75237994	75241083
ENSG00000169347	16	20320894	20339130
ENSG00000169856	15	53049637	53083273
ENSG00000169903	3	149191761	149221068
ENSG00000170835	9	135937365	135947248
ENSG00000170890	12	120759914	120765592
ENSG00000172016	2	79384132	79386879
ENSG00000172023	2	79312156	79315145
ENSG00000174876	1	104230037	104239302
ENSG00000175535	10	118305443	118327367
ENSG00000178821	1	1849029	1850712
ENSG00000178828	1	20140523	20141771
ENSG00000179674	3	160394948	160396233
ENSG00000179751	19	39693471	39694906
ENSG00000180535	7	97840739	97842291
ENSG00000181626	18	12093852	12129748
ENSG00000184945	2	241631262	241637900
ENSG00000184956	11	1012821	1036706
ENSG00000185176	2	241615835	241622323
ENSG00000185615	16	333152	337215
ENSG00000186825	2	132552534	132559234
ENSG00000187021	10	118349897	118368687
ENSG00000187733	1	104293028	104301312
ENSG00000189377	19	42932440	42947200
ENSG00000196748	6	35744371	35747329
ENSG00000197753	6	35773070	35801651
ENSG00000204140	6	35748794	35761452
ENSG00000204983	7	142457319	142460923
ENSG00000205502	15	62455734	62457482
ENSG00000206013	11	298200	299526
ENSG00000215704	1	15792404	15817895
ENSG00000219073	1	22303514	22325135
ENSG00000237763	1	104197912	104207173
ENSG00000240038	1	104096437	104122156
ENSG00000243480	1	104159999	104168402
ENSG00000243709	1	226073982	226099082
ENSG00000254647	11	2181009	2182571
