ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000011422	19	44150247	44174699
ENSG00000013306	17	42396993	42402238
ENSG00000027869	1	156776035	156786654
ENSG00000066926	18	55215515	55254004
ENSG00000082146	2	202252581	202345569
ENSG00000090013	19	40953696	40971747
ENSG00000099804	19	531714	542097
ENSG00000100225	22	32870663	32894818
ENSG00000100226	22	39101728	39134304
ENSG00000100325	22	30184597	30234271
ENSG00000103148	16	134273	188859
ENSG00000104903	19	13209847	13213975
ENSG00000105374	19	51874860	51875969
ENSG00000105701	19	18642561	18654887
ENSG00000110046	11	64662007	64684722
ENSG00000115523	2	85912298	85925977
ENSG00000117281	1	145695798	145715614
ENSG00000121104	17	47787694	47866542
ENSG00000123908	8	141541264	141645718
ENSG00000124098	20	54933971	54943719
ENSG00000132002	19	14625582	14640582
ENSG00000132819	20	55966463	55984389
ENSG00000133606	7	140152840	140179369
ENSG00000135245	7	128095903	128098472
ENSG00000136732	2	127413509	127454246
ENSG00000136819	9	132589569	132598142
ENSG00000139187	12	9102640	9163356
ENSG00000143774	1	228327663	228336685
ENSG00000147454	8	23386318	23432976
ENSG00000153814	7	27870192	28220362
ENSG00000159346	1	202909951	202927700
ENSG00000161570	17	34198495	34207797
ENSG00000166947	15	43398423	43513481
ENSG00000167671	19	4444996	4457819
ENSG00000167996	11	61727190	61735132
ENSG00000168274	6	26217165	26217711
ENSG00000168298	6	26156559	26157343
ENSG00000169429	4	74606223	74609433
ENSG00000170315	17	16284112	16286059
ENSG00000171552	20	30252255	30311792
ENSG00000172232	19	825097	832017
ENSG00000172331	7	134331560	134364565
ENSG00000172543	11	65647280	65651212
ENSG00000173295	8	8086117	8102387
ENSG00000173762	17	80272744	80275478
ENSG00000173868	17	47300724	47308128
ENSG00000181788	3	150458914	150481264
ENSG00000182512	14	95999840	96011061
ENSG00000183558	1	149813505	149814478
ENSG00000184260	1	149858525	149858961
ENSG00000187010	1	25598884	25656936
ENSG00000187837	6	26055968	26056699
ENSG00000188042	2	235401685	235405697
ENSG00000188536	16	222846	223709
ENSG00000188672	1	25688740	25756683
ENSG00000196565	11	5274420	5667019
ENSG00000197540	19	544034	549919
ENSG00000197697	6	26183958	26184454
ENSG00000198876	9	34086385	34127397
ENSG00000203583	22	39128914	39129588
ENSG00000203814	1	149754245	149783928
ENSG00000206172	16	226679	227521
ENSG00000211772	7	142498725	142500432
ENSG00000213931	11	5289582	5526847
ENSG00000213934	11	5269313	5271122
ENSG00000218018	20	55959216	55968118
ENSG00000221983	19	18682540	18688360
ENSG00000223609	11	5253908	5256600
ENSG00000227376	11	77445520	77446071
ENSG00000229512	11	1784239	1784979
ENSG00000229598	22	39118748	39119510
ENSG00000232187	13	23270162	23270713
ENSG00000235105	1	48901639	48902895
ENSG00000235169	1	3689352	3692546
ENSG00000239839	8	6873391	6875823
ENSG00000240758	7	128095991	128109251
ENSG00000242960	3	72978195	72978744
ENSG00000244265	3	150479724	150480325
ENSG00000244734	11	5246694	5250625
ENSG00000248223	5	17354019	17355008
ENSG00000249790	12	8940853	8948385
ENSG00000250751	17	47785696	47797422
ENSG00000251992	18	47340503	47340646
ENSG00000256269	11	118955576	118964259
ENSG00000257034	22	39127778	39128531
ENSG00000265401	17	16285466	16285983
ENSG00000265625	17	27971814	27972865
ENSG00000273320	7	105925926	105926772
