ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000007306	19	42177235	42210895
ENSG00000016602	1	87012761	87046437
ENSG00000057149	18	61322431	61329197
ENSG00000081277	1	201252580	201302121
ENSG00000087128	4	69313167	69363322
ENSG00000088726	3	12775024	12810956
ENSG00000092295	14	24718320	24733638
ENSG00000105141	19	15160195	15169104
ENSG00000105427	19	42891171	42894439
ENSG00000105668	19	36157715	36169367
ENSG00000106031	7	27233122	27239725
ENSG00000108839	17	6899384	6914055
ENSG00000109101	17	26833261	26865914
ENSG00000109255	4	56461396	56502865
ENSG00000111405	12	48103517	48119350
ENSG00000121552	3	122044091	122060819
ENSG00000121742	13	20796110	20806534
ENSG00000124102	20	43803517	43805185
ENSG00000124466	19	43964939	43969812
ENSG00000125998	20	33873534	33880204
ENSG00000126233	8	143822362	143823829
ENSG00000128714	2	176957619	176960666
ENSG00000132746	11	67429633	67448671
ENSG00000133710	5	147405246	147516852
ENSG00000134755	18	28645940	28682378
ENSG00000134757	18	29027758	29058665
ENSG00000134760	18	28898052	28936992
ENSG00000134762	18	28569974	28622781
ENSG00000136155	13	78109809	78219398
ENSG00000136694	2	113763038	113765621
ENSG00000137440	4	15937192	15940363
ENSG00000137699	11	119981983	120056237
ENSG00000137975	1	86889769	86922241
ENSG00000140519	15	89998680	90039844
ENSG00000142623	1	17531621	17572500
ENSG00000143320	1	156669398	156675608
ENSG00000143536	1	152381719	152386739
ENSG00000143546	1	153362508	153363664
ENSG00000143556	1	153430220	153433177
ENSG00000145879	5	147691982	147695485
ENSG00000147689	8	124191200	124222314
ENSG00000150165	10	47157983	47174093
ENSG00000153802	4	68686594	68749750
ENSG00000155269	4	8560452	8621486
ENSG00000155918	6	150339470	150346668
ENSG00000158055	1	24645812	24690972
ENSG00000159182	17	46799084	46799884
ENSG00000159527	1	153270338	153283194
ENSG00000163207	1	152881021	152884362
ENSG00000163209	1	152974223	152976332
ENSG00000163216	1	153012201	153014407
ENSG00000163218	1	153302596	153321316
ENSG00000163220	1	153330330	153333503
ENSG00000164520	6	150204511	150219238
ENSG00000164687	8	82192598	82197012
ENSG00000165390	10	48255253	48279200
ENSG00000165474	13	20761609	20767037
ENSG00000165794	14	21467414	21470030
ENSG00000166535	12	8975068	9039597
ENSG00000166634	18	61223393	61234244
ENSG00000167656	8	143866296	143868008
ENSG00000167759	19	51559463	51568371
ENSG00000167768	12	53068520	53074191
ENSG00000169469	1	153003678	153005376
ENSG00000169474	1	152956557	152958289
ENSG00000169509	1	152486978	152488486
ENSG00000170178	2	176964458	176966408
ENSG00000170423	12	53231588	53242876
ENSG00000170426	12	57316938	57328189
ENSG00000170465	12	52862300	52867569
ENSG00000170477	12	53200333	53208335
ENSG00000171401	17	39657233	39661957
ENSG00000172382	16	2762419	2770552
ENSG00000176092	1	26648350	26680621
ENSG00000178363	10	5566924	5568225
ENSG00000178934	19	39279851	39282389
ENSG00000183347	1	89829617	89852020
ENSG00000185479	12	52840435	52845910
ENSG00000185873	4	69092371	69111438
ENSG00000185966	1	152538130	152539248
ENSG00000186081	12	52908359	52914471
ENSG00000186474	19	51532348	51538486
ENSG00000186832	17	39766030	39772151
ENSG00000187054	4	68775103	68829858
ENSG00000188100	10	88780063	88784487
ENSG00000188373	10	85933494	85945050
ENSG00000188505	19	39687601	39692524
ENSG00000188508	19	35978226	35986460
ENSG00000189001	19	36014269	36019253
ENSG00000189051	17	8294022	8301144
ENSG00000197641	18	61254223	61271873
ENSG00000198074	7	134212344	134226160
ENSG00000198092	4	68918916	68995598
ENSG00000204021	10	90484301	90512543
ENSG00000204544	6	30951495	30957680
ENSG00000205420	12	52880958	52887041
ENSG00000206073	18	61304493	61311532
ENSG00000226894	4	69054242	69083798
ENSG00000241794	1	153028589	153030013
ENSG00000256812	16	55600584	55601599
