ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000064195	17	48067369	48072588
ENSG00000077498	11	88910620	89028927
ENSG00000091128	7	107663993	107770801
ENSG00000101446	20	44141101	44144264
ENSG00000102891	16	56598961	56602869
ENSG00000105141	19	15160195	15169104
ENSG00000109101	17	26833261	26865914
ENSG00000110484	11	62037627	62040628
ENSG00000115488	2	233897382	233899767
ENSG00000116031	2	71057347	71062952
ENSG00000120215	9	5890802	5910606
ENSG00000124935	11	62009682	62012280
ENSG00000125571	2	113670548	113676459
ENSG00000131686	1	9005926	9035151
ENSG00000134760	18	28898052	28936992
ENSG00000134762	18	28569974	28622781
ENSG00000134765	18	28709199	28742819
ENSG00000136688	2	113730780	113743242
ENSG00000136695	2	113816215	113822959
ENSG00000136696	2	113779668	113810444
ENSG00000136697	2	113825547	113833427
ENSG00000137709	11	120107349	120190653
ENSG00000143520	1	152321211	152332482
ENSG00000143631	1	152274651	152297679
ENSG00000144452	2	215796266	216003151
ENSG00000153294	6	47653600	47689757
ENSG00000158477	1	158223927	158228059
ENSG00000158786	1	20465819	20476879
ENSG00000159337	15	42359207	42386752
ENSG00000159455	1	152647771	152659877
ENSG00000159516	1	153122058	153123345
ENSG00000161249	19	35988122	36004560
ENSG00000161634	12	55038375	55042277
ENSG00000162040	16	1961464	1968441
ENSG00000163202	1	152551857	152552980
ENSG00000165794	14	21467414	21470030
ENSG00000165953	14	94953611	94984181
ENSG00000166396	18	61420169	61472604
ENSG00000166634	18	61223393	61234244
ENSG00000167767	12	52562780	52585784
ENSG00000167768	12	53068520	53074191
ENSG00000167769	19	6306153	6333640
ENSG00000167914	17	38119226	38134019
ENSG00000169035	19	51479729	51487355
ENSG00000170426	12	57316938	57328189
ENSG00000170454	12	52817854	52828309
ENSG00000172155	1	152769227	152770657
ENSG00000172551	12	55224303	55252177
ENSG00000172867	12	53038342	53045948
ENSG00000173239	10	90562487	90580303
ENSG00000173338	11	65360326	65363467
ENSG00000175121	20	43738093	43743813
ENSG00000175315	11	65779312	65780976
ENSG00000178372	10	5540658	5541533
ENSG00000178597	4	7432022	7436700
ENSG00000178934	19	39279851	39282389
ENSG00000179148	17	7999218	8022365
ENSG00000179477	17	7975954	7991021
ENSG00000184459	22	32809834	32860471
ENSG00000185640	12	53215194	53228079
ENSG00000185966	1	152538130	152539248
ENSG00000186049	12	53001354	53012343
ENSG00000186207	1	152483320	152484653
ENSG00000186226	1	152758690	152760902
ENSG00000186395	17	38974369	38978847
ENSG00000186844	1	152799949	152800573
ENSG00000186847	17	39738531	39743173
ENSG00000187170	1	152680636	152681967
ENSG00000187173	1	152670840	152671918
ENSG00000187180	1	152647771	152649050
ENSG00000187223	1	152635872	152637135
ENSG00000188089	15	42273780	42343388
ENSG00000188393	12	10051272	10084980
ENSG00000188508	19	35978226	35986460
ENSG00000188624	19	46623328	46627931
ENSG00000188910	1	35246790	35251970
ENSG00000189001	19	36014269	36019253
ENSG00000189182	12	53083410	53097247
ENSG00000189433	1	35225342	35229325
ENSG00000196407	1	151819739	151826173
ENSG00000196734	1	152784447	152785585
ENSG00000197084	1	152777311	152779107
ENSG00000197953	3	151451704	151479127
ENSG00000198854	1	152691998	152692905
ENSG00000203782	1	153232176	153234598
ENSG00000203785	1	153065611	153078660
ENSG00000203786	1	152730506	152734529
ENSG00000203837	10	118187379	118237469
ENSG00000204021	10	90484301	90512543
ENSG00000204421	6	31686425	31689622
ENSG00000204539	6	31082867	31088223
ENSG00000204542	6	31079000	31080336
ENSG00000205076	19	39261611	39264132
ENSG00000213927	9	34661877	34664045
ENSG00000215853	1	152126071	152131704
ENSG00000235942	1	152815344	152816459
ENSG00000240386	1	152748848	152749445
ENSG00000244617	2	70187226	70189397
ENSG00000255501	11	105008448	105010453
ENSG00000256812	16	55600584	55601599
