ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000007516	16	1383602	1399439
ENSG00000013293	3	170177372	170303863
ENSG00000029559	4	88720733	88733074
ENSG00000053438	20	36149617	36152092
ENSG00000054356	2	220154345	220174370
ENSG00000060709	12	130880682	131200826
ENSG00000064835	3	87308554	87325737
ENSG00000069011	5	134363425	134370503
ENSG00000069482	11	68451247	68458643
ENSG00000072182	2	220378892	220403494
ENSG00000089199	20	5892076	5906007
ENSG00000091536	17	18012020	18083116
ENSG00000091664	11	22359643	22401049
ENSG00000104826	19	49519237	49520338
ENSG00000106128	7	30978284	31032869
ENSG00000106436	7	101256605	101272576
ENSG00000106633	7	44183872	44237769
ENSG00000107187	9	139088096	139096955
ENSG00000109163	4	68605046	68620078
ENSG00000115138	2	25383722	25391772
ENSG00000119973	10	120352916	120355160
ENSG00000121853	3	172162923	172166246
ENSG00000123307	12	55413729	55423798
ENSG00000124302	19	34112861	34264414
ENSG00000128564	7	100805790	100808874
ENSG00000129990	19	55682567	55691809
ENSG00000130477	19	17712137	17799401
ENSG00000130643	10	135138927	135150475
ENSG00000131808	11	30252563	30256808
ENSG00000132026	19	12936292	12946242
ENSG00000132872	18	40847843	40857615
ENSG00000133636	12	86268073	86276770
ENSG00000134200	1	115572415	115576941
ENSG00000135346	6	87795216	87804824
ENSG00000136487	17	61957578	61959295
ENSG00000136488	17	61972275	61974021
ENSG00000136698	2	131350339	131357123
ENSG00000138083	2	45168902	45173216
ENSG00000138741	4	122800182	122872909
ENSG00000139219	12	48366748	48398269
ENSG00000139352	12	103351464	103354294
ENSG00000143340	1	179712298	179785333
ENSG00000144191	2	98962618	99015064
ENSG00000146360	6	110299514	110301921
ENSG00000149295	11	113280318	113346413
ENSG00000152093	2	131278770	131285579
ENSG00000152954	6	24126350	24155128
ENSG00000153789	16	85131965	85146114
ENSG00000157542	21	38979678	39288749
ENSG00000159248	15	35043233	35047166
ENSG00000159409	1	151674880	151689290
ENSG00000164411	6	87992696	88038996
ENSG00000165623	10	13263767	13276334
ENSG00000166006	12	75433857	75603648
ENSG00000166573	18	74962505	74980858
ENSG00000166922	15	32933877	32989299
ENSG00000167011	7	100813774	100823557
ENSG00000167654	19	3879862	3928077
ENSG00000169208	14	22037934	22038875
ENSG00000169436	8	139600478	139926249
ENSG00000171435	12	117890817	118406788
ENSG00000171450	2	219824377	219826876
ENSG00000171951	2	224461658	224467221
ENSG00000172179	6	22287480	22297730
ENSG00000172568	5	156768608	156772729
ENSG00000173302	2	131486643	131487909
ENSG00000173404	20	20348765	20351590
ENSG00000173452	7	19758933	19813221
ENSG00000173976	19	3769087	3772233
ENSG00000174417	8	110098850	110131813
ENSG00000174948	3	154055461	154147504
ENSG00000175267	16	22103859	22168287
ENSG00000175325	5	177419236	177423243
ENSG00000177511	18	55018044	55038962
ENSG00000178602	2	241078446	241083979
ENSG00000180264	9	127213423	127239379
ENSG00000184302	14	60975669	60979568
ENSG00000186188	10	95326422	95364237
ENSG00000186190	20	31643230	31661434
ENSG00000186191	20	31667450	31699557
ENSG00000188162	11	17568920	17668697
ENSG00000198049	1	206223976	206231639
ENSG00000198183	20	31823801	31831115
ENSG00000198535	15	62359176	62363116
ENSG00000198576	8	143692405	143696833
ENSG00000203756	6	130152389	130182692
ENSG00000204414	17	61986957	61996198
ENSG00000204711	9	72435709	72521148
ENSG00000204889	17	39133968	39143387
ENSG00000205649	4	70894130	70902255
ENSG00000206384	3	130279178	130396999
ENSG00000213937	16	3062457	3064506
ENSG00000232258	16	8619502	8622304
ENSG00000253457	8	30496117	30503581
ENSG00000258986	14	104941015	105071984
ENSG00000259384	17	61994560	61996179
ENSG00000260001	19	7981030	7983982
ENSG00000260903	20	30555805	30591190
ENSG00000269891	10	98757795	99052413
ENSG00000272268	2	6111712	6114374
