ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000004838	3	50378541	50384283
ENSG00000010318	3	52444673	52457657
ENSG00000092345	3	16628299	16711813
ENSG00000116721	1	12851546	12856777
ENSG00000117148	1	18081808	18153558
ENSG00000118245	2	217724181	217724787
ENSG00000120952	1	12916941	12921764
ENSG00000121446	1	182419256	182529734
ENSG00000121634	1	147374946	147381393
ENSG00000131379	3	14716606	14814541
ENSG00000131914	1	26737269	26756213
ENSG00000134249	1	120436156	120439118
ENSG00000137948	1	92414928	92479983
ENSG00000138068	2	37394963	37423741
ENSG00000138483	3	107096188	107097481
ENSG00000142698	1	34632484	34684732
ENSG00000143006	1	53925072	53933161
ENSG00000143194	1	166958346	166991451
ENSG00000143452	1	150670536	150693364
ENSG00000143552	1	153965161	154127592
ENSG00000143994	2	27346682	27353680
ENSG00000152430	2	198591603	198651486
ENSG00000154007	1	76384558	76398116
ENSG00000154479	2	170501935	170550943
ENSG00000155754	2	202352148	202483901
ENSG00000157060	1	182869000	182922660
ENSG00000157093	3	42438570	42452092
ENSG00000157330	1	12806163	12823847
ENSG00000160838	1	156890442	156902886
ENSG00000162592	1	3668962	3688209
ENSG00000162641	1	109358520	109506106
ENSG00000162763	1	165513244	165533198
ENSG00000162771	1	212797789	212800120
ENSG00000162843	1	241815580	241965435
ENSG00000163060	2	95537178	95542574
ENSG00000163206	1	152850793	152857523
ENSG00000163254	2	208992861	208994554
ENSG00000163263	1	154171848	154178809
ENSG00000163467	1	156307105	156316786
ENSG00000163705	3	10123001	10149915
ENSG00000163806	2	29005383	29073477
ENSG00000168658	2	98703579	98929762
ENSG00000169214	1	247875045	247876105
ENSG00000169717	1	2938046	2939465
ENSG00000171722	1	162342993	162346660
ENSG00000172073	2	88824169	88829102
ENSG00000173389	3	51928892	51937351
ENSG00000173627	1	183615541	183622451
ENSG00000173699	2	231860836	231889770
ENSG00000173728	1	244515937	244552965
ENSG00000173769	3	44283378	44373590
ENSG00000176083	1	26688125	26701013
ENSG00000176256	1	34326076	34330392
ENSG00000176732	2	24338241	24346347
ENSG00000177414	1	64669310	64733051
ENSG00000177673	2	232457575	232458994
ENSG00000178021	2	54480315	54483409
ENSG00000178395	1	223566715	223568812
ENSG00000183292	2	131328402	131341734
ENSG00000183396	3	48658192	48659288
ENSG00000183977	3	20021453	20053822
ENSG00000184345	3	51895645	51897440
ENSG00000185013	2	18737050	18770838
ENSG00000185888	1	228003394	228034171
ENSG00000186118	1	47134527	47139266
ENSG00000186143	2	27359723	27362278
ENSG00000186150	1	110655062	110656569
ENSG00000186451	3	57094469	57109460
ENSG00000186453	2	24397938	24423718
ENSG00000187600	2	46656329	46711564
ENSG00000187833	2	74011316	74044274
ENSG00000188782	1	26517052	26529459
ENSG00000188800	1	40711619	40717363
ENSG00000196184	1	159409512	159410600
ENSG00000196862	2	108443388	108507297
ENSG00000197437	1	247835320	247836365
ENSG00000198765	1	115397424	115537991
ENSG00000203784	1	153175919	153177596
ENSG00000203963	1	67557848	67697536
ENSG00000204006	1	51567906	51613752
ENSG00000204334	2	171640296	171655481
ENSG00000204513	1	12884468	12891264
ENSG00000214681	3	51907737	51909600
ENSG00000214686	3	51812580	51813009
ENSG00000215906	1	23279536	23291831
ENSG00000215910	1	11821844	11849642
ENSG00000221843	2	27799389	27805588
ENSG00000221888	1	247920676	247921982
ENSG00000222007	2	236682499	236692031
ENSG00000223874	2	217735495	217736362
ENSG00000227868	1	23337327	23342343
ENSG00000229972	3	51851620	51864876
ENSG00000230891	3	25900024	25915191
ENSG00000236980	3	49215065	49229291
ENSG00000237435	1	96403457	96488436
ENSG00000237524	2	127656472	127659673
ENSG00000240021	1	178482212	178517734
ENSG00000241128	1	247886401	247887345
ENSG00000267889	2	203104292	203104435
ENSG00000273269	2	47293080	47403650
