ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006016	19	18683030	18718551
ENSG00000006638	19	3594504	3606838
ENSG00000034971	1	171604557	171621823
ENSG00000041982	9	117782806	117880536
ENSG00000049323	2	33172039	33624576
ENSG00000054598	6	1610681	1614127
ENSG00000061455	5	122424816	122529960
ENSG00000064205	20	43343485	43357150
ENSG00000072195	2	220299568	220363009
ENSG00000076706	11	119179241	119192231
ENSG00000077943	10	15555948	15762124
ENSG00000086991	11	89057524	89322779
ENSG00000092607	1	119425669	119532179
ENSG00000095713	10	99624757	99790585
ENSG00000101335	20	35169887	35178228
ENSG00000102468	13	47405685	47471169
ENSG00000103710	15	65345679	65369028
ENSG00000105664	19	18893583	18902123
ENSG00000106772	9	79226292	79521003
ENSG00000107796	10	90694831	90751147
ENSG00000108405	17	3799886	3819794
ENSG00000108823	17	48241575	48253292
ENSG00000109158	4	46920917	46996424
ENSG00000111404	12	18233803	18473041
ENSG00000112214	6	97010424	97064512
ENSG00000112837	6	85397069	85474237
ENSG00000115414	2	216225163	216300895
ENSG00000116690	1	186265405	186283694
ENSG00000118729	1	116242628	116311402
ENSG00000121075	17	59529765	59562471
ENSG00000123364	12	54332535	54340328
ENSG00000123388	12	54366910	54371427
ENSG00000123407	12	54348618	54352740
ENSG00000130037	12	5153085	5155949
ENSG00000130176	19	11649532	11661138
ENSG00000133392	16	15797029	15950890
ENSG00000134198	1	115590632	115632121
ENSG00000135312	6	78171948	78173490
ENSG00000135324	6	84743475	84800600
ENSG00000135547	6	126068810	126082415
ENSG00000136999	8	120428546	120436593
ENSG00000137142	9	38408991	38424444
ENSG00000140538	15	88418230	88799999
ENSG00000140945	16	82660408	83830204
ENSG00000141052	17	12569207	12672266
ENSG00000141750	17	37366789	37382125
ENSG00000143248	1	163080911	163291577
ENSG00000143768	1	226124298	226129189
ENSG00000144810	3	99357319	99518070
ENSG00000145936	5	169801675	169816681
ENSG00000146197	6	35182190	35220856
ENSG00000148671	10	88727949	88743691
ENSG00000149591	11	117070037	117075498
ENSG00000149596	20	42740335	42816218
ENSG00000151468	10	12938627	13141652
ENSG00000157766	15	89346674	89418585
ENSG00000159251	15	35080297	35088340
ENSG00000161638	12	54789045	54813244
ENSG00000162267	3	52828784	52843025
ENSG00000162998	2	183698002	183731890
ENSG00000163017	2	74119441	74146992
ENSG00000163431	1	201865580	201915715
ENSG00000164106	4	174305852	174327531
ENSG00000164176	5	83236373	83680611
ENSG00000164761	8	119935796	119964439
ENSG00000165966	12	41582250	41968392
ENSG00000166148	12	63539014	63544722
ENSG00000167332	11	4701401	4719084
ENSG00000167641	19	38741877	38747231
ENSG00000167941	17	41831099	41836156
ENSG00000168427	2	239047363	239061588
ENSG00000168779	3	157814948	157824292
ENSG00000169282	3	155755490	156256545
ENSG00000172348	6	46188475	46459709
ENSG00000173546	15	75966663	76005189
ENSG00000173705	3	33191537	33260707
ENSG00000176678	16	86609974	86615303
ENSG00000176692	16	86600857	86602539
ENSG00000177791	10	75391412	75401515
ENSG00000178776	5	147260289	147286101
ENSG00000179772	20	30432103	30433420
ENSG00000179914	1	160846329	160854960
ENSG00000180818	12	54378849	54384063
ENSG00000182575	17	47653220	47661189
ENSG00000184160	4	3768075	3770251
ENSG00000184811	17	1182957	1204281
ENSG00000185652	12	5541278	5630702
ENSG00000185860	1	162794248	162838605
ENSG00000186832	17	39766030	39772151
ENSG00000187955	8	121072019	121384275
ENSG00000188783	1	203444956	203460480
ENSG00000197380	19	47150869	47164395
ENSG00000198108	5	129240165	129522327
ENSG00000198467	9	35681989	35691017
ENSG00000198523	6	118869461	118881893
ENSG00000198542	13	102104966	102375456
ENSG00000234438	15	65369154	65372276
ENSG00000235711	15	79575146	79590580
ENSG00000269113	1	48226200	48462567
ENSG00000272573	3	52867130	52869235
