ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000019582	5	149781200	149792492
ENSG00000026025	10	17270258	17279592
ENSG00000034510	2	85132749	85133795
ENSG00000042832	8	133879203	134147147
ENSG00000075624	7	5566782	5603415
ENSG00000084207	11	67351066	67354131
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000089220	12	118573663	118583389
ENSG00000096384	6	44214824	44221620
ENSG00000100316	22	39708887	39716394
ENSG00000101335	20	35169887	35178228
ENSG00000105193	19	39923847	39926588
ENSG00000108298	17	37356536	37360980
ENSG00000109475	4	109541722	109551568
ENSG00000110700	11	17095936	17099334
ENSG00000111341	12	15034115	15038860
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000114391	3	101399935	101405626
ENSG00000115705	2	1377995	1547483
ENSG00000117289	1	145438469	145442635
ENSG00000118181	11	118886422	118889401
ENSG00000120129	5	172195093	172198198
ENSG00000120885	8	27454434	27472548
ENSG00000122406	1	93297582	93307481
ENSG00000124172	20	57600522	57607437
ENSG00000125618	2	113973574	114036527
ENSG00000128016	19	39897453	39900052
ENSG00000130300	19	17462257	17488159
ENSG00000133112	13	45911008	45915505
ENSG00000136942	9	127620159	127624260
ENSG00000137077	9	34709002	34710121
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000137970	1	97144430	97145176
ENSG00000141753	17	38599702	38613983
ENSG00000142089	11	319669	327537
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000150991	12	125396150	125401914
ENSG00000156508	6	74225473	74233520
ENSG00000160180	21	43731777	43735761
ENSG00000161016	8	146015150	146017972
ENSG00000163453	4	57896939	57976551
ENSG00000164733	8	11700033	11726957
ENSG00000166598	12	104323885	104347423
ENSG00000166710	15	45003675	45011075
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000170315	17	16284112	16286059
ENSG00000174444	15	66790355	66816870
ENSG00000176046	16	28548606	28550495
ENSG00000177600	11	809647	812880
ENSG00000179218	19	13049392	13055303
ENSG00000184009	17	79476997	79490873
ENSG00000187514	2	232571605	232578251
ENSG00000189058	3	195295573	195311076
ENSG00000196205	9	135894816	135896553
ENSG00000197746	10	73576055	73611126
ENSG00000197956	1	153507075	153508720
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198755	6	35436185	35438562
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000210082	MT	1671	3229
ENSG00000211445	5	150400124	150408554
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000225972	1	564442	564813
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000229344	1	568137	568818
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234745	6	31321649	31324965
ENSG00000234797	15	60060543	60061347
ENSG00000234851	3	161146915	161147398
ENSG00000234961	10	17275324	17276832
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000240237	8	134014850	134015320
ENSG00000244398	11	16996240	16996560
ENSG00000244734	11	5246694	5250625
ENSG00000245532	11	65190245	65213011
ENSG00000259716	20	35177530	35232932
ENSG00000265401	17	16285466	16285983
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
