ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000010282	3	42734155	42744319
ENSG00000036448	8	1993155	2113475
ENSG00000075886	2	132233666	132240507
ENSG00000077009	19	3933101	3942414
ENSG00000077522	1	236849754	236927931
ENSG00000078814	20	33563206	33590240
ENSG00000092054	14	23881947	23904927
ENSG00000100170	22	32439019	32509016
ENSG00000101605	18	3066805	3220106
ENSG00000102683	13	23755091	23899304
ENSG00000104879	19	45809672	45826235
ENSG00000106631	7	44178463	44180931
ENSG00000107165	9	12685439	12710290
ENSG00000111245	12	111348623	111358526
ENSG00000113196	5	153854532	153857824
ENSG00000114854	3	52485118	52488086
ENSG00000115593	2	88367299	88412906
ENSG00000118194	1	201328136	201346890
ENSG00000118729	1	116242628	116311402
ENSG00000120937	1	11917521	11918988
ENSG00000121577	3	119355304	119384171
ENSG00000121769	1	31838472	31849697
ENSG00000122367	10	88428206	88495825
ENSG00000124701	6	41021043	41032250
ENSG00000124743	6	53512699	53530506
ENSG00000129170	11	19203578	19232120
ENSG00000129991	19	55663137	55669141
ENSG00000130528	19	49654455	49658681
ENSG00000131730	5	80529104	80562216
ENSG00000133454	22	26138111	26427007
ENSG00000134571	11	47352957	47374253
ENSG00000138100	2	27505260	27530307
ENSG00000138347	10	69865912	69971774
ENSG00000139914	14	24600484	24602058
ENSG00000140795	16	46740891	46824319
ENSG00000140986	16	1993975	2007607
ENSG00000141161	17	33474836	33516364
ENSG00000142661	1	24382525	24438665
ENSG00000143632	1	229566992	229569845
ENSG00000146147	6	53794780	54131078
ENSG00000146809	7	123207064	123277951
ENSG00000146926	7	150872785	150884919
ENSG00000147485	8	52232138	52722005
ENSG00000148677	10	92671853	92681033
ENSG00000152086	2	130949318	130956034
ENSG00000153531	13	114076260	114107839
ENSG00000153820	2	228844666	229046361
ENSG00000154415	7	113516832	113715975
ENSG00000155657	2	179390716	179695529
ENSG00000156885	16	31439052	31439967
ENSG00000158022	1	26377795	26394927
ENSG00000159251	15	35080297	35088340
ENSG00000160808	3	46899362	46923659
ENSG00000163092	2	167744997	168116263
ENSG00000163380	3	69156023	69172183
ENSG00000163492	2	179694484	179914813
ENSG00000163833	3	121311966	121349139
ENSG00000164309	5	78985700	79096063
ENSG00000164532	7	35242042	35293758
ENSG00000165887	10	99332198	99343641
ENSG00000166317	10	75404639	75423561
ENSG00000168334	3	39224701	39234087
ENSG00000169271	5	53751445	53752207
ENSG00000170417	2	103353367	103460352
ENSG00000170681	9	103340361	103350188
ENSG00000170807	7	123295861	123304344
ENSG00000172209	7	107110463	107116098
ENSG00000172399	4	120056939	120108944
ENSG00000173641	1	16340523	16346089
ENSG00000173991	17	37820440	37822808
ENSG00000174407	20	61147660	61167971
ENSG00000175946	8	124657767	124665190
ENSG00000177354	10	50507187	50535537
ENSG00000178055	3	46871032	46875585
ENSG00000181072	7	136553416	136705002
ENSG00000182177	2	237102095	237173052
ENSG00000182533	3	8775486	8883492
ENSG00000183072	5	172659112	172662360
ENSG00000183873	3	38589548	38691164
ENSG00000184544	17	9674751	9694614
ENSG00000184601	14	105046021	105056852
ENSG00000185028	5	191626	195468
ENSG00000185739	16	4239375	4292081
ENSG00000186439	6	123537483	123958238
ENSG00000187642	1	910579	917497
ENSG00000197616	14	23851199	23877486
ENSG00000197893	10	115348475	115423886
ENSG00000198125	22	36002811	36033998
ENSG00000198336	17	45277812	45301045
ENSG00000198523	6	118869461	118881893
ENSG00000198626	1	237205505	237997288
ENSG00000198812	12	70002351	70004942
ENSG00000198842	1	167063282	167098402
ENSG00000203740	1	170115142	170136931
ENSG00000205678	4	65140975	65275186
ENSG00000214097	3	196233748	196242237
ENSG00000227729	14	104406763	104408645
ENSG00000239474	2	170366212	170382772
ENSG00000244020	1	237167403	237167718
ENSG00000263155	15	57884139	57977562
