ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000016602	1	87012761	87046437
ENSG00000057149	18	61322431	61329197
ENSG00000069011	5	134363425	134370503
ENSG00000087128	4	69313167	69363322
ENSG00000088726	3	12775024	12810956
ENSG00000092295	14	24718320	24733638
ENSG00000096006	6	49695097	49712150
ENSG00000105427	19	42891171	42894439
ENSG00000108602	17	19641297	19652256
ENSG00000108759	17	39616063	39623681
ENSG00000109255	4	56461396	56502865
ENSG00000111405	12	48103517	48119350
ENSG00000121552	3	122044091	122060819
ENSG00000124102	20	43803517	43805185
ENSG00000124466	19	43964939	43969812
ENSG00000125780	20	2276647	2321724
ENSG00000126233	8	143822362	143823829
ENSG00000129451	19	51515995	51523431
ENSG00000129455	19	51499263	51505967
ENSG00000133710	5	147405246	147516852
ENSG00000134755	18	28645940	28682378
ENSG00000134757	18	29027758	29058665
ENSG00000136155	13	78109809	78219398
ENSG00000136689	2	113864791	113891593
ENSG00000136694	2	113763038	113765621
ENSG00000137440	4	15937192	15940363
ENSG00000137975	1	86889769	86922241
ENSG00000140519	15	89998680	90039844
ENSG00000142619	1	17575593	17610728
ENSG00000142623	1	17531621	17572500
ENSG00000143320	1	156669398	156675608
ENSG00000143369	1	150480538	150486265
ENSG00000143536	1	152381719	152386739
ENSG00000143546	1	153362508	153363664
ENSG00000145879	5	147691982	147695485
ENSG00000147689	8	124191200	124222314
ENSG00000153802	4	68686594	68749750
ENSG00000155269	4	8560452	8621486
ENSG00000155918	6	150339470	150346668
ENSG00000156282	21	31538241	31538971
ENSG00000158055	1	24645812	24690972
ENSG00000160213	21	45192393	45196326
ENSG00000163207	1	152881021	152884362
ENSG00000163209	1	152974223	152976332
ENSG00000163216	1	153012201	153014407
ENSG00000164520	6	150204511	150219238
ENSG00000165474	13	20761609	20767037
ENSG00000166535	12	8975068	9039597
ENSG00000167656	8	143866296	143868008
ENSG00000167759	19	51559463	51568371
ENSG00000167916	17	38854243	38860002
ENSG00000169469	1	153003678	153005376
ENSG00000169474	1	152956557	152958289
ENSG00000169509	1	152486978	152488486
ENSG00000170423	12	53231588	53242876
ENSG00000170465	12	52862300	52867569
ENSG00000170477	12	53200333	53208335
ENSG00000171401	17	39657233	39661957
ENSG00000171711	8	7752151	7754233
ENSG00000172382	16	2762419	2770552
ENSG00000172478	2	241825465	241836306
ENSG00000175793	1	27189633	27190947
ENSG00000178363	10	5566924	5568225
ENSG00000178690	18	52254988	52266724
ENSG00000182585	4	75174190	75181024
ENSG00000182938	17	72931814	72946087
ENSG00000183347	1	89829617	89852020
ENSG00000185479	12	52840435	52845910
ENSG00000185873	4	69092371	69111438
ENSG00000186081	12	52908359	52914471
ENSG00000186442	12	53183469	53189901
ENSG00000186474	19	51532348	51538486
ENSG00000186806	19	51834790	51845378
ENSG00000186832	17	39766030	39772151
ENSG00000187054	4	68775103	68829858
ENSG00000188100	10	88780063	88784487
ENSG00000188293	19	46733009	46734500
ENSG00000188505	19	39687601	39692524
ENSG00000189051	17	8294022	8301144
ENSG00000189334	1	153586731	153589462
ENSG00000196344	4	100333418	100356894
ENSG00000196754	1	153533584	153540366
ENSG00000196805	1	153042700	153113927
ENSG00000197191	9	140119087	140120763
ENSG00000197353	8	143831568	143833952
ENSG00000197632	18	61538926	61571124
ENSG00000197641	18	61254223	61271873
ENSG00000198807	14	37126773	37148920
ENSG00000203785	1	153065611	153078660
ENSG00000204544	6	30951495	30957680
ENSG00000205076	19	39261611	39264132
ENSG00000205420	12	52880958	52887041
ENSG00000206073	18	61304493	61311532
ENSG00000214711	2	31395924	31456724
ENSG00000224689	19	9800600	9811452
ENSG00000226894	4	69054242	69083798
ENSG00000237330	1	1006346	1009687
ENSG00000241794	1	153028589	153030013
ENSG00000244122	2	234590584	234681945
ENSG00000261272	6	30978251	31003179
