ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000011465	12	91539025	91576900
ENSG00000026025	10	17270258	17279592
ENSG00000034510	2	85132749	85133795
ENSG00000074800	1	8921061	8939308
ENSG00000075624	7	5566782	5603415
ENSG00000087086	19	49468558	49470135
ENSG00000087245	16	55423612	55540603
ENSG00000089157	12	120634489	120639038
ENSG00000100097	22	38071615	38075813
ENSG00000100316	22	39708887	39716394
ENSG00000102265	X	47441712	47446188
ENSG00000105193	19	39923847	39926588
ENSG00000106366	7	100770370	100782547
ENSG00000108298	17	37356536	37360980
ENSG00000108821	17	48260650	48278993
ENSG00000110700	11	17095936	17099334
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000113140	5	151040657	151066726
ENSG00000115414	2	216225163	216300895
ENSG00000118181	11	118886422	118889401
ENSG00000120708	5	135364584	135399507
ENSG00000122406	1	93297582	93307481
ENSG00000123416	12	49521565	49525180
ENSG00000125148	16	56642111	56643409
ENSG00000131469	17	41150290	41154976
ENSG00000133112	13	45911008	45915505
ENSG00000136942	9	127620159	127624260
ENSG00000137154	9	19375713	19380252
ENSG00000137801	15	39873280	39891667
ENSG00000137818	15	69745123	69748255
ENSG00000137970	1	97144430	97145176
ENSG00000140988	16	2012053	2014861
ENSG00000141753	17	38599702	38613983
ENSG00000142089	11	319669	327537
ENSG00000142156	21	47401651	47424964
ENSG00000142173	21	47518011	47552763
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000142676	1	24018269	24022915
ENSG00000142871	1	86046444	86049645
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000148303	9	136215069	136218281
ENSG00000156508	6	74225473	74233520
ENSG00000161016	8	146015150	146017972
ENSG00000163191	1	152004982	152020383
ENSG00000163661	3	157154578	157161417
ENSG00000164111	4	122589110	122618268
ENSG00000164692	7	94023873	94060544
ENSG00000166794	15	64448011	64455404
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000168028	3	39448180	39454033
ENSG00000168542	2	189839046	189877472
ENSG00000174444	15	66790355	66816870
ENSG00000177600	11	809647	812880
ENSG00000177700	11	837356	842545
ENSG00000179218	19	13049392	13055303
ENSG00000182718	15	60639333	60695082
ENSG00000184009	17	79476997	79490873
ENSG00000196205	9	135894816	135896553
ENSG00000197746	10	73576055	73611126
ENSG00000197956	1	153507075	153508720
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198755	6	35436185	35438562
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000205542	X	12993227	12995346
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000213553	2	38708920	38710012
ENSG00000221792	15	44085857	44085957
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000229124	10	17256238	17271984
ENSG00000230202	6	118320138	118320611
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000233476	7	22550231	22551618
ENSG00000234797	15	60060543	60061347
ENSG00000234851	3	161146915	161147398
ENSG00000234961	10	17275324	17276832
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000244313	11	46450163	46450700
ENSG00000244398	11	16996240	16996560
ENSG00000263900	7	5567734	5567817
ENSG00000265401	17	16285466	16285983
ENSG00000269888	3	161146900	161147401
ENSG00000269968	12	6646960	6647536
ENSG00000272540	6	30690882	30691654
ENSG00000273149	13	45914174	45915318
