ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000010438	9	33750515	33799230
ENSG00000063177	19	49118585	49122793
ENSG00000083845	19	58897767	58906173
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000091704	7	130020180	130027955
ENSG00000100219	22	29190543	29196585
ENSG00000100316	22	39708887	39716394
ENSG00000102837	13	53602894	53626192
ENSG00000105193	19	39923847	39926588
ENSG00000108298	17	37356536	37360980
ENSG00000109475	4	109541722	109551568
ENSG00000110700	11	17095936	17099334
ENSG00000112306	6	133135580	133138703
ENSG00000114391	3	101399935	101405626
ENSG00000114942	2	207024309	207027652
ENSG00000115386	2	79347488	79350545
ENSG00000118181	11	118886422	118889401
ENSG00000122406	1	93297582	93307481
ENSG00000124232	20	43935491	43945803
ENSG00000133112	13	45911008	45915505
ENSG00000136942	9	127620159	127624260
ENSG00000137154	9	19375713	19380252
ENSG00000137392	6	35762759	35765088
ENSG00000137818	15	69745123	69748255
ENSG00000137970	1	97144430	97145176
ENSG00000138161	10	124591665	124639146
ENSG00000140988	16	2012053	2014861
ENSG00000141086	16	67961543	67966317
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000142615	1	15783223	15798586
ENSG00000142789	1	22328149	22339032
ENSG00000143947	2	55459039	55462989
ENSG00000143954	2	79252812	79255631
ENSG00000147403	X	153618315	153637504
ENSG00000148303	9	136215069	136218281
ENSG00000153002	3	148508889	148577974
ENSG00000156508	6	74225473	74233520
ENSG00000158516	7	129906667	129929638
ENSG00000161016	8	146015150	146017972
ENSG00000162438	1	15764935	15775737
ENSG00000164266	5	147204131	147211349
ENSG00000165862	10	118380465	118404654
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167748	19	51322404	51327043
ENSG00000167996	11	61727190	61735132
ENSG00000168925	16	75252898	75258822
ENSG00000168928	16	75237994	75241083
ENSG00000169347	16	20320894	20339130
ENSG00000170827	9	135957926	135962742
ENSG00000170835	9	135937365	135947248
ENSG00000170890	12	120759914	120765592
ENSG00000172016	2	79384132	79386879
ENSG00000172023	2	79312156	79315145
ENSG00000174444	15	66790355	66816870
ENSG00000175535	10	118305443	118327367
ENSG00000177600	11	809647	812880
ENSG00000179751	19	39693471	39694906
ENSG00000184009	17	79476997	79490873
ENSG00000185615	16	333152	337215
ENSG00000185624	17	79801035	79818570
ENSG00000187021	10	118349897	118368687
ENSG00000188846	3	40498783	40503861
ENSG00000196205	9	135894816	135896553
ENSG00000198034	X	71475529	71497150
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000204787	2	79362629	79365553
ENSG00000204983	7	142457319	142460923
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000215704	1	15792404	15817895
ENSG00000219073	1	22303514	22325135
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000227408	1	104256345	104262493
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234797	15	60060543	60061347
ENSG00000235174	6	74082831	74082986
ENSG00000235481	9	33785948	33818793
ENSG00000236552	10	98510045	98510675
ENSG00000240038	1	104096437	104122156
ENSG00000240338	16	75259972	75262093
ENSG00000243480	1	104159999	104168402
ENSG00000244398	11	16996240	16996560
ENSG00000250591	7	142468264	142471794
ENSG00000250606	7	142478064	142482416
ENSG00000254647	11	2181009	2182571
ENSG00000262831	17	79801041	79801834
ENSG00000273149	13	45914174	45915318
