ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006116	16	24266874	24374122
ENSG00000015592	8	27092840	27115937
ENSG00000021300	11	73357223	73373864
ENSG00000022355	5	161274197	161326975
ENSG00000064787	20	52553316	52687304
ENSG00000067715	12	79257773	79845788
ENSG00000074317	5	176047085	176057530
ENSG00000084453	12	21417534	21572528
ENSG00000087250	16	56622986	56625000
ENSG00000100095	22	26565440	26779562
ENSG00000100427	22	50497820	50524331
ENSG00000101542	18	59000815	59223006
ENSG00000105605	19	54412589	54447195
ENSG00000105695	19	35783028	35804707
ENSG00000110436	11	35272753	35441610
ENSG00000112333	6	108487262	108510013
ENSG00000114646	3	47603729	47622282
ENSG00000116147	1	175284330	175712906
ENSG00000116745	1	68894505	68915642
ENSG00000124507	6	34433916	34503006
ENSG00000125462	1	156374042	156400493
ENSG00000126861	17	29599031	29624557
ENSG00000130287	19	19322782	19363042
ENSG00000131095	17	42982376	42994305
ENSG00000132164	3	10857885	10982419
ENSG00000132639	20	10199478	10288066
ENSG00000132692	1	156611182	156629324
ENSG00000132702	1	156589086	156595517
ENSG00000136541	2	158175137	158184225
ENSG00000142319	5	1392909	1445545
ENSG00000144119	2	119913819	119916465
ENSG00000144834	3	111717511	111732734
ENSG00000145888	5	151202074	151304403
ENSG00000145920	5	175223313	175311023
ENSG00000146005	5	139175406	139224051
ENSG00000147488	8	53023399	53373519
ENSG00000147588	8	82352561	82359758
ENSG00000148482	10	18240768	18332221
ENSG00000148826	10	134598297	134599556
ENSG00000150361	13	70274726	70682591
ENSG00000150394	16	61681146	62070939
ENSG00000150656	18	72201675	72254448
ENSG00000152214	18	40323192	40695657
ENSG00000152910	16	76311176	76593135
ENSG00000152954	6	24126350	24155128
ENSG00000155886	9	19507450	19786926
ENSG00000157542	21	38979678	39288749
ENSG00000158865	16	24857162	24922949
ENSG00000160781	1	156213206	156217881
ENSG00000162728	1	160051360	160060353
ENSG00000163285	4	46037786	46126098
ENSG00000163630	3	63213991	63602597
ENSG00000164929	8	104152938	104242533
ENSG00000165388	10	48355024	48373866
ENSG00000165566	13	25735822	25746426
ENSG00000165588	14	57267425	57277197
ENSG00000168314	3	39508689	39570970
ENSG00000168913	9	34521038	34523039
ENSG00000169006	2	11798304	11810290
ENSG00000170075	1	202091986	202102720
ENSG00000171885	18	24432002	24445782
ENSG00000172020	3	115342171	115440337
ENSG00000174453	2	215275789	215443683
ENSG00000174521	19	40721965	40724306
ENSG00000175874	2	101962013	102004057
ENSG00000176381	6	166719168	166721936
ENSG00000176884	9	140032842	140063207
ENSG00000177108	14	77597613	77609077
ENSG00000177807	1	160007257	160040038
ENSG00000178235	13	84451344	84456528
ENSG00000179292	11	66059341	66064135
ENSG00000180176	11	2185159	2193107
ENSG00000180354	7	30174426	30202378
ENSG00000182698	2	220192131	220197899
ENSG00000183379	14	74872596	74892805
ENSG00000184221	21	34442450	34444726
ENSG00000184486	6	99282580	99286660
ENSG00000184524	11	787104	790123
ENSG00000187135	19	30017406	30055386
ENSG00000187416	7	103969104	104549001
ENSG00000188580	6	124125286	125146803
ENSG00000188674	2	209030067	209054797
ENSG00000196104	4	167654535	168155947
ENSG00000196361	19	11562141	11591861
ENSG00000197430	10	98102973	98119092
ENSG00000197971	18	74690783	74845639
ENSG00000198822	7	86273230	86494200
ENSG00000204278	17	76227391	76237068
ENSG00000204644	6	29640169	29648887
ENSG00000204655	6	29624758	29640149
ENSG00000205116	1	1361508	1363167
ENSG00000205927	21	34398153	34401504
ENSG00000214688	10	73471458	73497581
ENSG00000218672	7	155174771	155189051
ENSG00000220575	7	154858777	154863267
ENSG00000221946	19	35634154	35645204
ENSG00000232560	21	18811208	18821503
ENSG00000233670	17	10725792	10741762
ENSG00000236279	7	139208602	139229730
ENSG00000272268	2	6111712	6114374
