ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000050165	11	11984653	12031316
ENSG00000075624	7	5566782	5603415
ENSG00000077009	19	3933101	3942414
ENSG00000087086	19	49468558	49470135
ENSG00000092054	14	23881947	23904927
ENSG00000096384	6	44214824	44221620
ENSG00000101210	20	62119366	62130505
ENSG00000101335	20	35169887	35178228
ENSG00000104879	19	45809672	45826235
ENSG00000105193	19	39923847	39926588
ENSG00000106211	7	75931861	75933612
ENSG00000106631	7	44178463	44180931
ENSG00000107317	9	139871956	139879887
ENSG00000108298	17	37356536	37360980
ENSG00000109846	11	111779289	111794446
ENSG00000110955	12	57031959	57039798
ENSG00000111341	12	15034115	15038860
ENSG00000111640	12	6643093	6647537
ENSG00000111716	12	21788276	21910791
ENSG00000112306	6	133135580	133138703
ENSG00000114854	3	52485118	52488086
ENSG00000118194	1	201328136	201346890
ENSG00000120937	1	11917521	11918988
ENSG00000121769	1	31838472	31849697
ENSG00000124172	20	57600522	57607437
ENSG00000125356	X	119005450	119010625
ENSG00000129170	11	19203578	19232120
ENSG00000129991	19	55663137	55669141
ENSG00000133112	13	45911008	45915505
ENSG00000134571	11	47352957	47374253
ENSG00000137818	15	69745123	69748255
ENSG00000140416	15	63334831	63364114
ENSG00000142089	11	319669	327537
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143632	1	229566992	229569845
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000148677	10	92671853	92681033
ENSG00000149925	16	30064411	30081778
ENSG00000150991	12	125396150	125401914
ENSG00000152234	18	43664110	43684300
ENSG00000156885	16	31439052	31439967
ENSG00000159251	15	35080297	35088340
ENSG00000161016	8	146015150	146017972
ENSG00000161281	19	36641824	36643771
ENSG00000163453	4	57896939	57976551
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000168653	1	39491990	39500308
ENSG00000170290	11	107578104	107590419
ENSG00000170315	17	16284112	16286059
ENSG00000172270	19	571297	583493
ENSG00000173641	1	16340523	16346089
ENSG00000173991	17	37820440	37822808
ENSG00000175084	2	220283099	220291461
ENSG00000175206	1	11905766	11908402
ENSG00000176340	11	63742079	63744015
ENSG00000177600	11	809647	812880
ENSG00000182492	X	152760397	152775012
ENSG00000188257	1	20301925	20306932
ENSG00000196205	9	135894816	135896553
ENSG00000197616	14	23851199	23877486
ENSG00000197746	10	73576055	73611126
ENSG00000197766	19	859453	863453
ENSG00000198125	22	36002811	36033998
ENSG00000198336	17	45277812	45301045
ENSG00000198523	6	118869461	118881893
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000198959	20	36756863	36794980
ENSG00000210082	MT	1671	3229
ENSG00000211445	5	150400124	150408554
ENSG00000211459	MT	648	1601
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000225972	1	564442	564813
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234638	2	220289793	220290906
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000239775	7	44104507	44105678
ENSG00000242349	1	11901074	11908136
ENSG00000244734	11	5246694	5250625
ENSG00000258444	14	23884548	23884895
ENSG00000259716	20	35177530	35232932
ENSG00000265401	17	16285466	16285983
ENSG00000269968	12	6646960	6647536
ENSG00000272030	1	153603914	153606873
ENSG00000273149	13	45914174	45915318
