ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000000938	1	27938575	27961788
ENSG00000008438	19	46522411	46526323
ENSG00000008516	16	3096682	3110727
ENSG00000066336	11	47376411	47400127
ENSG00000077984	20	24929866	24940564
ENSG00000085265	9	137801431	137809809
ENSG00000086506	16	230452	231180
ENSG00000092067	14	23586513	23588825
ENSG00000099985	22	30658818	30662829
ENSG00000100453	14	25100160	25103473
ENSG00000100985	20	44637547	44645200
ENSG00000101307	20	1544167	1600707
ENSG00000101336	20	30639991	30689659
ENSG00000103313	16	3292028	3306627
ENSG00000104918	19	7733930	7735334
ENSG00000104974	19	55105047	55113555
ENSG00000105205	19	40221890	40228668
ENSG00000105352	19	42125344	42133442
ENSG00000105374	19	51874860	51875969
ENSG00000105610	19	12995237	12997995
ENSG00000110203	11	71825915	71850936
ENSG00000110876	12	109015686	109027735
ENSG00000112303	6	133065009	133084598
ENSG00000115523	2	85912298	85925977
ENSG00000115607	2	103035149	103069025
ENSG00000116701	1	183524698	183560011
ENSG00000118113	11	102582526	102597781
ENSG00000119535	1	36931644	36948879
ENSG00000123405	12	54685895	54694905
ENSG00000124469	19	43084393	43099207
ENSG00000124731	6	41235664	41254457
ENSG00000125498	19	55281263	55295774
ENSG00000125910	19	3172344	3180329
ENSG00000126262	19	35934809	35942669
ENSG00000128340	22	37621301	37640488
ENSG00000128383	22	39348746	39359188
ENSG00000131355	19	14729929	14800839
ENSG00000132965	13	31309645	31338556
ENSG00000133742	8	86239837	86291243
ENSG00000136167	13	46700055	46786006
ENSG00000140749	16	21652609	21663981
ENSG00000142347	19	8585674	8642461
ENSG00000142405	19	54296857	54327648
ENSG00000146094	5	176928908	176938275
ENSG00000151651	10	135075907	135090372
ENSG00000156575	11	57144242	57148623
ENSG00000158517	7	74188309	74203659
ENSG00000159339	1	17634690	17690499
ENSG00000160593	11	118064455	118095809
ENSG00000162747	1	161592986	161601753
ENSG00000163221	1	153346184	153348125
ENSG00000163421	3	71820807	71834357
ENSG00000163464	2	219027568	219031718
ENSG00000163563	1	158801107	158819296
ENSG00000163736	4	74852755	74853914
ENSG00000163737	4	74846794	74847841
ENSG00000164047	3	48264837	48266981
ENSG00000164821	8	6793344	6795860
ENSG00000166527	12	8662071	8674962
ENSG00000167633	19	55235969	55378448
ENSG00000169385	14	21423611	21424595
ENSG00000169877	16	31539185	31540124
ENSG00000170866	19	54799854	54809952
ENSG00000170909	19	54597933	54606000
ENSG00000170956	19	42300369	42315591
ENSG00000171049	19	52255279	52273779
ENSG00000171051	19	52248425	52307363
ENSG00000171777	19	38899695	38916945
ENSG00000173110	1	161494036	161496681
ENSG00000173535	8	22941868	22974950
ENSG00000178789	17	72517313	72527613
ENSG00000179840	1	9712668	9714644
ENSG00000180549	9	139924626	139927462
ENSG00000180871	2	218990012	219001976
ENSG00000182885	16	57702099	57723975
ENSG00000183019	19	7741514	7744712
ENSG00000185905	16	29753784	29757327
ENSG00000186407	17	72606026	72619897
ENSG00000186431	19	55385704	55401838
ENSG00000187116	19	54818353	54824409
ENSG00000188305	19	2274631	2282181
ENSG00000188404	1	169659808	169680839
ENSG00000188536	16	222846	223709
ENSG00000196565	11	5274420	5667019
ENSG00000204010	10	91137813	91144962
ENSG00000204577	19	54720147	54746602
ENSG00000206047	8	6835171	6837602
ENSG00000206172	16	226679	227521
ENSG00000206177	16	203891	216767
ENSG00000213654	6	32158543	32163300
ENSG00000213934	11	5269313	5271122
ENSG00000223609	11	5253908	5256600
ENSG00000235568	22	42776416	42828401
ENSG00000239839	8	6873391	6875823
ENSG00000239998	19	55084387	55099027
ENSG00000240247	8	6854288	6875778
ENSG00000243772	19	55249980	55295776
ENSG00000244734	11	5246694	5250625
ENSG00000250361	4	144917257	145061844
ENSG00000269468	1	17655507	17676070
