ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000011600	19	36395303	36399197
ENSG00000013306	17	42396993	42402238
ENSG00000019582	5	149781200	149792492
ENSG00000034510	2	85132749	85133795
ENSG00000059804	12	8071826	8088871
ENSG00000066336	11	47376411	47400127
ENSG00000075624	7	5566782	5603415
ENSG00000077984	20	24929866	24940564
ENSG00000085265	9	137801431	137809809
ENSG00000087086	19	49468558	49470135
ENSG00000090382	12	69742121	69748014
ENSG00000103569	15	58430368	58478110
ENSG00000104904	19	2269485	2273487
ENSG00000105374	19	51874860	51875969
ENSG00000105701	19	18642561	18654887
ENSG00000107738	10	73507316	73533255
ENSG00000108298	17	37356536	37360980
ENSG00000108518	17	4848947	4852356
ENSG00000111348	12	15094951	15114662
ENSG00000111640	12	6643093	6647537
ENSG00000112303	6	133065009	133084598
ENSG00000112306	6	133135580	133138703
ENSG00000115590	2	102608306	102645006
ENSG00000117289	1	145438469	145442635
ENSG00000117984	11	1773982	1785222
ENSG00000119535	1	36931644	36948879
ENSG00000120129	5	172195093	172198198
ENSG00000122862	10	70847862	70864567
ENSG00000128340	22	37621301	37640488
ENSG00000130066	X	23801290	23804343
ENSG00000132965	13	31309645	31338556
ENSG00000133112	13	45911008	45915505
ENSG00000136156	13	48807294	48837063
ENSG00000136167	13	46700055	46786006
ENSG00000137818	15	69745123	69748255
ENSG00000142089	11	319669	327537
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143119	1	111415775	111442550
ENSG00000143546	1	153362508	153363664
ENSG00000147403	X	153618315	153637504
ENSG00000150991	12	125396150	125401914
ENSG00000151726	4	185676749	185747972
ENSG00000158578	X	55035488	55057497
ENSG00000158710	1	159887897	159895522
ENSG00000158869	1	161185024	161190489
ENSG00000162511	1	31205316	31230667
ENSG00000162747	1	161592986	161601753
ENSG00000163191	1	152004982	152020383
ENSG00000163220	1	153330330	153333503
ENSG00000163221	1	153346184	153348125
ENSG00000163464	2	219027568	219031718
ENSG00000163563	1	158801107	158819296
ENSG00000166710	15	45003675	45011075
ENSG00000167996	11	61727190	61735132
ENSG00000170315	17	16284112	16286059
ENSG00000171051	19	52248425	52307363
ENSG00000177105	11	3848208	3862213
ENSG00000177600	11	809647	812880
ENSG00000184009	17	79476997	79490873
ENSG00000185201	11	307631	315272
ENSG00000188404	1	169659808	169680839
ENSG00000188536	16	222846	223709
ENSG00000196154	1	153516089	153522612
ENSG00000197249	14	94843084	94857030
ENSG00000197746	10	73576055	73611126
ENSG00000197956	1	153507075	153508720
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198858	19	896503	913240
ENSG00000198888	MT	3307	4262
ENSG00000204525	6	31236526	31239907
ENSG00000204592	6	30457244	30461982
ENSG00000205542	X	12993227	12995346
ENSG00000206172	16	226679	227521
ENSG00000206503	6	29909037	29913661
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000211895	14	106173457	106175002
ENSG00000213442	12	104659056	104659669
ENSG00000213654	6	32158543	32163300
ENSG00000221792	15	44085857	44085957
ENSG00000226958	X	108297361	108297792
ENSG00000227097	11	82400571	82400944
ENSG00000231500	6	33239787	33244287
ENSG00000234745	6	31321649	31324965
ENSG00000234961	10	17275324	17276832
ENSG00000235655	2	175584505	175585526
ENSG00000239839	8	6873391	6875823
ENSG00000244734	11	5246694	5250625
ENSG00000255594	22	37621304	37622035
ENSG00000257764	12	69747273	69748005
ENSG00000263900	7	5567734	5567817
ENSG00000265401	17	16285466	16285983
ENSG00000269968	12	6646960	6647536
