ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000008438	19	46522411	46526323
ENSG00000008516	16	3096682	3110727
ENSG00000073754	1	157800704	157868046
ENSG00000077984	20	24929866	24940564
ENSG00000083454	17	3575493	3599698
ENSG00000085265	9	137801431	137809809
ENSG00000100985	20	44637547	44645200
ENSG00000104918	19	7733930	7735334
ENSG00000104974	19	55105047	55113555
ENSG00000105352	19	42125344	42133442
ENSG00000105369	19	42381190	42385439
ENSG00000106178	7	75440983	75452674
ENSG00000107807	10	102889257	102897545
ENSG00000113088	5	54320081	54330398
ENSG00000115607	2	103035149	103069025
ENSG00000117215	1	20438432	20446050
ENSG00000117322	1	207627575	207663240
ENSG00000118113	11	102582526	102597781
ENSG00000119535	1	36931644	36948879
ENSG00000119919	10	101292690	101296278
ENSG00000123405	12	54685895	54694905
ENSG00000124875	4	74702214	74714781
ENSG00000125498	19	55281263	55295774
ENSG00000128218	22	24094930	24096655
ENSG00000128383	22	39348746	39359188
ENSG00000131042	19	54777675	54785039
ENSG00000132185	1	161676762	161684142
ENSG00000132704	1	157715523	157746922
ENSG00000134061	5	66478103	66492627
ENSG00000136011	12	103981051	104160505
ENSG00000136250	7	36552456	36764154
ENSG00000136573	8	11351510	11422113
ENSG00000137101	9	35609530	35646807
ENSG00000140749	16	21652609	21663981
ENSG00000142405	19	54296857	54327648
ENSG00000144771	3	54952264	55001115
ENSG00000147697	8	130760442	130799134
ENSG00000153563	2	87011729	87035519
ENSG00000156234	4	78432907	78532988
ENSG00000156575	11	57144242	57148623
ENSG00000156738	11	60223225	60238233
ENSG00000156886	16	31404633	31437826
ENSG00000158481	1	158259576	158263420
ENSG00000159339	1	17634690	17690499
ENSG00000159958	22	42321045	42322822
ENSG00000160683	11	118754475	118768508
ENSG00000160856	1	157644111	157670647
ENSG00000160883	5	176307870	176326333
ENSG00000162747	1	161592986	161601753
ENSG00000162892	1	207070788	207077484
ENSG00000162894	1	207077731	207096592
ENSG00000163221	1	153346184	153348125
ENSG00000163464	2	219027568	219031718
ENSG00000163508	3	27757440	27764206
ENSG00000163534	1	157764193	157789895
ENSG00000163736	4	74852755	74853914
ENSG00000163737	4	74846794	74847841
ENSG00000164821	8	6793344	6795860
ENSG00000166211	12	101869199	101880775
ENSG00000166527	12	8662071	8674962
ENSG00000167483	19	17634110	17664648
ENSG00000167633	19	55235969	55378448
ENSG00000170476	5	138723169	138725770
ENSG00000170866	19	54799854	54809952
ENSG00000170956	19	42300369	42315591
ENSG00000171611	6	42883727	42893573
ENSG00000173200	3	122296449	122357894
ENSG00000173369	1	22979255	22988031
ENSG00000174123	4	38773860	38784611
ENSG00000174837	19	6887577	6940470
ENSG00000177455	16	28943260	28950667
ENSG00000177675	12	7499281	7632493
ENSG00000181273	11	56756347	56757342
ENSG00000181617	4	71091788	71100969
ENSG00000181631	3	151044100	151047336
ENSG00000183019	19	7741514	7744712
ENSG00000183072	5	172659112	172662360
ENSG00000186074	17	72690452	72709117
ENSG00000187116	19	54818353	54824409
ENSG00000188820	6	116782533	116784934
ENSG00000188822	1	24197016	24285549
ENSG00000189013	19	55236002	55325972
ENSG00000189430	19	55417508	55427508
ENSG00000196092	9	36833272	37034103
ENSG00000196415	19	840963	848175
ENSG00000206047	8	6835171	6837602
ENSG00000213578	15	75118888	75124141
ENSG00000226777	14	106383838	106391825
ENSG00000227507	6	31548302	31550299
ENSG00000236311	10	102849078	102890883
ENSG00000239839	8	6873391	6875823
ENSG00000239961	19	54844456	54850421
ENSG00000239998	19	55084387	55099027
ENSG00000240247	8	6854288	6875778
ENSG00000240505	17	16832849	16875432
ENSG00000254521	19	51994611	52005043
ENSG00000254709	22	23229960	23238287
ENSG00000255833	5	134779908	134788089
ENSG00000261359	16	31213206	31214773
ENSG00000268162	12	57390745	57391335
