ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000002726	7	150521715	150558592
ENSG00000004939	17	42325753	42345509
ENSG00000007216	17	26800311	26824799
ENSG00000019186	20	52769988	52790512
ENSG00000036828	3	121902530	122005342
ENSG00000066813	16	20547548	20587749
ENSG00000070915	16	56899119	56949762
ENSG00000074803	15	48483861	48596275
ENSG00000075891	10	102495360	102589698
ENSG00000081479	2	169983619	170219195
ENSG00000081800	7	122753585	122840040
ENSG00000086159	12	50360977	50370922
ENSG00000095932	19	3474405	3480540
ENSG00000100253	22	50925213	50929077
ENSG00000100362	22	37196728	37215523
ENSG00000100557	14	57936019	57960585
ENSG00000104327	8	91070836	91107703
ENSG00000105929	7	138391040	138484305
ENSG00000110195	11	71900602	71907345
ENSG00000112499	6	160592093	160698670
ENSG00000113073	5	139739787	139754728
ENSG00000113249	5	156456424	156486130
ENSG00000113492	5	34998206	35048198
ENSG00000113889	3	186435065	186461743
ENSG00000113946	3	190040330	190129932
ENSG00000116039	2	71163012	71192536
ENSG00000116218	1	179519674	179545087
ENSG00000116882	1	119911402	119936753
ENSG00000118785	4	88896819	88904562
ENSG00000124564	6	25833294	25882514
ENSG00000124568	6	25783125	25832287
ENSG00000125255	13	103696350	103719196
ENSG00000125618	2	113973574	114036527
ENSG00000127412	7	142605267	142630905
ENSG00000131183	5	176806236	176825849
ENSG00000131400	19	50861734	50869087
ENSG00000132130	17	35294084	35301917
ENSG00000135638	2	73143389	73162020
ENSG00000137251	6	54172657	54254950
ENSG00000137731	11	117671559	117699413
ENSG00000138079	2	44502599	44548633
ENSG00000140675	16	31494323	31502181
ENSG00000143839	1	204123944	204135465
ENSG00000144035	2	73867959	73869520
ENSG00000145692	5	78407602	78428108
ENSG00000147614	8	86999552	87166457
ENSG00000148942	11	26688566	26744974
ENSG00000149124	11	58407899	58499447
ENSG00000149452	11	62756626	62783311
ENSG00000150201	10	43867090	43871783
ENSG00000151418	1	198492352	198510075
ENSG00000151704	11	128706210	128737268
ENSG00000153086	2	135596117	135659604
ENSG00000154025	17	18853658	18925908
ENSG00000156222	15	85427885	85518876
ENSG00000157335	16	70207225	70221264
ENSG00000158296	20	45186463	45304714
ENSG00000160202	21	44589118	44592915
ENSG00000161270	19	36316866	36360189
ENSG00000161992	16	610422	615528
ENSG00000162366	1	47649265	47656716
ENSG00000162391	1	55074855	55089229
ENSG00000162399	1	55464606	55476556
ENSG00000162897	1	207131310	207143970
ENSG00000164325	5	72469022	72470970
ENSG00000164363	5	1225470	1246304
ENSG00000164825	8	6728097	6735544
ENSG00000165685	12	10323141	10344400
ENSG00000166589	16	66942025	66952887
ENSG00000167580	12	50344524	50352664
ENSG00000168065	11	64323098	64340347
ENSG00000168269	5	169532901	169536727
ENSG00000169344	16	20344374	20367623
ENSG00000170689	17	46698518	46703839
ENSG00000170927	6	51480098	51952423
ENSG00000171234	4	69917081	69978705
ENSG00000172367	11	119056166	119060932
ENSG00000173253	9	1050354	1057552
ENSG00000174358	5	1201710	1225232
ENSG00000174827	1	145726918	145764074
ENSG00000176387	16	67464555	67471456
ENSG00000178828	1	20140523	20141771
ENSG00000180251	2	103089762	103150431
ENSG00000180638	17	19581601	19622292
ENSG00000183747	16	20462783	20498991
ENSG00000184434	9	26993134	27005691
ENSG00000184908	1	16370272	16383803
ENSG00000187048	1	47394849	47407156
ENSG00000187783	10	45406648	45432450
ENSG00000188816	10	124907638	124910188
ENSG00000197891	11	64358113	64369820
ENSG00000197901	11	62703857	62752455
ENSG00000198203	2	108905095	108926371
ENSG00000198398	3	190146444	190167665
ENSG00000204511	6	31496494	31498009
ENSG00000205279	5	126984736	126994322
ENSG00000214128	7	138482695	138522846
ENSG00000250799	19	36290890	36304201
ENSG00000261667	8	144161874	144164418
ENSG00000267824	16	20499024	20500981
