ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000014257	3	132036211	132087142
ENSG00000016082	5	50678921	50690564
ENSG00000060140	12	10771538	10826917
ENSG00000081277	1	201252580	201302121
ENSG00000086205	11	49168187	49230222
ENSG00000088002	19	49055332	49102682
ENSG00000089356	19	35606732	35615228
ENSG00000100285	22	29876219	29887379
ENSG00000100373	22	45680863	45691755
ENSG00000101441	20	23666277	23669677
ENSG00000103534	16	19421818	19510435
ENSG00000105668	19	36157715	36169367
ENSG00000106031	7	27233122	27239725
ENSG00000106038	7	27282164	27290112
ENSG00000106541	7	16831435	16873057
ENSG00000107018	9	5334969	5339873
ENSG00000109182	4	48988264	49064098
ENSG00000111249	12	111471828	111788358
ENSG00000113430	5	1877541	1887350
ENSG00000116745	1	68894505	68915642
ENSG00000120903	8	27317279	27337400
ENSG00000121075	17	59529765	59562471
ENSG00000122585	7	24323782	24331484
ENSG00000124157	20	43849941	43853099
ENSG00000124233	20	43835638	43838413
ENSG00000124664	6	34505579	34524110
ENSG00000128253	22	32586422	32600718
ENSG00000128422	17	39775689	39781094
ENSG00000128710	2	176973518	176984670
ENSG00000128713	2	176968944	176974722
ENSG00000128714	2	176957619	176960666
ENSG00000129514	14	38059189	38069245
ENSG00000131746	17	38632080	38657849
ENSG00000135373	11	34642640	34682604
ENSG00000137558	8	75736772	75767264
ENSG00000137699	11	119981983	120056237
ENSG00000138271	3	151011891	151034740
ENSG00000138294	10	51549498	51562517
ENSG00000139865	14	38065052	38510647
ENSG00000140506	15	75105057	75118099
ENSG00000142515	19	51358171	51364020
ENSG00000144339	2	192813769	193060435
ENSG00000144481	2	234826043	234928166
ENSG00000145113	3	195473636	195539148
ENSG00000146205	2	242127924	242164792
ENSG00000146352	6	123317116	123394072
ENSG00000149021	11	62172575	62190667
ENSG00000154342	1	228194752	228248961
ENSG00000157828	Y	22918050	22942918
ENSG00000158715	1	205626979	205649587
ENSG00000159182	17	46799084	46799884
ENSG00000159184	17	46802125	46806540
ENSG00000160182	21	43782391	43786703
ENSG00000162078	16	2880170	2888967
ENSG00000163017	2	74119441	74146992
ENSG00000163497	2	219845809	219850379
ENSG00000163810	3	44916100	44956482
ENSG00000164651	7	20823906	20826505
ENSG00000165078	8	68334360	68658620
ENSG00000165125	7	142568956	142583507
ENSG00000166105	11	134144139	134189458
ENSG00000167034	8	23536206	23540440
ENSG00000167332	11	4701401	4719084
ENSG00000167653	8	143751726	143764142
ENSG00000167749	19	51409608	51413994
ENSG00000167751	19	51364824	51383823
ENSG00000168539	11	62676151	62689279
ENSG00000168875	3	137483579	137484396
ENSG00000169894	7	100547187	100611118
ENSG00000170178	2	176964458	176966408
ENSG00000170373	20	23728190	23731905
ENSG00000171346	17	39669995	39678781
ENSG00000173826	17	61600695	61626338
ENSG00000174279	2	176942200	176948641
ENSG00000178206	2	132044330	132050127
ENSG00000179593	17	7942335	7952452
ENSG00000183273	12	119772517	119978852
ENSG00000184012	21	42836478	42903043
ENSG00000184709	9	140063210	140064503
ENSG00000186081	12	52908359	52914471
ENSG00000186458	20	238377	241737
ENSG00000187094	3	42299317	42307699
ENSG00000187537	14	19983559	20020272
ENSG00000187689	4	71384257	71398459
ENSG00000187848	12	133195366	133198972
ENSG00000188959	9	112952328	112970469
ENSG00000196091	12	101962131	102079796
ENSG00000196104	4	167654535	168155947
ENSG00000196353	3	131252399	132004254
ENSG00000196542	3	161062580	161090668
ENSG00000197846	6	26199748	26200942
ENSG00000198062	22	16256441	16287937
ENSG00000204385	6	31830969	31846823
ENSG00000205277	7	100612904	100662230
ENSG00000213578	15	75118888	75124141
ENSG00000222036	14	19553365	19590078
ENSG00000225950	19	49559050	49568333
ENSG00000248801	8	69215703	69243726
ENSG00000256463	18	76740275	76762677
ENSG00000268080	8	94241867	94242388
