ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000063180	19	49141199	49149569
ENSG00000067225	15	72491370	72524164
ENSG00000074317	5	176047085	176057530
ENSG00000075624	7	5566782	5603415
ENSG00000080824	14	102547075	102606036
ENSG00000087086	19	49468558	49470135
ENSG00000087250	16	56622986	56625000
ENSG00000089220	12	118573663	118583389
ENSG00000096384	6	44214824	44221620
ENSG00000100316	22	39708887	39716394
ENSG00000100362	22	37196728	37215523
ENSG00000101210	20	62119366	62130505
ENSG00000102924	16	49311828	49315742
ENSG00000104435	8	80523049	80578410
ENSG00000104833	19	6494330	6502859
ENSG00000104852	19	49588676	49611862
ENSG00000104904	19	2269485	2273487
ENSG00000104964	19	3052908	3063105
ENSG00000105696	19	18718240	18731849
ENSG00000107317	9	139871956	139879887
ENSG00000108298	17	37356536	37360980
ENSG00000108387	17	56597611	56618179
ENSG00000109107	17	26900133	26904282
ENSG00000109472	4	166282346	166419472
ENSG00000109971	11	122928197	122933938
ENSG00000110700	11	17095936	17099334
ENSG00000110955	12	57031959	57039798
ENSG00000111640	12	6643093	6647537
ENSG00000111674	12	7022909	7032861
ENSG00000112306	6	133135580	133138703
ENSG00000114391	3	101399935	101405626
ENSG00000120885	8	27454434	27472548
ENSG00000122566	7	26229547	26241149
ENSG00000123416	12	49521565	49525180
ENSG00000129244	17	7549945	7561086
ENSG00000130203	19	45409011	45412650
ENSG00000131095	17	42982376	42994305
ENSG00000131584	1	1227756	1244989
ENSG00000132639	20	10199478	10288066
ENSG00000133112	13	45911008	45915505
ENSG00000136156	13	48807294	48837063
ENSG00000136854	9	130374544	130457460
ENSG00000137818	15	69745123	69748255
ENSG00000139899	14	24895738	24900160
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143933	2	47387221	47403740
ENSG00000143947	2	55459039	55462989
ENSG00000150991	12	125396150	125401914
ENSG00000159335	12	6874682	6880116
ENSG00000160014	19	47104331	47114050
ENSG00000160307	21	48018875	48025121
ENSG00000161016	8	146015150	146017972
ENSG00000165795	14	21484922	21539031
ENSG00000166165	14	103985996	103989448
ENSG00000167371	16	29823177	29827201
ENSG00000167552	12	49578579	49583107
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000168490	8	22077222	22089854
ENSG00000170315	17	16284112	16286059
ENSG00000174444	15	66790355	66816870
ENSG00000176340	11	63742079	63744015
ENSG00000177600	11	809647	812880
ENSG00000184009	17	79476997	79490873
ENSG00000184205	X	53111549	53117722
ENSG00000185615	16	333152	337215
ENSG00000187730	1	1950780	1962192
ENSG00000197746	10	73576055	73611126
ENSG00000198668	14	90862846	90874605
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000203879	X	153665266	153671814
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000225630	1	565020	566063
ENSG00000225972	1	564442	564813
ENSG00000226958	X	108297361	108297792
ENSG00000227097	11	82400571	82400944
ENSG00000229344	1	568137	568818
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000244398	11	16996240	16996560
ENSG00000253230	8	9757574	9762876
ENSG00000258017	12	49521565	49541652
ENSG00000258486	14	50053297	50053596
ENSG00000265168	17	26900135	26901261
ENSG00000265401	17	16285466	16285983
ENSG00000266844	18	74686646	74696118
ENSG00000267469	19	3052908	3053722
ENSG00000269968	12	6646960	6647536
