ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000005102	17	41717756	41739322
ENSG00000007314	17	62015914	62050278
ENSG00000010319	3	52467069	52479101
ENSG00000062282	11	75470557	75512579
ENSG00000064205	20	43343485	43357150
ENSG00000064218	9	976964	991731
ENSG00000073734	2	169779448	169887832
ENSG00000079435	19	42905659	42931578
ENSG00000081277	1	201252580	201302121
ENSG00000092009	14	24974559	24977471
ENSG00000092607	1	119425669	119532179
ENSG00000101280	20	853296	896977
ENSG00000106511	7	15650837	15726437
ENSG00000107984	10	54074056	54077802
ENSG00000108001	10	131633547	131762105
ENSG00000111713	12	21689123	21757781
ENSG00000112246	6	100832891	100912805
ENSG00000115353	2	75273590	75426826
ENSG00000116690	1	186265405	186283694
ENSG00000119927	10	113909624	113975135
ENSG00000120332	1	175036994	175117202
ENSG00000122375	10	88414314	88426605
ENSG00000123407	12	54348618	54352740
ENSG00000123612	2	158383279	158485517
ENSG00000123689	1	209848765	209849733
ENSG00000124253	20	56136136	56141513
ENSG00000126545	4	70796799	70812289
ENSG00000130173	19	11348178	11352619
ENSG00000130876	19	33699570	33716756
ENSG00000131386	3	16216156	16273499
ENSG00000132170	3	12328867	12475855
ENSG00000133317	11	63273556	63284246
ENSG00000133937	14	95234553	95236562
ENSG00000134962	4	39408473	39453156
ENSG00000135218	7	79998891	80308593
ENSG00000135447	12	54969171	54982443
ENSG00000135917	2	228549926	228582728
ENSG00000137675	11	102562218	102576537
ENSG00000138207	10	95351444	95361501
ENSG00000138615	15	65488337	65503826
ENSG00000140465	15	75011883	75017951
ENSG00000140873	16	77281710	77469011
ENSG00000145824	5	134906373	134914969
ENSG00000149124	11	58407899	58499447
ENSG00000150594	10	112836790	112840658
ENSG00000151365	11	77774907	77779397
ENSG00000151632	10	5029967	5060223
ENSG00000157150	3	12194551	12200851
ENSG00000159387	16	55357672	55364672
ENSG00000161649	17	41924516	41940997
ENSG00000162444	1	10057264	10076078
ENSG00000163064	2	119599747	119605254
ENSG00000163083	2	121103719	121109384
ENSG00000164932	8	104383743	104395225
ENSG00000165269	9	33384765	33402643
ENSG00000165478	11	124789089	124806308
ENSG00000165810	5	180467225	180488523
ENSG00000166819	15	90207596	90222658
ENSG00000166926	11	60102304	60164069
ENSG00000167588	12	50497602	50505102
ENSG00000167676	19	4502204	4517716
ENSG00000168004	11	63228876	63258666
ENSG00000168779	3	157814948	157824292
ENSG00000170262	21	33664124	33687095
ENSG00000170323	8	82390654	82395498
ENSG00000170549	5	3596168	3601517
ENSG00000172137	16	71392616	71424341
ENSG00000172901	5	115298151	115363316
ENSG00000172927	11	69061605	69182494
ENSG00000173208	12	39943835	40013553
ENSG00000174697	7	127881337	127897681
ENSG00000174807	11	66081958	66084515
ENSG00000174899	3	157261035	157395538
ENSG00000174963	3	147103833	147124647
ENSG00000175445	8	19759228	19824769
ENSG00000176194	18	12254318	12277594
ENSG00000178878	12	12878851	12982909
ENSG00000180818	12	54378849	54384063
ENSG00000181092	3	186560463	186576252
ENSG00000181234	12	128751948	129192460
ENSG00000182851	8	144295068	144299044
ENSG00000183154	8	37592279	37594944
ENSG00000183695	11	19076002	19082228
ENSG00000184601	14	105046021	105056852
ENSG00000184811	17	1182957	1204281
ENSG00000185640	12	53215194	53228079
ENSG00000186458	20	238377	241737
ENSG00000186971	21	31802572	31803216
ENSG00000187288	3	9908398	9921938
ENSG00000196616	4	100226121	100242558
ENSG00000196666	11	47608198	47610746
ENSG00000197614	12	8789942	8815484
ENSG00000197766	19	859453	863453
ENSG00000197769	1	242158792	242162375
ENSG00000203837	10	118187379	118237469
ENSG00000205186	8	82370576	82373814
ENSG00000213088	1	159173097	159176290
ENSG00000221818	8	25699246	25902913
ENSG00000224940	7	127990379	128001739
ENSG00000245848	19	33790840	33793470
