ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000002587	4	11394774	11431389
ENSG00000005187	16	20621565	20808903
ENSG00000006283	17	48638429	48704835
ENSG00000006606	7	75398851	75419214
ENSG00000008118	1	209757062	209787283
ENSG00000012124	19	35810164	35838258
ENSG00000034239	8	49623348	49647870
ENSG00000062038	16	68670092	68756519
ENSG00000089692	12	6881678	6887621
ENSG00000100867	14	24099324	24114848
ENSG00000101440	20	32782375	32857150
ENSG00000105509	19	52216365	52227247
ENSG00000105695	19	35783028	35804707
ENSG00000107736	10	73156691	73575702
ENSG00000109625	4	8594387	8621488
ENSG00000110492	11	46402306	46405375
ENSG00000114115	3	139236276	139258671
ENSG00000114923	2	220492049	220506702
ENSG00000118231	2	208986331	208989225
ENSG00000122574	7	29846102	29956682
ENSG00000123843	1	207262187	207273338
ENSG00000123999	2	220433884	220440435
ENSG00000126266	19	35842445	35843367
ENSG00000127472	1	20354672	20417683
ENSG00000128045	4	53728457	53733000
ENSG00000128285	22	41074754	41078818
ENSG00000128606	7	102553438	102585396
ENSG00000129451	19	51515995	51523431
ENSG00000132554	8	100973164	101143496
ENSG00000132677	1	156339003	156355011
ENSG00000134201	1	110254864	110318050
ENSG00000135409	12	53817639	53825318
ENSG00000136546	2	167260083	167350757
ENSG00000136574	8	11534468	11617511
ENSG00000136931	9	127243516	127269709
ENSG00000137463	4	140187317	140201492
ENSG00000138395	2	202655184	202760273
ENSG00000140459	15	74630100	74660081
ENSG00000143125	1	110993822	110999976
ENSG00000143355	1	197881037	197904608
ENSG00000143502	1	223394161	223537544
ENSG00000143768	1	226124298	226129189
ENSG00000143839	1	204123944	204135465
ENSG00000144227	2	139428342	139537918
ENSG00000145087	3	120626919	121143608
ENSG00000145536	5	5140443	5320417
ENSG00000146678	7	45927956	45933267
ENSG00000147465	8	38001167	38008783
ENSG00000149256	11	78363876	79151992
ENSG00000152580	3	151143172	151176497
ENSG00000158258	3	139654027	140296239
ENSG00000158764	1	160914815	160924589
ENSG00000159307	22	43593289	43739394
ENSG00000161082	19	3224701	3297074
ENSG00000161640	19	50452242	50464429
ENSG00000162552	1	22443798	22470462
ENSG00000162595	1	68511645	68517314
ENSG00000162873	1	205305220	205326218
ENSG00000163792	2	27371872	27376378
ENSG00000165521	14	89078775	89259096
ENSG00000168243	1	235710987	235814054
ENSG00000168830	6	87647024	87726349
ENSG00000170820	2	49189296	49381676
ENSG00000170893	3	129693148	129696781
ENSG00000171444	5	112357796	112824527
ENSG00000171551	2	233344537	233352538
ENSG00000171794	10	135043778	135045062
ENSG00000172000	19	2867333	2878515
ENSG00000173714	17	48912011	48919709
ENSG00000182230	5	175487692	175559261
ENSG00000182272	11	369796	382116
ENSG00000183770	3	138663066	138665982
ENSG00000184937	11	32409321	32457176
ENSG00000185053	8	13947373	15095848
ENSG00000185559	14	101192042	101201539
ENSG00000185686	22	22890123	22901768
ENSG00000186854	2	85048774	85134132
ENSG00000187151	11	101761405	101787253
ENSG00000188051	19	17546318	17559376
ENSG00000188730	7	49813257	49961546
ENSG00000188778	8	37820516	37824483
ENSG00000196208	2	11674242	11782914
ENSG00000196805	1	153042700	153113927
ENSG00000197301	12	66245120	66275947
ENSG00000197406	14	102027688	102029789
ENSG00000197584	3	177990720	178562217
ENSG00000198300	19	57321445	57352096
ENSG00000198816	19	7580178	7585912
ENSG00000205148	15	96831280	96831660
ENSG00000205929	21	34162985	34186053
ENSG00000206262	3	138666076	138672293
ENSG00000217455	7	3179868	3214287
ENSG00000228032	14	104710541	104712473
ENSG00000241186	3	46616045	46668033
ENSG00000244094	1	153084590	153085991
ENSG00000248469	5	175476681	175489024
ENSG00000254656	14	101346992	101351184
ENSG00000255394	8	11618896	11620309
ENSG00000256391	6	166307330	166309725
ENSG00000260230	9	111892573	111929571
