ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006016	19	18683030	18718551
ENSG00000038427	5	82767284	82878122
ENSG00000049323	2	33172039	33624576
ENSG00000049540	7	73442119	73484237
ENSG00000061455	5	122424816	122529960
ENSG00000064205	20	43343485	43357150
ENSG00000072195	2	220299568	220363009
ENSG00000076706	11	119179241	119192231
ENSG00000077943	10	15555948	15762124
ENSG00000086991	11	89057524	89322779
ENSG00000103175	16	84328252	84363450
ENSG00000105664	19	18893583	18902123
ENSG00000106366	7	100770370	100782547
ENSG00000106809	9	95146249	95166978
ENSG00000106819	9	95218487	95244788
ENSG00000107796	10	90694831	90751147
ENSG00000108823	17	48241575	48253292
ENSG00000109158	4	46920917	46996424
ENSG00000111341	12	15034115	15038860
ENSG00000112214	6	97010424	97064512
ENSG00000112837	6	85397069	85474237
ENSG00000115414	2	216225163	216300895
ENSG00000117069	1	77333126	77531396
ENSG00000118729	1	116242628	116311402
ENSG00000119681	14	74964873	75079306
ENSG00000121898	10	125465723	125699783
ENSG00000122176	1	203309756	203320617
ENSG00000124212	20	48120411	48184683
ENSG00000124780	6	39266777	39282329
ENSG00000127083	9	95176527	95186743
ENSG00000127472	1	20354672	20417683
ENSG00000128606	7	102553438	102585396
ENSG00000130037	12	5153085	5155949
ENSG00000130176	19	11649532	11661138
ENSG00000133026	17	8377523	8534079
ENSG00000133067	1	202163029	202288909
ENSG00000133392	16	15797029	15950890
ENSG00000133454	22	26138111	26427007
ENSG00000135312	6	78171948	78173490
ENSG00000135324	6	84743475	84800600
ENSG00000136999	8	120428546	120436593
ENSG00000137809	15	68594050	68724501
ENSG00000140538	15	88418230	88799999
ENSG00000140545	15	89441916	89456642
ENSG00000140945	16	82660408	83830204
ENSG00000141052	17	12569207	12672266
ENSG00000141161	17	33474836	33516364
ENSG00000141469	18	43304092	43332485
ENSG00000143127	1	145524891	145543868
ENSG00000143768	1	226124298	226129189
ENSG00000144057	2	107418056	107503564
ENSG00000144810	3	99357319	99518070
ENSG00000145681	5	82933624	83017432
ENSG00000145936	5	169801675	169816681
ENSG00000149591	11	117070037	117075498
ENSG00000151468	10	12938627	13141652
ENSG00000157766	15	89346674	89418585
ENSG00000158764	1	160914815	160924589
ENSG00000159251	15	35080297	35088340
ENSG00000162267	3	52828784	52843025
ENSG00000162458	1	16083102	16113089
ENSG00000162998	2	183698002	183731890
ENSG00000163431	1	201865580	201915715
ENSG00000163710	3	142534764	142608045
ENSG00000164176	5	83236373	83680611
ENSG00000164532	7	35242042	35293758
ENSG00000164761	8	119935796	119964439
ENSG00000165323	11	92085262	92629618
ENSG00000166448	7	98444111	98468394
ENSG00000167641	19	38741877	38747231
ENSG00000167941	17	41831099	41836156
ENSG00000168427	2	239047363	239061588
ENSG00000172724	9	34689564	34691274
ENSG00000173705	3	33191537	33260707
ENSG00000176678	16	86609974	86615303
ENSG00000176692	16	86600857	86602539
ENSG00000177791	10	75391412	75401515
ENSG00000178776	5	147260289	147286101
ENSG00000178860	8	72753784	72756703
ENSG00000179772	20	30432103	30433420
ENSG00000179914	1	160846329	160854960
ENSG00000181092	3	186560463	186576252
ENSG00000182533	3	8775486	8883492
ENSG00000184471	16	1140005	1146244
ENSG00000184601	14	105046021	105056852
ENSG00000184811	17	1182957	1204281
ENSG00000185634	15	49115932	49255641
ENSG00000185860	1	162794248	162838605
ENSG00000186340	6	169615875	169654139
ENSG00000187288	3	9908398	9921938
ENSG00000187955	8	121072019	121384275
ENSG00000188257	1	20301925	20306932
ENSG00000188783	1	203444956	203460480
ENSG00000198523	6	118869461	118881893
ENSG00000198842	1	167063282	167098402
ENSG00000198959	20	36756863	36794980
ENSG00000254959	7	30791753	30931696
ENSG00000255394	8	11618896	11620309
ENSG00000257341	14	105953536	105958604
ENSG00000272573	3	52867130	52869235
