ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000022267	X	135229559	135293518
ENSG00000026025	10	17270258	17279592
ENSG00000075624	7	5566782	5603415
ENSG00000076706	11	119179241	119192231
ENSG00000087086	19	49468558	49470135
ENSG00000092841	12	56551945	56557280
ENSG00000100097	22	38071615	38075813
ENSG00000100316	22	39708887	39716394
ENSG00000101335	20	35169887	35178228
ENSG00000105193	19	39923847	39926588
ENSG00000106211	7	75931861	75933612
ENSG00000106624	7	44143960	44154161
ENSG00000107796	10	90694831	90751147
ENSG00000108298	17	37356536	37360980
ENSG00000110700	11	17095936	17099334
ENSG00000111341	12	15034115	15038860
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000113140	5	151040657	151066726
ENSG00000115414	2	216225163	216300895
ENSG00000118181	11	118886422	118889401
ENSG00000120129	5	172195093	172198198
ENSG00000120885	8	27454434	27472548
ENSG00000122406	1	93297582	93307481
ENSG00000125148	16	56642111	56643409
ENSG00000125868	20	17550508	17590564
ENSG00000130176	19	11649532	11661138
ENSG00000133112	13	45911008	45915505
ENSG00000133392	16	15797029	15950890
ENSG00000137818	15	69745123	69748255
ENSG00000140545	15	89441916	89456642
ENSG00000142089	11	319669	327537
ENSG00000142173	21	47518011	47552763
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143248	1	163080911	163291577
ENSG00000143878	2	20646835	20649200
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000148671	10	88727949	88743691
ENSG00000149131	11	57364860	57382326
ENSG00000149591	11	117070037	117075498
ENSG00000150991	12	125396150	125401914
ENSG00000152583	4	88394487	88452213
ENSG00000156508	6	74225473	74233520
ENSG00000159176	1	201452658	201478584
ENSG00000161016	8	146015150	146017972
ENSG00000163017	2	74119441	74146992
ENSG00000163431	1	201865580	201915715
ENSG00000163453	4	57896939	57976551
ENSG00000166710	15	45003675	45011075
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000171223	19	12902310	12904124
ENSG00000174444	15	66790355	66816870
ENSG00000175084	2	220283099	220291461
ENSG00000175899	12	9220260	9268825
ENSG00000177600	11	809647	812880
ENSG00000180139	10	90692400	90700368
ENSG00000182492	X	152760397	152775012
ENSG00000184009	17	79476997	79490873
ENSG00000187514	2	232571605	232578251
ENSG00000196205	9	135894816	135896553
ENSG00000196924	X	153576892	153603006
ENSG00000197956	1	153507075	153508720
ENSG00000198467	9	35681989	35691017
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000198959	20	36756863	36794980
ENSG00000205542	X	12993227	12995346
ENSG00000210082	MT	1671	3229
ENSG00000211445	5	150400124	150408554
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000225630	1	565020	566063
ENSG00000227081	12	3320775	3321096
ENSG00000229124	10	17256238	17271984
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234851	3	161146915	161147398
ENSG00000234961	10	17275324	17276832
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000244398	11	16996240	16996560
ENSG00000256309	2	218664514	218665979
ENSG00000259716	20	35177530	35232932
ENSG00000263065	16	15835008	15835648
ENSG00000263335	16	15820531	15826850
ENSG00000263900	7	5567734	5567817
ENSG00000265401	17	16285466	16285983
ENSG00000269888	3	161146900	161147401
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
