ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000015413	16	89679716	89704839
ENSG00000019582	5	149781200	149792492
ENSG00000034510	2	85132749	85133795
ENSG00000075624	7	5566782	5603415
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000100316	22	39708887	39716394
ENSG00000101335	20	35169887	35178228
ENSG00000102837	13	53602894	53626192
ENSG00000105193	19	39923847	39926588
ENSG00000108298	17	37356536	37360980
ENSG00000110244	11	116691419	116694022
ENSG00000110245	11	116700422	116703788
ENSG00000110700	11	17095936	17099334
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000115386	2	79347488	79350545
ENSG00000117289	1	145438469	145442635
ENSG00000118137	11	116706467	116708666
ENSG00000118181	11	118886422	118889401
ENSG00000122406	1	93297582	93307481
ENSG00000132465	4	71521258	71547534
ENSG00000133112	13	45911008	45915505
ENSG00000136872	9	104182860	104198105
ENSG00000136942	9	127620159	127624260
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000140988	16	2012053	2014861
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000156508	6	74225473	74233520
ENSG00000161016	8	146015150	146017972
ENSG00000163399	1	116915290	116952883
ENSG00000164816	8	6912831	6914256
ENSG00000164822	8	6782215	6783598
ENSG00000166710	15	45003675	45011075
ENSG00000166825	15	90328120	90358633
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000170231	5	159614374	159665742
ENSG00000170315	17	16284112	16286059
ENSG00000170421	12	53290977	53343738
ENSG00000171345	17	39679869	39684560
ENSG00000171747	19	39292311	39304004
ENSG00000172016	2	79384132	79386879
ENSG00000172023	2	79312156	79315145
ENSG00000175084	2	220283099	220291461
ENSG00000177600	11	809647	812880
ENSG00000184009	17	79476997	79490873
ENSG00000188257	1	20301925	20306932
ENSG00000196205	9	135894816	135896553
ENSG00000197273	1	42628362	42630389
ENSG00000197956	1	153507075	153508720
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000204287	6	32407619	32412823
ENSG00000204525	6	31236526	31239907
ENSG00000205542	X	12993227	12995346
ENSG00000206503	6	29909037	29913661
ENSG00000210082	MT	1671	3229
ENSG00000211445	5	150400124	150408554
ENSG00000211459	MT	648	1601
ENSG00000211593	2	89160080	89160117
ENSG00000211594	2	89160398	89160434
ENSG00000211675	22	23237555	23238014
ENSG00000211677	22	23243156	23243617
ENSG00000211679	22	23248512	23248973
ENSG00000211890	14	106053226	106054732
ENSG00000211895	14	106173457	106175002
ENSG00000211899	14	106320349	106322323
ENSG00000213442	12	104659056	104659669
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000225972	1	564442	564813
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000233041	15	40643234	40648635
ENSG00000234745	6	31321649	31324965
ENSG00000234851	3	161146915	161147398
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000244398	11	16996240	16996560
ENSG00000259716	20	35177530	35232932
ENSG00000263900	7	5567734	5567817
ENSG00000265401	17	16285466	16285983
ENSG00000269888	3	161146900	161147401
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
