ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000019582	5	149781200	149792492
ENSG00000023330	3	52232102	52248343
ENSG00000064601	20	44518783	44527459
ENSG00000072778	17	7120444	7128592
ENSG00000073060	12	125261402	125367214
ENSG00000075624	7	5566782	5603415
ENSG00000085662	7	134127102	134144036
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000089220	12	118573663	118583389
ENSG00000096384	6	44214824	44221620
ENSG00000100316	22	39708887	39716394
ENSG00000101335	20	35169887	35178228
ENSG00000104904	19	2269485	2273487
ENSG00000105193	19	39923847	39926588
ENSG00000106153	7	56169262	56174269
ENSG00000106211	7	75931861	75933612
ENSG00000106538	7	150035408	150038763
ENSG00000108298	17	37356536	37360980
ENSG00000110955	12	57031959	57039798
ENSG00000111341	12	15034115	15038860
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000112936	5	40909354	40983041
ENSG00000116133	1	55315306	55352891
ENSG00000117289	1	145438469	145442635
ENSG00000117984	11	1773982	1785222
ENSG00000120885	8	27454434	27472548
ENSG00000122406	1	93297582	93307481
ENSG00000124172	20	57600522	57607437
ENSG00000125148	16	56642111	56643409
ENSG00000130203	19	45409011	45412650
ENSG00000130208	19	45417504	45422606
ENSG00000130303	19	17513748	17516457
ENSG00000130600	11	2016406	2022700
ENSG00000133112	13	45911008	45915505
ENSG00000136942	9	127620159	127624260
ENSG00000136999	8	120428546	120436593
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000140459	15	74630100	74660081
ENSG00000140988	16	2012053	2014861
ENSG00000142089	11	319669	327537
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000142937	1	45240923	45244451
ENSG00000143819	1	225997794	226033260
ENSG00000143947	2	55459039	55462989
ENSG00000144381	2	198351305	198381461
ENSG00000147403	X	153618315	153637504
ENSG00000147465	8	38001167	38008783
ENSG00000148303	9	136215069	136218281
ENSG00000148795	10	104590288	104597290
ENSG00000156508	6	74225473	74233520
ENSG00000160882	8	143953772	143961262
ENSG00000161016	8	146015150	146017972
ENSG00000166710	15	45003675	45011075
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000170315	17	16284112	16286059
ENSG00000177600	11	809647	812880
ENSG00000184009	17	79476997	79490873
ENSG00000185559	14	101192042	101201539
ENSG00000196205	9	135894816	135896553
ENSG00000197746	10	73576055	73611126
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000203859	1	119957554	119965658
ENSG00000205542	X	12993227	12995346
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000225972	1	564442	564813
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000231500	6	33239787	33244287
ENSG00000231852	6	32006042	32009447
ENSG00000232573	14	99439216	99439638
ENSG00000234745	6	31321649	31324965
ENSG00000234851	3	161146915	161147398
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000242396	1	55352548	55353674
ENSG00000243955	6	52656462	52668708
ENSG00000244398	11	16996240	16996560
ENSG00000259716	20	35177530	35232932
ENSG00000262831	17	79801041	79801834
ENSG00000265401	17	16285466	16285983
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
