ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000011426	7	36429415	36493400
ENSG00000013293	3	170177372	170303863
ENSG00000015592	8	27092840	27115937
ENSG00000017373	17	36686251	36762183
ENSG00000021300	11	73357223	73373864
ENSG00000058335	15	79252289	79383115
ENSG00000064787	20	52553316	52687304
ENSG00000084453	12	21417534	21572528
ENSG00000091513	3	133464800	133497850
ENSG00000091664	11	22359643	22401049
ENSG00000101542	18	59000815	59223006
ENSG00000103089	16	74746853	74808729
ENSG00000103184	16	5008318	5069159
ENSG00000103740	15	78459810	78538030
ENSG00000105290	19	36358801	36370693
ENSG00000105605	19	54412589	54447195
ENSG00000105695	19	35783028	35804707
ENSG00000109956	11	134248398	134281812
ENSG00000112309	6	71566382	71666741
ENSG00000114757	3	179512746	179754841
ENSG00000116147	1	175284330	175712906
ENSG00000117115	1	17393256	17445948
ENSG00000118298	1	150229554	150237478
ENSG00000118785	4	88896819	88904562
ENSG00000123119	8	91803778	91971636
ENSG00000125462	1	156374042	156400493
ENSG00000125820	20	21491648	21494664
ENSG00000126860	17	29644578	29648902
ENSG00000126861	17	29599031	29624557
ENSG00000131095	17	42982376	42994305
ENSG00000132692	1	156611182	156629324
ENSG00000132702	1	156589086	156595517
ENSG00000136541	2	158175137	158184225
ENSG00000137285	6	3224495	3231964
ENSG00000139737	13	78272023	78338377
ENSG00000140600	15	84115980	84287495
ENSG00000146005	5	139175406	139224051
ENSG00000147488	8	53023399	53373519
ENSG00000147588	8	82352561	82359758
ENSG00000148826	10	134598297	134599556
ENSG00000149557	11	125315646	125366213
ENSG00000150656	18	72201675	72254448
ENSG00000152578	11	105480721	105852819
ENSG00000152910	16	76311176	76593135
ENSG00000154493	10	128113566	128359079
ENSG00000155886	9	19507450	19786926
ENSG00000157851	2	27070615	27173219
ENSG00000158865	16	24857162	24922949
ENSG00000159784	7	143050493	143059863
ENSG00000160307	21	48018875	48025121
ENSG00000160781	1	156213206	156217881
ENSG00000162728	1	160051360	160060353
ENSG00000164124	4	159122756	159176563
ENSG00000165388	10	48355024	48373866
ENSG00000165478	11	124789089	124806308
ENSG00000165566	13	25735822	25746426
ENSG00000166091	14	23846017	23848981
ENSG00000167755	19	51461887	51472929
ENSG00000168314	3	39508689	39570970
ENSG00000168481	8	22004338	22014597
ENSG00000170075	1	202091986	202102720
ENSG00000170775	7	124386051	124405681
ENSG00000171885	18	24432002	24445782
ENSG00000171956	15	60296421	60353929
ENSG00000172508	11	67182439	67193078
ENSG00000173988	13	46786083	46851501
ENSG00000174469	7	145813453	148118090
ENSG00000174607	4	115519611	115599380
ENSG00000176381	6	166719168	166721936
ENSG00000177807	1	160007257	160040038
ENSG00000178722	5	60933535	61047590
ENSG00000179292	11	66059341	66064135
ENSG00000180354	7	30174426	30202378
ENSG00000180834	3	183533664	183543382
ENSG00000184144	1	205012325	205047627
ENSG00000184221	21	34442450	34444726
ENSG00000184486	6	99282580	99286660
ENSG00000186231	6	97372605	97588630
ENSG00000187135	19	30017406	30055386
ENSG00000188501	15	66839517	66858317
ENSG00000188580	6	124125286	125146803
ENSG00000196071	1	248100493	248264224
ENSG00000196104	4	167654535	168155947
ENSG00000196361	19	11562141	11591861
ENSG00000197430	10	98102973	98119092
ENSG00000197971	18	74690783	74845639
ENSG00000198822	7	86273230	86494200
ENSG00000198835	1	228337553	228347527
ENSG00000204278	17	76227391	76237068
ENSG00000204644	6	29640169	29648887
ENSG00000204655	6	29624758	29640149
ENSG00000205116	1	1361508	1363167
ENSG00000205927	21	34398153	34401504
ENSG00000218672	7	155174771	155189051
ENSG00000221887	18	61616535	61649008
ENSG00000225683	6	163586446	163612840
ENSG00000232560	21	18811208	18821503
ENSG00000233670	17	10725792	10741762
ENSG00000249853	6	114376750	114664209
ENSG00000272268	2	6111712	6114374
