ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000007216	17	26800311	26824799
ENSG00000016490	1	86934051	86965972
ENSG00000021488	19	33321415	33360672
ENSG00000039987	19	12862516	12869272
ENSG00000044012	1	42619092	42621495
ENSG00000070019	12	14765576	14849519
ENSG00000074276	5	175969512	176022975
ENSG00000079112	8	95139399	95229531
ENSG00000090402	3	164696686	164796283
ENSG00000091138	7	107405912	107443670
ENSG00000099812	19	751126	764319
ENSG00000102837	13	53602894	53626192
ENSG00000104537	8	124693034	124749647
ENSG00000106178	7	75440983	75452674
ENSG00000110244	11	116691419	116694022
ENSG00000111701	12	7801996	7818499
ENSG00000112818	6	46761127	46807515
ENSG00000113722	5	149546358	149564120
ENSG00000114113	3	139171726	139199589
ENSG00000114248	3	169556967	169587718
ENSG00000114455	3	108015376	108097132
ENSG00000115850	2	136545410	136594750
ENSG00000122711	9	33218363	33248565
ENSG00000125255	13	103696350	103719196
ENSG00000127324	12	71518865	71835678
ENSG00000127831	2	219283815	219318018
ENSG00000131096	17	42030106	42081837
ENSG00000131142	19	8117651	8127534
ENSG00000133636	12	86268073	86276770
ENSG00000134028	8	24241798	24263526
ENSG00000134193	1	120336641	120354283
ENSG00000134398	16	23701647	23724821
ENSG00000135702	16	75562433	75569145
ENSG00000137860	15	45544428	45568149
ENSG00000141434	18	29765032	29800367
ENSG00000143167	1	167022073	167059868
ENSG00000144045	2	74745258	74753463
ENSG00000144410	2	207804278	207834198
ENSG00000145384	4	120238405	120243545
ENSG00000148483	10	17794251	17842867
ENSG00000154646	21	19641433	19858197
ENSG00000158764	1	160914815	160924589
ENSG00000163295	2	233320833	233324742
ENSG00000163515	3	108462271	108476231
ENSG00000164816	8	6912831	6914256
ENSG00000164822	8	6782215	6783598
ENSG00000165556	13	28536274	28545276
ENSG00000166143	15	41107650	41120907
ENSG00000166866	12	57422301	57444982
ENSG00000166959	11	60467047	60483284
ENSG00000167230	17	35732928	35749662
ENSG00000167800	11	67398774	67407031
ENSG00000168903	5	180415845	180433727
ENSG00000168955	2	228226872	228246711
ENSG00000169876	7	100663353	100702020
ENSG00000169894	7	100547187	100611118
ENSG00000169994	2	128293378	128395304
ENSG00000170231	5	159614374	159665742
ENSG00000171431	17	39032193	39041479
ENSG00000171747	19	39292311	39304004
ENSG00000172016	2	79384132	79386879
ENSG00000172238	4	94750042	94751221
ENSG00000172367	11	119056166	119060932
ENSG00000172689	11	60552821	60568778
ENSG00000173237	11	66742748	66744475
ENSG00000173467	7	16899029	16921611
ENSG00000173585	3	45927996	45944667
ENSG00000173702	3	124624289	124672663
ENSG00000174358	5	1201710	1225232
ENSG00000174885	11	278365	285359
ENSG00000174992	16	29789561	29793096
ENSG00000175329	22	35462129	35483380
ENSG00000178462	10	5435061	5446793
ENSG00000179520	12	100750857	100815837
ENSG00000179674	3	160394948	160396233
ENSG00000182271	17	28643351	28661077
ENSG00000183463	13	28551851	28562791
ENSG00000184040	10	18041218	18089855
ENSG00000186038	3	183814852	183824783
ENSG00000187908	10	124320181	124403252
ENSG00000188761	1	114420790	114430169
ENSG00000189325	6	36283534	36304662
ENSG00000196228	2	108863651	108881807
ENSG00000197273	1	42628362	42630389
ENSG00000197520	1	222910549	222924147
ENSG00000197888	4	69402902	69434245
ENSG00000198488	11	76745385	76753096
ENSG00000198758	1	110292702	110306649
ENSG00000198788	11	1074875	1104419
ENSG00000203857	1	120049821	120057681
ENSG00000204616	6	30070674	30080883
ENSG00000204740	10	19492779	20079330
ENSG00000213822	19	51979838	51994206
ENSG00000216560	4	3578596	3592438
ENSG00000232070	14	21567096	21571883
ENSG00000233041	15	40643234	40648635
ENSG00000241635	2	234526291	234681956
ENSG00000242515	2	234545100	234681951
ENSG00000266949	1	248902716	248903150
ENSG00000269071	5	138852108	138852506
