ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000005421	7	94926988	95025673
ENSG00000021852	1	57394883	57431813
ENSG00000055957	3	52811603	52826078
ENSG00000057593	13	113760105	113774995
ENSG00000072080	2	234959323	234985778
ENSG00000079557	4	74347400	74369691
ENSG00000080618	13	46627321	46679211
ENSG00000080910	1	196788898	196928356
ENSG00000083807	19	58990879	59023780
ENSG00000091583	17	64208151	64252643
ENSG00000099937	22	21128167	21142008
ENSG00000100197	22	42522501	42526908
ENSG00000100652	14	70242134	70264006
ENSG00000101323	20	7863628	7921121
ENSG00000105550	19	49258816	49261587
ENSG00000106327	7	100218039	100240402
ENSG00000106927	9	116822407	116840752
ENSG00000109181	4	69681711	69696914
ENSG00000110169	11	6452279	6463847
ENSG00000110243	11	116660083	116663136
ENSG00000110245	11	116700422	116703788
ENSG00000111700	12	20963636	21243040
ENSG00000112337	6	25912982	25930946
ENSG00000113600	5	39284364	39424970
ENSG00000113905	3	186378005	186396029
ENSG00000115718	2	128176003	128186822
ENSG00000116785	1	196743925	196763203
ENSG00000117601	1	173872947	173886516
ENSG00000121410	19	58856544	58864865
ENSG00000122194	6	161123270	161174347
ENSG00000128802	10	48413092	48416853
ENSG00000129965	11	2153768	2182439
ENSG00000129988	20	36974759	37005665
ENSG00000130173	19	11348178	11352619
ENSG00000130649	10	135333910	135374724
ENSG00000131187	5	176829141	176836577
ENSG00000131482	17	41052814	41065386
ENSG00000132693	1	159682079	159684379
ENSG00000132703	1	159557615	159558655
ENSG00000132855	1	63063158	63071830
ENSG00000134365	1	196819371	196888102
ENSG00000134389	1	196946667	196978804
ENSG00000134538	12	21284136	21392180
ENSG00000136881	9	104122699	104145801
ENSG00000138075	2	44039611	44066004
ENSG00000138109	10	96698415	96749147
ENSG00000138115	10	96796530	96829254
ENSG00000139269	12	57846106	57853063
ENSG00000139547	12	57345219	57353158
ENSG00000140093	14	94749650	94759608
ENSG00000140107	14	100789674	100796715
ENSG00000140505	15	75041185	75048543
ENSG00000141485	17	6588032	6616886
ENSG00000143257	1	161199456	161208092
ENSG00000143278	1	197008321	197036397
ENSG00000145192	3	186330712	186339107
ENSG00000145321	4	72607410	72669758
ENSG00000146678	7	45927956	45933267
ENSG00000148965	11	18252896	18258440
ENSG00000149742	11	63137261	63177766
ENSG00000151224	10	82031576	82049440
ENSG00000151655	10	7745232	7791483
ENSG00000151790	4	156775890	156841558
ENSG00000156096	4	70345883	70391732
ENSG00000157131	1	57320479	57383894
ENSG00000158874	1	161192082	161193421
ENSG00000159650	3	126200124	126236616
ENSG00000161944	17	7004641	7019019
ENSG00000163631	4	74262831	74287129
ENSG00000165471	10	54525140	54531460
ENSG00000170099	14	94770585	94789731
ENSG00000171557	4	155525286	155534119
ENSG00000171560	4	155504278	155511918
ENSG00000171564	4	155484108	155492238
ENSG00000172425	11	118398187	118401912
ENSG00000172482	2	241807896	241819919
ENSG00000172497	5	80625824	80689998
ENSG00000174990	16	87921625	87970135
ENSG00000175003	6	160542821	160579750
ENSG00000175336	12	56754353	56756607
ENSG00000176919	9	139839698	139841426
ENSG00000180210	11	46740730	46761056
ENSG00000180432	3	42897497	42917633
ENSG00000184374	8	120007691	120118821
ENSG00000184999	11	62905339	63137190
ENSG00000186910	14	94908801	94919127
ENSG00000187758	4	100197524	100212185
ENSG00000196600	11	62931248	62997124
ENSG00000198077	19	41381344	41388657
ENSG00000198099	4	100044808	100078949
ENSG00000198610	10	5237425	5260912
ENSG00000198650	16	71599563	71611033
ENSG00000198670	6	160952515	161087407
ENSG00000228278	9	117092149	117095532
ENSG00000229314	9	117085336	117088755
ENSG00000234906	19	45449243	45452822
ENSG00000244414	1	196788887	196801319
ENSG00000244474	2	234627424	234681945
ENSG00000255974	19	41349443	41356352
ENSG00000257017	16	72088491	72094954
