ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000005073	7	27221129	27224842
ENSG00000026559	20	49620193	49639666
ENSG00000034239	8	49623348	49647870
ENSG00000050628	1	71318036	71513491
ENSG00000054938	11	74407474	74442430
ENSG00000059915	10	104162376	104181296
ENSG00000064692	5	121647049	121799914
ENSG00000065534	3	123328896	123603178
ENSG00000074211	4	6322305	6565327
ENSG00000075073	10	71163659	71176623
ENSG00000078098	2	163027194	163101661
ENSG00000082175	11	100900355	101001255
ENSG00000088882	20	2774715	2781283
ENSG00000091831	6	151977826	152450754
ENSG00000092051	14	24037244	24048009
ENSG00000101280	20	853296	896977
ENSG00000102854	16	810762	818865
ENSG00000105419	19	47906381	47922780
ENSG00000106031	7	27233122	27239725
ENSG00000106483	7	37945543	38065297
ENSG00000107796	10	90694831	90751147
ENSG00000111913	6	24797601	25042238
ENSG00000113494	5	35048861	35230794
ENSG00000118160	19	47931274	47975425
ENSG00000119973	10	120352916	120355160
ENSG00000120251	4	158125334	158287227
ENSG00000121871	3	164904508	164914897
ENSG00000124212	20	48120411	48184683
ENSG00000127241	3	186935942	187009810
ENSG00000128652	2	177001340	177037830
ENSG00000128709	2	176987088	176989853
ENSG00000128710	2	176973518	176984670
ENSG00000128713	2	176968944	176974722
ENSG00000128918	15	58245622	58790065
ENSG00000130045	9	91150016	91199189
ENSG00000130176	19	11649532	11661138
ENSG00000130226	7	153584182	154685995
ENSG00000132329	2	238767536	238820756
ENSG00000133107	13	38210773	38444562
ENSG00000133392	16	15797029	15950890
ENSG00000133863	8	30689060	30748122
ENSG00000134198	1	115590632	115632121
ENSG00000134533	12	15260717	15501609
ENSG00000135914	2	231972944	231989832
ENSG00000137558	8	75736772	75767264
ENSG00000137809	15	68594050	68724501
ENSG00000138944	22	44639547	44708731
ENSG00000139200	12	6802958	6809966
ENSG00000141052	17	12569207	12672266
ENSG00000143768	1	226124298	226129189
ENSG00000144730	3	57124010	57204334
ENSG00000145808	5	128795958	129074376
ENSG00000145936	5	169801675	169816681
ENSG00000146352	6	123317116	123394072
ENSG00000146374	6	127439749	127518910
ENSG00000148204	9	126118449	126142603
ENSG00000149591	11	117070037	117075498
ENSG00000149596	20	42740335	42816218
ENSG00000152402	11	106544738	106889250
ENSG00000153233	12	71031853	71314623
ENSG00000154330	9	70943224	71145977
ENSG00000156113	10	78629359	79398353
ENSG00000163017	2	74119441	74146992
ENSG00000163792	2	27371872	27376378
ENSG00000164107	4	174446120	174451380
ENSG00000164920	8	99956631	99964332
ENSG00000165072	9	72658497	72841886
ENSG00000167281	17	77085427	77613550
ENSG00000169218	1	38076951	38100595
ENSG00000170049	17	7825177	7833121
ENSG00000170370	10	119301955	119309056
ENSG00000171864	20	4702556	4709106
ENSG00000171872	1	44584522	44600812
ENSG00000172935	11	68771863	68780877
ENSG00000173068	9	16409501	16870841
ENSG00000173976	19	3769087	3772233
ENSG00000174482	9	27948076	28670283
ENSG00000174576	11	66188475	66194178
ENSG00000175084	2	220283099	220291461
ENSG00000177519	2	154333852	154335322
ENSG00000178531	19	7989372	7991051
ENSG00000180440	13	37248049	37271976
ENSG00000182040	17	72912176	72919351
ENSG00000183578	15	51348795	51397473
ENSG00000183770	3	138663066	138665982
ENSG00000184937	11	32409321	32457176
ENSG00000187922	9	139632619	139637808
ENSG00000188778	8	37820516	37824483
ENSG00000188992	21	15481134	15583166
ENSG00000196208	2	11674242	11782914
ENSG00000197361	15	63889552	63894627
ENSG00000197614	12	8789942	8815484
ENSG00000206262	3	138666076	138672293
ENSG00000214237	3	150588832	150612089
ENSG00000220702	22	44761431	44762164
ENSG00000249992	3	45265958	45267770
ENSG00000253293	7	27210210	27219880
ENSG00000253304	1	29445940	29450447
ENSG00000257184	7	27203154	27219632
ENSG00000258713	20	2795633	2796479
