ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006116	16	24266874	24374122
ENSG00000015592	8	27092840	27115937
ENSG00000022355	5	161274197	161326975
ENSG00000070729	16	57917503	58005020
ENSG00000074317	5	176047085	176057530
ENSG00000084453	12	21417534	21572528
ENSG00000087250	16	56622986	56625000
ENSG00000089116	12	113899839	113910085
ENSG00000091664	11	22359643	22401049
ENSG00000100095	22	26565440	26779562
ENSG00000100427	22	50497820	50524331
ENSG00000101180	20	60790026	60795323
ENSG00000101200	20	3063202	3065370
ENSG00000101405	20	3052266	3053163
ENSG00000104435	8	80523049	80578410
ENSG00000105954	7	25264189	25268105
ENSG00000108684	17	31340105	32501983
ENSG00000112333	6	108487262	108510013
ENSG00000113327	5	161494546	161582542
ENSG00000114646	3	47603729	47622282
ENSG00000116147	1	175284330	175712906
ENSG00000116745	1	68894505	68915642
ENSG00000118702	20	35879489	35890238
ENSG00000124140	20	44650356	44688784
ENSG00000124507	6	34433916	34503006
ENSG00000125462	1	156374042	156400493
ENSG00000126861	17	29599031	29624557
ENSG00000128564	7	100805790	100808874
ENSG00000129951	19	812518	821967
ENSG00000130287	19	19322782	19363042
ENSG00000130643	10	135138927	135150475
ENSG00000131095	17	42982376	42994305
ENSG00000132164	3	10857885	10982419
ENSG00000132692	1	156611182	156629324
ENSG00000136541	2	158175137	158184225
ENSG00000136750	10	26505236	26593487
ENSG00000144119	2	119913819	119916465
ENSG00000145888	5	151202074	151304403
ENSG00000146005	5	139175406	139224051
ENSG00000148482	10	18240768	18332221
ENSG00000150361	13	70274726	70682591
ENSG00000152214	18	40323192	40695657
ENSG00000152910	16	76311176	76593135
ENSG00000152932	5	57878048	58155213
ENSG00000152954	6	24126350	24155128
ENSG00000153266	3	62355356	62359999
ENSG00000155886	9	19507450	19786926
ENSG00000160781	1	156213206	156217881
ENSG00000161610	17	40336078	40337470
ENSG00000162728	1	160051360	160060353
ENSG00000163285	4	46037786	46126098
ENSG00000163630	3	63213991	63602597
ENSG00000164076	3	49895421	49907655
ENSG00000165553	14	77731826	77737655
ENSG00000166159	12	1929433	1945918
ENSG00000166603	18	58038564	58040001
ENSG00000168314	3	39508689	39570970
ENSG00000168875	3	137483579	137484396
ENSG00000169006	2	11798304	11810290
ENSG00000169840	13	28366780	28368905
ENSG00000170091	5	173472607	173670504
ENSG00000170419	7	54610018	54638773
ENSG00000170893	3	129693148	129696781
ENSG00000171189	21	30909254	31312351
ENSG00000171540	5	76924538	76935513
ENSG00000171885	18	24432002	24445782
ENSG00000171951	2	224461658	224467221
ENSG00000172020	3	115342171	115440337
ENSG00000172568	5	156768608	156772729
ENSG00000173452	7	19758933	19813221
ENSG00000174453	2	215275789	215443683
ENSG00000174521	19	40721965	40724306
ENSG00000175874	2	101962013	102004057
ENSG00000176884	9	140032842	140063207
ENSG00000176956	8	144239331	144242128
ENSG00000177108	14	77597613	77609077
ENSG00000178233	6	44238203	44275243
ENSG00000182698	2	220192131	220197899
ENSG00000183379	14	74872596	74892805
ENSG00000183395	12	102590237	102591623
ENSG00000184221	21	34442450	34444726
ENSG00000184524	11	787104	790123
ENSG00000185742	11	109292846	109299840
ENSG00000186297	15	27111510	27194354
ENSG00000187135	19	30017406	30055386
ENSG00000187416	7	103969104	104549001
ENSG00000188011	2	242811752	242815975
ENSG00000188674	2	209030067	209054797
ENSG00000196104	4	167654535	168155947
ENSG00000196361	19	11562141	11591861
ENSG00000197177	10	134884433	134945179
ENSG00000197322	17	32901142	32906388
ENSG00000197430	10	98102973	98119092
ENSG00000197971	18	74690783	74845639
ENSG00000204278	17	76227391	76237068
ENSG00000204655	6	29624758	29640149
ENSG00000205927	21	34398153	34401504
ENSG00000220575	7	154858777	154863267
ENSG00000221946	19	35634154	35645204
ENSG00000236279	7	139208602	139229730
