ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000004776	19	36245469	36248980
ENSG00000004799	7	95212811	95225803
ENSG00000022267	X	135229559	135293518
ENSG00000060138	12	10851683	10875911
ENSG00000068976	11	64513861	64527769
ENSG00000077522	1	236849754	236927931
ENSG00000086967	19	50936160	50969578
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000092054	14	23881947	23904927
ENSG00000096384	6	44214824	44221620
ENSG00000099875	19	2037470	2051243
ENSG00000101210	20	62119366	62130505
ENSG00000101470	20	44451853	44462384
ENSG00000104879	19	45809672	45826235
ENSG00000105048	19	55644162	55660722
ENSG00000105193	19	39923847	39926588
ENSG00000106211	7	75931861	75933612
ENSG00000108298	17	37356536	37360980
ENSG00000108515	17	4851387	4860426
ENSG00000109061	17	10395624	10421860
ENSG00000109846	11	111779289	111794446
ENSG00000110700	11	17095936	17099334
ENSG00000110955	12	57031959	57039798
ENSG00000111245	12	111348623	111358526
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000114854	3	52485118	52488086
ENSG00000117289	1	145438469	145442635
ENSG00000121769	1	31838472	31849697
ENSG00000125148	16	56642111	56643409
ENSG00000125414	17	10424465	10453274
ENSG00000128591	7	128470431	128499328
ENSG00000130595	11	1940792	1959936
ENSG00000130598	11	1860219	1862910
ENSG00000130600	11	2016406	2022700
ENSG00000133112	13	45911008	45915505
ENSG00000136717	2	127805603	127864931
ENSG00000137818	15	69745123	69748255
ENSG00000142534	19	49999622	50002946
ENSG00000143318	1	160160285	160171676
ENSG00000143632	1	229566992	229569845
ENSG00000147403	X	153618315	153637504
ENSG00000149925	16	30064411	30081778
ENSG00000150991	12	125396150	125401914
ENSG00000154553	4	186422851	186456766
ENSG00000156885	16	31439052	31439967
ENSG00000158022	1	26377795	26394927
ENSG00000159173	1	201373625	201398994
ENSG00000160808	3	46899362	46923659
ENSG00000161016	8	146015150	146017972
ENSG00000164309	5	78985700	79096063
ENSG00000164879	8	86285665	86361269
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000168530	2	211154874	211179914
ENSG00000170290	11	107578104	107590419
ENSG00000173641	1	16340523	16346089
ENSG00000173991	17	37820440	37822808
ENSG00000175084	2	220283099	220291461
ENSG00000177600	11	809647	812880
ENSG00000177791	10	75391412	75401515
ENSG00000180209	16	30382255	30389312
ENSG00000183091	2	152341850	152591001
ENSG00000183386	1	38462442	38471278
ENSG00000185482	12	57637236	57644976
ENSG00000187193	16	56716336	56718108
ENSG00000196091	12	101962131	102079796
ENSG00000196296	16	28889726	28915830
ENSG00000197893	10	115348475	115423886
ENSG00000198125	22	36002811	36033998
ENSG00000198467	9	35681989	35691017
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000225630	1	565020	566063
ENSG00000225972	1	564442	564813
ENSG00000229344	1	568137	568818
ENSG00000231500	6	33239787	33244287
ENSG00000234638	2	220289793	220290906
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000239474	2	170366212	170382772
ENSG00000240045	3	155008018	155011564
ENSG00000257514	12	102040498	102053748
ENSG00000258444	14	23884548	23884895
ENSG00000259827	16	56716382	56721719
ENSG00000265401	17	16285466	16285983
ENSG00000267328	19	36245467	36246391
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
