ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000019582	5	149781200	149792492
ENSG00000034510	2	85132749	85133795
ENSG00000075624	7	5566782	5603415
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000100292	22	35776354	35790207
ENSG00000100316	22	39708887	39716394
ENSG00000104904	19	2269485	2273487
ENSG00000105193	19	39923847	39926588
ENSG00000108298	17	37356536	37360980
ENSG00000108518	17	4848947	4852356
ENSG00000109475	4	109541722	109551568
ENSG00000110700	11	17095936	17099334
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000117289	1	145438469	145442635
ENSG00000117984	11	1773982	1785222
ENSG00000118181	11	118886422	118889401
ENSG00000122406	1	93297582	93307481
ENSG00000124172	20	57600522	57607437
ENSG00000131469	17	41150290	41154976
ENSG00000133112	13	45911008	45915505
ENSG00000136942	9	127620159	127624260
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000140988	16	2012053	2014861
ENSG00000142089	11	319669	327537
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143546	1	153362508	153363664
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000159189	1	22970123	22974603
ENSG00000161016	8	146015150	146017972
ENSG00000163220	1	153330330	153333503
ENSG00000166710	15	45003675	45011075
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000170315	17	16284112	16286059
ENSG00000173369	1	22979255	22988031
ENSG00000173372	1	22962999	22966101
ENSG00000177600	11	809647	812880
ENSG00000184009	17	79476997	79490873
ENSG00000185201	11	307631	315272
ENSG00000188536	16	222846	223709
ENSG00000196205	9	135894816	135896553
ENSG00000197746	10	73576055	73611126
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000204287	6	32407619	32412823
ENSG00000204525	6	31236526	31239907
ENSG00000204592	6	30457244	30461982
ENSG00000205542	X	12993227	12995346
ENSG00000206172	16	226679	227521
ENSG00000206503	6	29909037	29913661
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000211593	2	89160080	89160117
ENSG00000211594	2	89160398	89160434
ENSG00000211595	2	89160733	89160770
ENSG00000211666	22	23101189	23101707
ENSG00000211675	22	23237555	23238014
ENSG00000211677	22	23243156	23243617
ENSG00000211679	22	23248512	23248973
ENSG00000211890	14	106053226	106054732
ENSG00000211892	14	106090687	106092403
ENSG00000211893	14	106109389	106111127
ENSG00000211895	14	106173457	106175002
ENSG00000211896	14	106202680	106209408
ENSG00000211897	14	106235439	106237742
ENSG00000211899	14	106320349	106322323
ENSG00000213442	12	104659056	104659669
ENSG00000221792	15	44085857	44085957
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234745	6	31321649	31324965
ENSG00000234797	15	60060543	60061347
ENSG00000234851	3	161146915	161147398
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000239951	2	89442057	89442643
ENSG00000242472	14	106330024	106330072
ENSG00000244313	11	46450163	46450700
ENSG00000244398	11	16996240	16996560
ENSG00000244734	11	5246694	5250625
ENSG00000253364	14	106110833	106115394
ENSG00000254709	22	23229960	23238287
ENSG00000265401	17	16285466	16285983
ENSG00000269888	3	161146900	161147401
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
