ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000002726	7	150521715	150558592
ENSG00000007306	19	42177235	42210895
ENSG00000011083	5	149569520	149602351
ENSG00000016490	1	86934051	86965972
ENSG00000016602	1	87012761	87046437
ENSG00000039987	19	12862516	12869272
ENSG00000044012	1	42619092	42621495
ENSG00000070019	12	14765576	14849519
ENSG00000070526	17	74620843	74639920
ENSG00000071203	11	60260251	60274903
ENSG00000079112	8	95139399	95229531
ENSG00000090402	3	164696686	164796283
ENSG00000091138	7	107405912	107443670
ENSG00000095110	11	114392437	114430617
ENSG00000099812	19	751126	764319
ENSG00000103375	16	25227052	25240261
ENSG00000105388	19	42212504	42233718
ENSG00000105523	19	49104067	49118111
ENSG00000106384	7	100838288	100844302
ENSG00000106541	7	16831435	16873057
ENSG00000111701	12	7801996	7818499
ENSG00000112818	6	46761127	46807515
ENSG00000113722	5	149546358	149564120
ENSG00000114248	3	169556967	169587718
ENSG00000114455	3	108015376	108097132
ENSG00000117983	11	1244296	1283406
ENSG00000122711	9	33218363	33248565
ENSG00000127324	12	71518865	71835678
ENSG00000127831	2	219283815	219318018
ENSG00000131096	17	42030106	42081837
ENSG00000133742	8	86239837	86291243
ENSG00000134028	8	24241798	24263526
ENSG00000134398	16	23701647	23724821
ENSG00000135702	16	75562433	75569145
ENSG00000135773	1	230883130	230937749
ENSG00000137634	11	114441313	114466484
ENSG00000137757	11	104864962	104893895
ENSG00000142959	1	45249257	45253377
ENSG00000143167	1	167022073	167059868
ENSG00000144045	2	74745258	74753463
ENSG00000145113	3	195473636	195539148
ENSG00000145384	4	120238405	120243545
ENSG00000146205	2	242127924	242164792
ENSG00000154252	2	242716240	242743623
ENSG00000155850	5	149340300	149373018
ENSG00000162896	1	207101863	207119811
ENSG00000163295	2	233320833	233324742
ENSG00000163501	2	219919142	219925189
ENSG00000163515	3	108462271	108476231
ENSG00000165556	13	28536274	28545276
ENSG00000166143	15	41107650	41120907
ENSG00000166391	11	75428864	75444003
ENSG00000166866	12	57422301	57444982
ENSG00000166869	16	23765948	23770272
ENSG00000167800	11	67398774	67407031
ENSG00000168748	16	66878282	66888056
ENSG00000168903	5	180415845	180433727
ENSG00000169876	7	100663353	100702020
ENSG00000170689	17	46698518	46703839
ENSG00000171124	19	5842899	5851485
ENSG00000171431	17	39032193	39041479
ENSG00000171747	19	39292311	39304004
ENSG00000172238	4	94750042	94751221
ENSG00000172367	11	119056166	119060932
ENSG00000173080	1	155911480	155912625
ENSG00000173237	11	66742748	66744475
ENSG00000173467	7	16899029	16921611
ENSG00000173702	3	124624289	124672663
ENSG00000174992	16	29789561	29793096
ENSG00000175329	22	35462129	35483380
ENSG00000179674	3	160394948	160396233
ENSG00000180861	12	13524023	13540101
ENSG00000181541	4	151503077	151505843
ENSG00000182271	17	28643351	28661077
ENSG00000183034	17	72920370	72930007
ENSG00000183463	13	28551851	28562791
ENSG00000184040	10	18041218	18089855
ENSG00000184434	9	26993134	27005691
ENSG00000187908	10	124320181	124403252
ENSG00000188373	10	85933494	85945050
ENSG00000188761	1	114420790	114430169
ENSG00000197273	1	42628362	42630389
ENSG00000197888	4	69402902	69434245
ENSG00000198074	7	134212344	134226160
ENSG00000198488	11	76745385	76753096
ENSG00000198643	3	58619673	58652575
ENSG00000198758	1	110292702	110306649
ENSG00000198788	11	1074875	1104419
ENSG00000203697	1	223711349	223853436
ENSG00000204174	10	47083534	47088320
ENSG00000204361	11	114549108	114579362
ENSG00000204616	6	30070674	30080883
ENSG00000205277	7	100612904	100662230
ENSG00000233041	15	40643234	40648635
ENSG00000241635	2	234526291	234681956
ENSG00000242515	2	234545100	234681951
ENSG00000243709	1	226073982	226099082
ENSG00000262543	6	138699042	138704212
ENSG00000266949	1	248902716	248903150
ENSG00000269071	5	138852108	138852506
