ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000016082	5	50678921	50690564
ENSG00000021645	14	78708734	80330762
ENSG00000034971	1	171604557	171621823
ENSG00000058866	3	185823457	186080026
ENSG00000065320	17	8924859	9147317
ENSG00000065325	17	9725523	9795419
ENSG00000065534	3	123328896	123603178
ENSG00000068781	2	48757064	49003654
ENSG00000069011	5	134363425	134370503
ENSG00000075073	10	71163659	71176623
ENSG00000075213	7	83585093	84122040
ENSG00000077943	10	15555948	15762124
ENSG00000089225	12	114791736	114846247
ENSG00000092009	14	24974559	24977471
ENSG00000095637	10	97071528	97321171
ENSG00000100302	22	35936915	35950048
ENSG00000100628	14	94400499	94443137
ENSG00000101335	20	35169887	35178228
ENSG00000101447	20	37554955	37581703
ENSG00000103241	16	86544133	86548076
ENSG00000106772	9	79226292	79521003
ENSG00000107796	10	90694831	90751147
ENSG00000108823	17	48241575	48253292
ENSG00000108825	17	41102543	41132545
ENSG00000114200	3	165490692	165555260
ENSG00000115593	2	88367299	88412906
ENSG00000115665	2	108602979	108630450
ENSG00000118729	1	116242628	116311402
ENSG00000121871	3	164904508	164914897
ENSG00000122585	7	24323782	24331484
ENSG00000127951	7	76822688	76829143
ENSG00000128591	7	128470431	128499328
ENSG00000130176	19	11649532	11661138
ENSG00000131668	9	96713905	96717654
ENSG00000133392	16	15797029	15950890
ENSG00000134198	1	115590632	115632121
ENSG00000135333	6	93949738	94129265
ENSG00000136267	7	14184674	15014402
ENSG00000137273	6	1390069	1395832
ENSG00000138675	4	81187753	81257834
ENSG00000140416	15	63334831	63364114
ENSG00000141052	17	12569207	12672266
ENSG00000144191	2	98962618	99015064
ENSG00000144644	3	30767692	30936257
ENSG00000145936	5	169801675	169816681
ENSG00000146374	6	127439749	127518910
ENSG00000147655	8	108911544	109095913
ENSG00000149591	11	117070037	117075498
ENSG00000149596	20	42740335	42816218
ENSG00000152785	4	81952119	81978685
ENSG00000154330	9	70943224	71145977
ENSG00000154553	4	186422851	186456766
ENSG00000156113	10	78629359	79398353
ENSG00000158445	20	47980414	48099184
ENSG00000159307	22	43593289	43739394
ENSG00000159556	15	76629065	76634817
ENSG00000163017	2	74119441	74146992
ENSG00000163431	1	201865580	201915715
ENSG00000163623	4	85413140	85419603
ENSG00000164093	4	111538579	111563279
ENSG00000164107	4	174446120	174451380
ENSG00000164122	4	177134824	177198722
ENSG00000164220	5	75911307	75919259
ENSG00000164326	5	71014990	71016875
ENSG00000165462	11	71950121	71956708
ENSG00000165553	14	77731826	77737655
ENSG00000165966	12	41582250	41968392
ENSG00000166831	15	65032091	65067786
ENSG00000166923	15	33010175	33026870
ENSG00000167281	17	77085427	77613550
ENSG00000169851	4	30722037	31148422
ENSG00000170381	7	82993222	83278326
ENSG00000172403	4	119809996	119982402
ENSG00000172987	10	100218875	100995619
ENSG00000173175	3	123001143	123168605
ENSG00000174576	11	66188475	66194178
ENSG00000174808	4	75669969	75719896
ENSG00000175084	2	220283099	220291461
ENSG00000181072	7	136553416	136705002
ENSG00000181856	17	7184986	7191576
ENSG00000182253	15	99638420	99675798
ENSG00000182674	8	73449626	73850584
ENSG00000183963	22	31460091	31500743
ENSG00000184564	13	86366925	86373623
ENSG00000185567	14	105403581	105444694
ENSG00000186297	15	27111510	27194354
ENSG00000186354	9	91605778	91611055
ENSG00000187714	10	50818347	50820765
ENSG00000187848	12	133195366	133198972
ENSG00000188778	8	37820516	37824483
ENSG00000189367	6	127761488	127780536
ENSG00000197576	7	27168126	27170418
ENSG00000198467	9	35681989	35691017
ENSG00000198816	19	7580178	7585912
ENSG00000204687	6	29454474	29455738
ENSG00000205002	8	117950438	117956726
ENSG00000233670	17	10725792	10741762
ENSG00000242441	2	48844937	48960287
ENSG00000258247	12	95770984	95774672
ENSG00000272916	10	75556272	75571409
