ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000005981	7	95107756	95169544
ENSG00000023330	3	52232102	52248343
ENSG00000053918	11	2465914	2870339
ENSG00000054803	20	54572496	54580528
ENSG00000073060	12	125261402	125367214
ENSG00000073067	7	1022835	1029276
ENSG00000080709	5	113696642	113832337
ENSG00000082482	1	215179118	215410436
ENSG00000084628	1	31652592	31712401
ENSG00000085563	7	87133175	87342611
ENSG00000085662	7	134127102	134144036
ENSG00000100314	22	30116073	30127828
ENSG00000101638	18	44259081	44339220
ENSG00000104833	19	6494330	6502859
ENSG00000105398	19	48373723	48389654
ENSG00000105675	19	36040945	36054560
ENSG00000108878	17	65040706	65052909
ENSG00000109072	17	26691290	26700110
ENSG00000109193	4	70676498	70725870
ENSG00000114279	3	191857184	192485553
ENSG00000114771	3	151531825	151546276
ENSG00000115828	2	37571717	37600465
ENSG00000116133	1	55315306	55352891
ENSG00000120457	11	128761251	128790930
ENSG00000122584	7	8473585	8792593
ENSG00000123999	2	220433884	220440435
ENSG00000130203	19	45409011	45412650
ENSG00000130208	19	45417504	45422606
ENSG00000130720	9	133777825	133814673
ENSG00000134115	3	1134260	1445901
ENSG00000134955	11	124932963	124959131
ENSG00000135409	12	53817639	53825318
ENSG00000135914	2	231972944	231989832
ENSG00000136931	9	127243516	127269709
ENSG00000136999	8	120428546	120436593
ENSG00000137463	4	140187317	140201492
ENSG00000137714	11	110300607	110335605
ENSG00000139610	12	51722227	51740463
ENSG00000140459	15	74630100	74660081
ENSG00000142494	17	19398698	19482347
ENSG00000143954	2	79252812	79255631
ENSG00000145198	3	183948217	183960117
ENSG00000147465	8	38001167	38008783
ENSG00000148795	10	104590288	104597290
ENSG00000152092	1	176826438	177134109
ENSG00000153002	3	148508889	148577974
ENSG00000154162	5	21750782	22853731
ENSG00000157884	2	26804070	26864236
ENSG00000158019	2	28112808	28561768
ENSG00000159723	16	67516474	67517716
ENSG00000160339	9	137772654	137779924
ENSG00000160882	8	143953772	143961262
ENSG00000161513	17	72858619	72869156
ENSG00000162494	1	13801445	13840543
ENSG00000162643	1	85464830	85598821
ENSG00000163377	3	68780917	68981761
ENSG00000163646	3	150643950	150690786
ENSG00000164199	5	89825161	90460038
ENSG00000165449	10	61410523	61495760
ENSG00000166148	12	63539014	63544722
ENSG00000167656	8	143866296	143868008
ENSG00000169330	15	79724858	79764632
ENSG00000169548	22	22868060	22874613
ENSG00000170262	21	33664124	33687095
ENSG00000170367	20	23856572	23860387
ENSG00000171303	2	26915619	26956288
ENSG00000174156	6	52761437	52774483
ENSG00000175175	17	56833230	57058983
ENSG00000175497	2	115199876	116603328
ENSG00000176406	8	104512976	105268322
ENSG00000179142	8	143991975	143999259
ENSG00000182255	11	30031288	30038570
ENSG00000183114	1	20878932	20881512
ENSG00000183166	7	71244476	71912136
ENSG00000184672	8	85095022	85834079
ENSG00000185231	18	13882043	13915706
ENSG00000185559	14	101192042	101201539
ENSG00000187398	11	24518516	25104150
ENSG00000187957	2	230222345	230579274
ENSG00000188488	14	95027779	95059457
ENSG00000188707	7	150026938	150029808
ENSG00000197415	3	156977531	157251408
ENSG00000198797	1	177140633	177251558
ENSG00000203857	1	120049821	120057681
ENSG00000203859	1	119957554	119965658
ENSG00000203985	1	54474412	54483856
ENSG00000204876	7	155755326	155759037
ENSG00000213512	1	89597434	89641723
ENSG00000214435	10	104629273	104661656
ENSG00000214708	17	30468245	30470154
ENSG00000215187	9	35561828	35563896
ENSG00000224361	2	23729913	23747214
ENSG00000228032	14	104710541	104712473
ENSG00000231852	6	32006042	32009447
ENSG00000234965	22	42307297	42310570
ENSG00000242265	7	94285637	94299007
ENSG00000243955	6	52656462	52668708
ENSG00000254667	11	123301058	123306427
ENSG00000265096	17	77015291	77023737
ENSG00000269449	7	95171457	95173854
