ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000019582	5	149781200	149792492
ENSG00000034510	2	85132749	85133795
ENSG00000075624	7	5566782	5603415
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000096384	6	44214824	44221620
ENSG00000100234	22	33197687	33259030
ENSG00000100316	22	39708887	39716394
ENSG00000101335	20	35169887	35178228
ENSG00000102265	X	47441712	47446188
ENSG00000102760	13	42031695	42045018
ENSG00000105193	19	39923847	39926588
ENSG00000108298	17	37356536	37360980
ENSG00000110700	11	17095936	17099334
ENSG00000111341	12	15034115	15038860
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000116016	2	46520806	46613836
ENSG00000117289	1	145438469	145442635
ENSG00000117984	11	1773982	1785222
ENSG00000120129	5	172195093	172198198
ENSG00000122406	1	93297582	93307481
ENSG00000122852	10	81370695	81375196
ENSG00000124107	20	43880880	43883205
ENSG00000125148	16	56642111	56643409
ENSG00000128016	19	39897453	39900052
ENSG00000130066	X	23801290	23804343
ENSG00000131400	19	50861734	50869087
ENSG00000133112	13	45911008	45915505
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000142089	11	319669	327537
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000142748	1	27695603	27701315
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000149021	11	62172575	62190667
ENSG00000150991	12	125396150	125401914
ENSG00000156508	6	74225473	74233520
ENSG00000161016	8	146015150	146017972
ENSG00000163191	1	152004982	152020383
ENSG00000163220	1	153330330	153333503
ENSG00000166710	15	45003675	45011075
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000168484	8	22014426	22021992
ENSG00000168878	2	85884437	85895864
ENSG00000170315	17	16284112	16286059
ENSG00000175899	12	9220260	9268825
ENSG00000177600	11	809647	812880
ENSG00000183531	22	33256006	33256420
ENSG00000184009	17	79476997	79490873
ENSG00000185201	11	307631	315272
ENSG00000185303	10	81315608	81320153
ENSG00000188536	16	222846	223709
ENSG00000196205	9	135894816	135896553
ENSG00000197746	10	73576055	73611126
ENSG00000197956	1	153507075	153508720
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000198959	20	36756863	36794980
ENSG00000204287	6	32407619	32412823
ENSG00000204305	6	32148745	32152101
ENSG00000204525	6	31236526	31239907
ENSG00000204592	6	30457244	30461982
ENSG00000205542	X	12993227	12995346
ENSG00000206503	6	29909037	29913661
ENSG00000210082	MT	1671	3229
ENSG00000211445	5	150400124	150408554
ENSG00000211459	MT	648	1601
ENSG00000211895	14	106173457	106175002
ENSG00000213442	12	104659056	104659669
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000225972	1	564442	564813
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000229344	1	568137	568818
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234745	6	31321649	31324965
ENSG00000234851	3	161146915	161147398
ENSG00000234961	10	17275324	17276832
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000237973	1	566454	567996
ENSG00000244398	11	16996240	16996560
ENSG00000244734	11	5246694	5250625
ENSG00000259716	20	35177530	35232932
ENSG00000263900	7	5567734	5567817
ENSG00000265401	17	16285466	16285983
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
