ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000004846	7	20654830	20816658
ENSG00000005102	17	41717756	41739322
ENSG00000007314	17	62015914	62050278
ENSG00000010319	3	52467069	52479101
ENSG00000050628	1	71318036	71513491
ENSG00000062282	11	75470557	75512579
ENSG00000065325	17	9725523	9795419
ENSG00000079435	19	42905659	42931578
ENSG00000088882	20	2774715	2781283
ENSG00000102802	13	31480328	31499709
ENSG00000102854	16	810762	818865
ENSG00000105509	19	52216365	52227247
ENSG00000114638	3	118892364	118924000
ENSG00000116690	1	186265405	186283694
ENSG00000118849	3	158414681	158450485
ENSG00000119927	10	113909624	113975135
ENSG00000120068	17	46688739	46692478
ENSG00000123612	2	158383279	158485517
ENSG00000123689	1	209848765	209849733
ENSG00000124253	20	56136136	56141513
ENSG00000125735	19	6663148	6670599
ENSG00000125740	19	45971253	45978437
ENSG00000125872	20	6021424	6034695
ENSG00000126251	19	35861831	35863855
ENSG00000126262	19	35934809	35942669
ENSG00000126545	4	70796799	70812289
ENSG00000129455	19	51499263	51505967
ENSG00000129988	20	36974759	37005665
ENSG00000130876	19	33699570	33716756
ENSG00000131668	9	96713905	96717654
ENSG00000132170	3	12328867	12475855
ENSG00000133317	11	63273556	63284246
ENSG00000134339	11	18260770	18270190
ENSG00000134762	18	28569974	28622781
ENSG00000134962	4	39408473	39453156
ENSG00000135218	7	79998891	80308593
ENSG00000135917	2	228549926	228582728
ENSG00000136244	7	22765503	22771621
ENSG00000138207	10	95351444	95361501
ENSG00000140873	16	77281710	77469011
ENSG00000150165	10	47157983	47174093
ENSG00000151365	11	77774907	77779397
ENSG00000157150	3	12194551	12200851
ENSG00000158764	1	160914815	160924589
ENSG00000158859	1	161154098	161168846
ENSG00000159387	16	55357672	55364672
ENSG00000161649	17	41924516	41940997
ENSG00000161905	17	4534197	4545589
ENSG00000162444	1	10057264	10076078
ENSG00000162891	1	207038699	207042568
ENSG00000163661	3	157154578	157161417
ENSG00000164736	8	55370495	55373448
ENSG00000165269	9	33384765	33402643
ENSG00000165390	10	48255253	48279200
ENSG00000165478	11	124789089	124806308
ENSG00000165810	5	180467225	180488523
ENSG00000166819	15	90207596	90222658
ENSG00000167588	12	50497602	50505102
ENSG00000167676	19	4502204	4517716
ENSG00000169594	15	83924655	83953466
ENSG00000170262	21	33664124	33687095
ENSG00000170323	8	82390654	82395498
ENSG00000170577	2	45232300	45236569
ENSG00000172137	16	71392616	71424341
ENSG00000172901	5	115298151	115363316
ENSG00000173432	11	18287721	18291524
ENSG00000174145	4	37245842	37451087
ENSG00000174697	7	127881337	127897681
ENSG00000175445	8	19759228	19824769
ENSG00000176134	9	69650263	69660358
ENSG00000176194	18	12254318	12277594
ENSG00000178878	12	12878851	12982909
ENSG00000179914	1	160846329	160854960
ENSG00000181092	3	186560463	186576252
ENSG00000181143	19	8959520	9092018
ENSG00000181234	12	128751948	129192460
ENSG00000182851	8	144295068	144299044
ENSG00000183154	8	37592279	37594944
ENSG00000184557	17	76352864	76356158
ENSG00000184601	14	105046021	105056852
ENSG00000184811	17	1182957	1204281
ENSG00000184937	11	32409321	32457176
ENSG00000185640	12	53215194	53228079
ENSG00000185897	19	35849362	35851387
ENSG00000186458	20	238377	241737
ENSG00000186807	10	47746936	47763041
ENSG00000187288	3	9908398	9921938
ENSG00000196917	12	123104824	123215390
ENSG00000197506	9	86890372	86955672
ENSG00000197632	18	61538926	61571124
ENSG00000197766	19	859453	863453
ENSG00000205038	8	110374706	110542559
ENSG00000205186	8	82370576	82373814
ENSG00000205362	16	56672578	56673999
ENSG00000221818	8	25699246	25902913
ENSG00000224940	7	127990379	128001739
ENSG00000243566	7	76139745	76648340
ENSG00000244094	1	153084590	153085991
ENSG00000245848	19	33790840	33793470
ENSG00000257017	16	72088491	72094954
