ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006638	19	3594504	3606838
ENSG00000038427	5	82767284	82878122
ENSG00000049323	2	33172039	33624576
ENSG00000049540	7	73442119	73484237
ENSG00000054598	6	1610681	1614127
ENSG00000061455	5	122424816	122529960
ENSG00000072195	2	220299568	220363009
ENSG00000077943	10	15555948	15762124
ENSG00000086991	11	89057524	89322779
ENSG00000102802	13	31480328	31499709
ENSG00000105664	19	18893583	18902123
ENSG00000106366	7	100770370	100782547
ENSG00000106624	7	44143960	44154161
ENSG00000106809	9	95146249	95166978
ENSG00000106819	9	95218487	95244788
ENSG00000107796	10	90694831	90751147
ENSG00000108823	17	48241575	48253292
ENSG00000111341	12	15034115	15038860
ENSG00000112562	6	168841831	169073984
ENSG00000115380	2	56093102	56151274
ENSG00000115414	2	216225163	216300895
ENSG00000119681	14	74964873	75079306
ENSG00000121005	8	75896750	75946793
ENSG00000121898	10	125465723	125699783
ENSG00000124212	20	48120411	48184683
ENSG00000124249	20	43374421	43379675
ENSG00000124749	6	55921388	56258892
ENSG00000124780	6	39266777	39282329
ENSG00000127083	9	95176527	95186743
ENSG00000127951	7	76822688	76829143
ENSG00000129167	11	18039111	18063973
ENSG00000130037	12	5153085	5155949
ENSG00000132938	13	29598748	30077892
ENSG00000133026	17	8377523	8534079
ENSG00000133067	1	202163029	202288909
ENSG00000133454	22	26138111	26427007
ENSG00000135312	6	78171948	78173490
ENSG00000135324	6	84743475	84800600
ENSG00000136999	8	120428546	120436593
ENSG00000137142	9	38408991	38424444
ENSG00000137809	15	68594050	68724501
ENSG00000138650	4	134070470	134129356
ENSG00000140545	15	89441916	89456642
ENSG00000140945	16	82660408	83830204
ENSG00000141052	17	12569207	12672266
ENSG00000141469	18	43304092	43332485
ENSG00000141750	17	37366789	37382125
ENSG00000143127	1	145524891	145543868
ENSG00000143248	1	163080911	163291577
ENSG00000143341	1	185703683	186160085
ENSG00000143768	1	226124298	226129189
ENSG00000143869	2	20866424	20873418
ENSG00000144057	2	107418056	107503564
ENSG00000144810	3	99357319	99518070
ENSG00000145681	5	82933624	83017432
ENSG00000145936	5	169801675	169816681
ENSG00000146197	6	35182190	35220856
ENSG00000146276	6	89887220	89940997
ENSG00000149591	11	117070037	117075498
ENSG00000151789	3	21459915	22414812
ENSG00000155511	5	152869175	153193429
ENSG00000157766	15	89346674	89418585
ENSG00000159251	15	35080297	35088340
ENSG00000162458	1	16083102	16113089
ENSG00000162998	2	183698002	183731890
ENSG00000163431	1	201865580	201915715
ENSG00000164106	4	174305852	174327531
ENSG00000164176	5	83236373	83680611
ENSG00000164265	5	147250245	147261754
ENSG00000164326	5	71014990	71016875
ENSG00000164509	5	55147207	55218678
ENSG00000164761	8	119935796	119964439
ENSG00000165084	8	69242957	69731257
ENSG00000167641	19	38741877	38747231
ENSG00000167941	17	41831099	41836156
ENSG00000169181	16	27798850	28074830
ENSG00000169418	1	153651113	153666468
ENSG00000169851	4	30722037	31148422
ENSG00000170891	4	5016313	5021199
ENSG00000172399	4	120056939	120108944
ENSG00000173641	1	16340523	16346089
ENSG00000173705	3	33191537	33260707
ENSG00000175315	11	65779312	65780976
ENSG00000176678	16	86609974	86615303
ENSG00000176692	16	86600857	86602539
ENSG00000178776	5	147260289	147286101
ENSG00000179772	20	30432103	30433420
ENSG00000180287	1	242246288	242687998
ENSG00000182575	17	47653220	47661189
ENSG00000184160	4	3768075	3770251
ENSG00000184471	16	1140005	1146244
ENSG00000185860	1	162794248	162838605
ENSG00000186340	6	169615875	169654139
ENSG00000187955	8	121072019	121384275
ENSG00000189320	7	135413096	135433594
ENSG00000198523	6	118869461	118881893
ENSG00000198542	13	102104966	102375456
ENSG00000198768	20	57034157	57090187
ENSG00000198842	1	167063282	167098402
ENSG00000268080	8	94241867	94242388
