ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006075	17	34415602	34417515
ENSG00000006659	19	40194946	40200084
ENSG00000020633	1	25226002	25291612
ENSG00000026751	1	160709037	160724611
ENSG00000048462	16	12058964	12061925
ENSG00000068489	17	57232860	57282066
ENSG00000079263	2	231067826	231223762
ENSG00000086730	7	73613982	73644161
ENSG00000096264	6	41303393	41318625
ENSG00000100385	22	37521878	37571094
ENSG00000100721	14	96176304	96180533
ENSG00000102879	16	30194148	30200397
ENSG00000102962	16	57392684	57400102
ENSG00000103522	16	27413483	27462115
ENSG00000104814	19	39078281	39109522
ENSG00000104921	19	7753644	7767032
ENSG00000104951	19	50392911	50432796
ENSG00000105246	19	4229495	4237528
ENSG00000105369	19	42381190	42385439
ENSG00000110777	11	111222977	111326355
ENSG00000111335	12	113416200	113449528
ENSG00000111732	12	8754762	8765467
ENSG00000115165	2	158271131	158345473
ENSG00000115956	2	68592305	68624585
ENSG00000117090	1	160577890	160617085
ENSG00000117091	1	160648536	160681641
ENSG00000117322	1	207627575	207663240
ENSG00000120659	13	43136872	43182149
ENSG00000120949	1	12123434	12204264
ENSG00000121594	3	119243140	119278449
ENSG00000121895	4	38968365	39034542
ENSG00000125657	19	6531010	6535931
ENSG00000125726	19	6583194	6604114
ENSG00000126353	17	38710021	38721724
ENSG00000128340	22	37621301	37640488
ENSG00000129277	17	34430983	34433014
ENSG00000132185	1	161676762	161684142
ENSG00000135925	2	219745085	219764303
ENSG00000136167	13	46700055	46786006
ENSG00000136286	7	45002261	45018697
ENSG00000136573	8	11351510	11422113
ENSG00000137078	9	35649292	35650937
ENSG00000137265	6	391739	411447
ENSG00000137959	1	79085607	79111830
ENSG00000139193	12	6554033	6560884
ENSG00000140379	15	80253231	80263788
ENSG00000141682	18	57567180	57571538
ENSG00000143297	1	157483167	157522310
ENSG00000150637	18	67498394	67629039
ENSG00000154165	3	98250743	98251960
ENSG00000156127	14	75988768	76013358
ENSG00000156738	11	60223225	60238233
ENSG00000158050	2	96808905	96811179
ENSG00000158517	7	74188309	74203659
ENSG00000159618	16	57576333	57625593
ENSG00000159958	22	42321045	42322822
ENSG00000161405	17	37921198	38020441
ENSG00000161929	17	5112256	5138155
ENSG00000162739	1	160454820	160493052
ENSG00000162894	1	207077731	207096592
ENSG00000163518	1	157543539	157567870
ENSG00000166803	15	64657193	64679886
ENSG00000168081	8	28174503	28200872
ENSG00000168421	4	40192673	40248587
ENSG00000169442	1	26644448	26647014
ENSG00000170819	3	133118839	133194066
ENSG00000171848	2	10262455	10271545
ENSG00000174083	17	8706041	8770994
ENSG00000174123	4	38773860	38784611
ENSG00000174500	3	111839688	111852152
ENSG00000179840	1	9712668	9714644
ENSG00000179934	3	39371197	39375171
ENSG00000182572	6	27839623	27840099
ENSG00000182866	1	32716840	32751766
ENSG00000184293	12	9868456	9885895
ENSG00000186265	3	112182815	112218408
ENSG00000187912	19	14693896	14721969
ENSG00000187997	17	76142434	76162258
ENSG00000188379	9	21384254	21385396
ENSG00000188822	1	24197016	24285549
ENSG00000189057	11	58874658	58894883
ENSG00000196092	9	36833272	37034103
ENSG00000196539	1	248636627	248637634
ENSG00000196735	6	32595956	32614839
ENSG00000197262	17	34639793	34641846
ENSG00000197471	16	29674300	29682187
ENSG00000204475	6	31556672	31560762
ENSG00000205020	17	34538310	34540280
ENSG00000205021	17	34623842	34625731
ENSG00000205057	12	92813870	92821924
ENSG00000217825	7	154988273	154990165
ENSG00000221887	18	61616535	61649008
ENSG00000226397	12	25146358	25150453
ENSG00000226777	14	106383838	106391825
ENSG00000226979	6	31539831	31542101
ENSG00000232810	6	31543344	31546113
ENSG00000240505	17	16832849	16875432
ENSG00000242550	18	61564408	61603345
ENSG00000253633	8	103540968	103550896
ENSG00000269810	15	100038447	100038578
