ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000005073	7	27221129	27224842
ENSG00000053438	20	36149617	36152092
ENSG00000054938	11	74407474	74442430
ENSG00000059915	10	104162376	104181296
ENSG00000065325	17	9725523	9795419
ENSG00000065534	3	123328896	123603178
ENSG00000068781	2	48757064	49003654
ENSG00000069482	11	68451247	68458643
ENSG00000075073	10	71163659	71176623
ENSG00000075213	7	83585093	84122040
ENSG00000080644	15	78885394	78913637
ENSG00000095303	9	125132824	125157982
ENSG00000100302	22	35936915	35950048
ENSG00000100628	14	94400499	94443137
ENSG00000101188	20	61340189	61394123
ENSG00000101335	20	35169887	35178228
ENSG00000101447	20	37554955	37581703
ENSG00000103241	16	86544133	86548076
ENSG00000106031	7	27233122	27239725
ENSG00000106772	9	79226292	79521003
ENSG00000109132	4	41746099	41750987
ENSG00000109205	4	71062213	71070293
ENSG00000109705	4	13542454	13546674
ENSG00000111696	12	104164231	104234975
ENSG00000113196	5	153854532	153857824
ENSG00000115297	2	74740590	74744274
ENSG00000115593	2	88367299	88412906
ENSG00000115665	2	108602979	108630450
ENSG00000119919	10	101292690	101296278
ENSG00000121577	3	119355304	119384171
ENSG00000128591	7	128470431	128499328
ENSG00000128710	2	176973518	176984670
ENSG00000128713	2	176968944	176974722
ENSG00000128714	2	176957619	176960666
ENSG00000130176	19	11649532	11661138
ENSG00000133392	16	15797029	15950890
ENSG00000134198	1	115590632	115632121
ENSG00000135333	6	93949738	94129265
ENSG00000135406	12	49687035	49692465
ENSG00000137273	6	1390069	1395832
ENSG00000138944	22	44639547	44708731
ENSG00000140522	15	89753100	89764982
ENSG00000141052	17	12569207	12672266
ENSG00000144191	2	98962618	99015064
ENSG00000145936	5	169801675	169816681
ENSG00000146469	6	153071933	153080900
ENSG00000147655	8	108911544	109095913
ENSG00000148357	9	133046882	133309510
ENSG00000149591	11	117070037	117075498
ENSG00000149596	20	42740335	42816218
ENSG00000152785	4	81952119	81978685
ENSG00000154330	9	70943224	71145977
ENSG00000156113	10	78629359	79398353
ENSG00000159182	17	46799084	46799884
ENSG00000163017	2	74119441	74146992
ENSG00000163873	1	37261128	37499730
ENSG00000164107	4	174446120	174451380
ENSG00000164122	4	177134824	177198722
ENSG00000164220	5	75911307	75919259
ENSG00000164326	5	71014990	71016875
ENSG00000164694	6	159590429	159693141
ENSG00000165462	11	71950121	71956708
ENSG00000165553	14	77731826	77737655
ENSG00000165966	12	41582250	41968392
ENSG00000166736	11	113845603	113861035
ENSG00000166831	15	65032091	65067786
ENSG00000167281	17	77085427	77613550
ENSG00000167332	11	4701401	4719084
ENSG00000168621	5	37812779	37839788
ENSG00000170178	2	176964458	176966408
ENSG00000171246	17	78440948	78451643
ENSG00000172156	17	32612687	32615353
ENSG00000172938	11	68747490	68748455
ENSG00000174279	2	176942200	176948641
ENSG00000174407	20	61147660	61167971
ENSG00000174576	11	66188475	66194178
ENSG00000174808	4	75669969	75719896
ENSG00000175084	2	220283099	220291461
ENSG00000176887	2	5832799	5841516
ENSG00000176956	8	144239331	144242128
ENSG00000181072	7	136553416	136705002
ENSG00000181541	4	151503077	151505843
ENSG00000182253	15	99638420	99675798
ENSG00000182687	17	74070875	74073622
ENSG00000183963	22	31460091	31500743
ENSG00000185681	9	124922190	124962367
ENSG00000186919	17	74068042	74079747
ENSG00000187140	1	63788730	63790797
ENSG00000187714	10	50818347	50820765
ENSG00000187980	1	20487746	20503917
ENSG00000188778	8	37820516	37824483
ENSG00000197361	15	63889552	63894627
ENSG00000198816	19	7580178	7585912
ENSG00000204174	10	47083534	47088320
ENSG00000233041	15	40643234	40648635
ENSG00000233670	17	10725792	10741762
ENSG00000242441	2	48844937	48960287
ENSG00000258247	12	95770984	95774672
ENSG00000262543	6	138699042	138704212
ENSG00000272916	10	75556272	75571409
