ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000068976	11	64513861	64527769
ENSG00000077522	1	236849754	236927931
ENSG00000081248	1	201008642	201081694
ENSG00000086967	19	50936160	50969578
ENSG00000092054	14	23881947	23904927
ENSG00000101306	20	30407111	30422492
ENSG00000101470	20	44451853	44462384
ENSG00000104369	8	75146935	75233563
ENSG00000104848	19	49570675	49576198
ENSG00000104879	19	45809672	45826235
ENSG00000105048	19	55644162	55660722
ENSG00000108515	17	4851387	4860426
ENSG00000108878	17	65040706	65052909
ENSG00000109061	17	10395624	10421860
ENSG00000111046	12	81101277	81103253
ENSG00000111049	12	81110691	81113452
ENSG00000111241	12	4537321	4554780
ENSG00000111245	12	111348623	111358526
ENSG00000114854	3	52485118	52488086
ENSG00000115592	2	219687106	219696809
ENSG00000116748	1	115215719	115238239
ENSG00000120729	5	137203480	137223540
ENSG00000122180	1	203052260	203055164
ENSG00000124701	6	41021043	41032250
ENSG00000125414	17	10424465	10453274
ENSG00000127325	12	70037140	70093256
ENSG00000129152	11	17741115	17743678
ENSG00000129744	11	3666358	3685646
ENSG00000129910	16	89238175	89261900
ENSG00000130433	19	54495542	54515923
ENSG00000130595	11	1940792	1959936
ENSG00000130598	11	1860219	1862910
ENSG00000130957	9	97321002	97356075
ENSG00000133055	1	203136939	203144941
ENSG00000135902	2	233390703	233401377
ENSG00000138136	10	102986733	102989551
ENSG00000138347	10	69865912	69971774
ENSG00000138435	2	175612320	175629200
ENSG00000140986	16	1993975	2007607
ENSG00000143318	1	160160285	160171676
ENSG00000143632	1	229566992	229569845
ENSG00000145358	4	101107027	101111939
ENSG00000146926	7	150872785	150884919
ENSG00000148377	10	1064847	1071799
ENSG00000154415	7	113516832	113715975
ENSG00000155657	2	179390716	179695529
ENSG00000156885	16	31439052	31439967
ENSG00000157119	3	42727011	42734036
ENSG00000158022	1	26377795	26394927
ENSG00000159173	1	201373625	201398994
ENSG00000161896	6	33689444	33714762
ENSG00000163092	2	167744997	168116263
ENSG00000163126	2	97490263	97523671
ENSG00000163157	1	151142462	151148760
ENSG00000163380	3	69156023	69172183
ENSG00000164122	4	177134824	177198722
ENSG00000164309	5	78985700	79096063
ENSG00000164879	8	86285665	86361269
ENSG00000165887	10	99332198	99343641
ENSG00000165917	11	47459308	47470730
ENSG00000167476	19	2252251	2269758
ENSG00000168333	8	49966870	49988649
ENSG00000168427	2	239047363	239061588
ENSG00000168530	2	211154874	211179914
ENSG00000170162	6	117586721	117594728
ENSG00000170290	11	107578104	107590419
ENSG00000170807	7	123295861	123304344
ENSG00000174407	20	61147660	61167971
ENSG00000174429	8	107771711	107782473
ENSG00000175564	11	73711326	73720480
ENSG00000175946	8	124657767	124665190
ENSG00000177238	16	31225342	31236510
ENSG00000177354	10	50507187	50535537
ENSG00000177752	4	44624086	44680573
ENSG00000177791	10	75391412	75401515
ENSG00000180209	16	30382255	30389312
ENSG00000182533	3	8775486	8883492
ENSG00000182676	17	79791368	79792926
ENSG00000183091	2	152341850	152591001
ENSG00000183386	1	38462442	38471278
ENSG00000185482	12	57637236	57644976
ENSG00000186439	6	123537483	123958238
ENSG00000187642	1	910579	917497
ENSG00000188037	7	143013219	143049176
ENSG00000188176	17	4487294	4511614
ENSG00000188716	10	76797594	76818272
ENSG00000196091	12	101962131	102079796
ENSG00000196218	19	38924339	39078204
ENSG00000196296	16	28889726	28915830
ENSG00000196811	2	233404437	233411113
ENSG00000197893	10	115348475	115423886
ENSG00000198125	22	36002811	36033998
ENSG00000206422	18	7231123	7232045
ENSG00000214872	11	57308979	57318108
ENSG00000224982	12	120031264	120079363
ENSG00000239474	2	170366212	170382772
ENSG00000244025	21	31863782	31864275
ENSG00000248713	4	100557686	100575805
ENSG00000264424	17	10346607	10372876
ENSG00000272573	3	52867130	52869235
