ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000009765	6	150690028	150727105
ENSG00000019102	11	124617368	124622134
ENSG00000042832	8	133879203	134147147
ENSG00000050767	5	177664619	178017556
ENSG00000054690	14	68000018	68056329
ENSG00000064218	9	976964	991731
ENSG00000081479	2	169983619	170219195
ENSG00000088836	20	3208063	3219836
ENSG00000090920	19	40353963	40440533
ENSG00000091137	7	107301080	107358254
ENSG00000100253	22	50925213	50929077
ENSG00000101115	20	50400581	50419059
ENSG00000101230	20	13202418	13281298
ENSG00000101441	20	23666277	23669677
ENSG00000101670	18	47087069	47119272
ENSG00000104941	19	46298968	46318577
ENSG00000105641	19	17982782	18005983
ENSG00000109205	4	71062213	71070293
ENSG00000109208	4	71226478	71232875
ENSG00000113231	5	76506274	76725632
ENSG00000115705	2	1377995	1547483
ENSG00000125618	2	113973574	114036527
ENSG00000125813	20	21686297	21696620
ENSG00000125851	20	17206752	17465223
ENSG00000125861	20	3639939	3644046
ENSG00000127249	3	193119866	193310900
ENSG00000127377	7	151125921	151137899
ENSG00000131398	19	50815194	50836772
ENSG00000133475	22	21562262	21581926
ENSG00000134115	3	1134260	1445901
ENSG00000135480	12	52626304	52645970
ENSG00000136352	14	36985602	36990354
ENSG00000137077	9	34709002	34710121
ENSG00000137857	15	45422131	45457774
ENSG00000140254	15	45409569	45422136
ENSG00000140274	15	45406519	45410619
ENSG00000140279	15	45384848	45406542
ENSG00000140505	15	75041185	75048543
ENSG00000144057	2	107418056	107503564
ENSG00000146197	6	35182190	35220856
ENSG00000147606	8	92221722	92410378
ENSG00000149435	20	23965690	23969416
ENSG00000149972	11	98891683	100229616
ENSG00000153292	6	46965440	47010099
ENSG00000153446	16	5094123	5116111
ENSG00000153822	17	68049570	68131749
ENSG00000157734	15	64443914	64449680
ENSG00000158014	1	26363743	26372624
ENSG00000160180	21	43731777	43735761
ENSG00000160181	21	43766466	43771237
ENSG00000160182	21	43782391	43786703
ENSG00000161509	17	72838162	72857627
ENSG00000163395	1	201159953	201198080
ENSG00000164694	6	159590429	159693141
ENSG00000165061	8	40388109	40755352
ENSG00000165409	14	81421333	81612646
ENSG00000166415	15	53805938	54055075
ENSG00000166426	15	78632666	78640572
ENSG00000166450	15	55903744	56035288
ENSG00000166589	16	66942025	66952887
ENSG00000167751	19	51364824	51383823
ENSG00000168743	4	106815932	106925184
ENSG00000168878	2	85884437	85895864
ENSG00000169550	11	26580580	26593780
ENSG00000169583	9	139889087	139891255
ENSG00000170523	12	52708085	52715182
ENSG00000175097	11	36597124	36619829
ENSG00000175229	11	65809423	65816651
ENSG00000176769	10	132890654	133109984
ENSG00000177462	1	248084320	248085258
ENSG00000177494	3	111311747	111314290
ENSG00000178602	2	241078446	241083979
ENSG00000178919	9	100615536	100618986
ENSG00000180730	13	26618735	26625169
ENSG00000182035	20	37209838	37217106
ENSG00000182050	12	86372516	87232681
ENSG00000182348	7	88388682	88966346
ENSG00000184925	9	139844003	139849949
ENSG00000185133	22	31518717	31530682
ENSG00000185974	13	114321470	114440708
ENSG00000186146	4	9446260	9452240
ENSG00000186838	19	40005753	40011326
ENSG00000187733	1	104293028	104301312
ENSG00000188676	8	39792133	39873910
ENSG00000188687	2	74443369	74570541
ENSG00000188883	7	139137436	139168458
ENSG00000196188	1	206317459	206332104
ENSG00000196711	8	53446597	53478067
ENSG00000197705	18	30252634	30353025
ENSG00000198203	2	108905095	108926371
ENSG00000198829	3	151591431	151602405
ENSG00000204001	9	139648838	139652678
ENSG00000205038	8	110374706	110542559
ENSG00000211448	14	80663873	80854100
ENSG00000211452	1	54356912	54376759
ENSG00000228835	18	30349758	30354376
ENSG00000229415	14	36942493	36983034
ENSG00000234602	5	54515442	54523143
ENSG00000250305	8	12803151	12889012
ENSG00000256870	12	101549271	101604185
