ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006116	16	24266874	24374122
ENSG00000015592	8	27092840	27115937
ENSG00000022355	5	161274197	161326975
ENSG00000058335	15	79252289	79383115
ENSG00000067715	12	79257773	79845788
ENSG00000070808	5	149599054	149669854
ENSG00000074317	5	176047085	176057530
ENSG00000078725	9	121915736	122131745
ENSG00000089169	12	113008184	113336686
ENSG00000100427	22	50497820	50524331
ENSG00000104888	19	49932658	49945617
ENSG00000105605	19	54412589	54447195
ENSG00000105642	19	18062102	18110889
ENSG00000106689	9	126763949	126795580
ENSG00000110436	11	35272753	35441610
ENSG00000110786	11	18749475	18814268
ENSG00000112333	6	108487262	108510013
ENSG00000113100	5	26880709	27121257
ENSG00000114646	3	47603729	47622282
ENSG00000116983	1	40144320	40157361
ENSG00000117152	1	163038565	163046592
ENSG00000118733	1	102268130	102462586
ENSG00000121905	1	33351595	33364042
ENSG00000123119	8	91803778	91971636
ENSG00000124134	20	43720951	43729753
ENSG00000124140	20	44650356	44688784
ENSG00000124507	6	34433916	34503006
ENSG00000126861	17	29599031	29624557
ENSG00000127585	16	742500	755829
ENSG00000130287	19	19322782	19363042
ENSG00000131095	17	42982376	42994305
ENSG00000132692	1	156611182	156629324
ENSG00000136535	2	162272605	162282381
ENSG00000136750	10	26505236	26593487
ENSG00000136928	9	101050391	101471479
ENSG00000141668	18	70203915	70305756
ENSG00000142408	19	54466294	54493469
ENSG00000144119	2	119913819	119916465
ENSG00000145864	5	160715436	160976050
ENSG00000146005	5	139175406	139224051
ENSG00000148482	10	18240768	18332221
ENSG00000150394	16	61681146	62070939
ENSG00000150625	4	176554085	176923815
ENSG00000152214	18	40323192	40695657
ENSG00000152595	4	88742563	88767969
ENSG00000153266	3	62355356	62359999
ENSG00000154146	11	124609742	124617106
ENSG00000155886	9	19507450	19786926
ENSG00000155980	12	57943781	57980415
ENSG00000157782	12	121078355	121105127
ENSG00000162728	1	160051360	160060353
ENSG00000162975	2	11052063	11054350
ENSG00000163032	2	17720393	17838285
ENSG00000163285	4	46037786	46126098
ENSG00000163630	3	63213991	63602597
ENSG00000164076	3	49895421	49907655
ENSG00000164600	7	31377075	31380508
ENSG00000164794	8	110975874	110988076
ENSG00000165023	9	93372114	93405386
ENSG00000166006	12	75433857	75603648
ENSG00000166159	12	1929433	1945918
ENSG00000167889	17	74864538	74946475
ENSG00000168135	22	38822332	38851205
ENSG00000169006	2	11798304	11810290
ENSG00000169783	15	77905369	78113242
ENSG00000170419	7	54610018	54638773
ENSG00000171532	17	37759789	37766030
ENSG00000172020	3	115342171	115440337
ENSG00000174521	19	40721965	40724306
ENSG00000175874	2	101962013	102004057
ENSG00000176884	9	140032842	140063207
ENSG00000177108	14	77597613	77609077
ENSG00000178233	6	44238203	44275243
ENSG00000178394	5	63256183	63258334
ENSG00000179673	17	45055523	45056614
ENSG00000181418	12	49388932	49393092
ENSG00000182450	11	64058774	64067503
ENSG00000183662	3	68053359	68594776
ENSG00000184221	21	34442450	34444726
ENSG00000184385	21	43522244	43528644
ENSG00000184524	11	787104	790123
ENSG00000185742	11	109292846	109299840
ENSG00000186297	15	27111510	27194354
ENSG00000187094	3	42299317	42307699
ENSG00000187135	19	30017406	30055386
ENSG00000188674	2	209030067	209054797
ENSG00000189275	10	133604734	133622535
ENSG00000196090	20	40701392	41818610
ENSG00000196990	9	136444079	136451319
ENSG00000197177	10	134884433	134945179
ENSG00000197322	17	32901142	32906388
ENSG00000197430	10	98102973	98119092
ENSG00000198822	7	86273230	86494200
ENSG00000203772	10	135234170	135382916
ENSG00000204278	17	76227391	76237068
ENSG00000204655	6	29624758	29640149
ENSG00000205927	21	34398153	34401504
ENSG00000220575	7	154858777	154863267
ENSG00000221946	19	35634154	35645204
ENSG00000236279	7	139208602	139229730
