ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006116	16	24266874	24374122
ENSG00000015592	8	27092840	27115937
ENSG00000020129	1	36023074	36032875
ENSG00000022355	5	161274197	161326975
ENSG00000036530	14	100150641	100193638
ENSG00000063015	17	27281919	27333458
ENSG00000070808	5	149599054	149669854
ENSG00000075461	17	64961026	65029514
ENSG00000084453	12	21417534	21572528
ENSG00000087250	16	56622986	56625000
ENSG00000100427	22	50497820	50524331
ENSG00000101180	20	60790026	60795323
ENSG00000101327	20	1959403	1974732
ENSG00000101438	20	37353105	37358015
ENSG00000110436	11	35272753	35441610
ENSG00000110786	11	18749475	18814268
ENSG00000112333	6	108487262	108510013
ENSG00000113100	5	26880709	27121257
ENSG00000114646	3	47603729	47622282
ENSG00000115155	2	26680071	26781566
ENSG00000116983	1	40144320	40157361
ENSG00000121905	1	33351595	33364042
ENSG00000124140	20	44650356	44688784
ENSG00000124507	6	34433916	34503006
ENSG00000125462	1	156374042	156400493
ENSG00000125869	20	9495005	9511171
ENSG00000126583	19	54382444	54410906
ENSG00000126861	17	29599031	29624557
ENSG00000127585	16	742500	755829
ENSG00000129951	19	812518	821967
ENSG00000130287	19	19322782	19363042
ENSG00000131095	17	42982376	42994305
ENSG00000132692	1	156611182	156629324
ENSG00000134343	11	26210829	26684835
ENSG00000136099	13	53418109	53422775
ENSG00000136750	10	26505236	26593487
ENSG00000144119	2	119913819	119916465
ENSG00000146005	5	139175406	139224051
ENSG00000146360	6	110299514	110301921
ENSG00000147509	8	54764368	54871863
ENSG00000148482	10	18240768	18332221
ENSG00000150394	16	61681146	62070939
ENSG00000150625	4	176554085	176923815
ENSG00000152214	18	40323192	40695657
ENSG00000153266	3	62355356	62359999
ENSG00000155980	12	57943781	57980415
ENSG00000156076	12	65444406	65515346
ENSG00000158748	1	19991780	20006055
ENSG00000162728	1	160051360	160060353
ENSG00000162975	2	11052063	11054350
ENSG00000163285	4	46037786	46126098
ENSG00000163630	3	63213991	63602597
ENSG00000164076	3	49895421	49907655
ENSG00000166159	12	1929433	1945918
ENSG00000169006	2	11798304	11810290
ENSG00000170091	5	173472607	173670504
ENSG00000170419	7	54610018	54638773
ENSG00000171885	18	24432002	24445782
ENSG00000172020	3	115342171	115440337
ENSG00000172995	3	35680437	35835988
ENSG00000174521	19	40721965	40724306
ENSG00000175874	2	101962013	102004057
ENSG00000176244	10	15119522	15130775
ENSG00000176533	19	2511217	2702707
ENSG00000176884	9	140032842	140063207
ENSG00000179546	1	23516993	23521222
ENSG00000179673	17	45055523	45056614
ENSG00000180332	13	45766988	45775175
ENSG00000181215	4	5958845	5991545
ENSG00000181418	12	49388932	49393092
ENSG00000181656	1	101003693	101007574
ENSG00000182132	5	169780491	170163636
ENSG00000182450	11	64058774	64067503
ENSG00000182698	2	220192131	220197899
ENSG00000182747	6	137243402	137246777
ENSG00000183379	14	74872596	74892805
ENSG00000184221	21	34442450	34444726
ENSG00000184845	5	174867042	174871211
ENSG00000185742	11	109292846	109299840
ENSG00000186297	15	27111510	27194354
ENSG00000187135	19	30017406	30055386
ENSG00000187416	7	103969104	104549001
ENSG00000188011	2	242811752	242815975
ENSG00000188674	2	209030067	209054797
ENSG00000189127	5	79852574	79866307
ENSG00000197430	10	98102973	98119092
ENSG00000198822	7	86273230	86494200
ENSG00000198944	5	132149033	132152488
ENSG00000203737	1	174417212	174418683
ENSG00000204278	17	76227391	76237068
ENSG00000204655	6	29624758	29640149
ENSG00000205927	21	34398153	34401504
ENSG00000214237	3	150588832	150612089
ENSG00000220575	7	154858777	154863267
ENSG00000221946	19	35634154	35645204
ENSG00000230778	15	40573645	40574787
ENSG00000236279	7	139208602	139229730
ENSG00000248485	1	161228517	161255240
ENSG00000249853	6	114376750	114664209
ENSG00000273079	12	13693165	14133053
