ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000034510	2	85132749	85133795
ENSG00000074800	1	8921061	8939308
ENSG00000075624	7	5566782	5603415
ENSG00000084207	11	67351066	67354131
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000100316	22	39708887	39716394
ENSG00000105193	19	39923847	39926588
ENSG00000105427	19	42891171	42894439
ENSG00000106211	7	75931861	75933612
ENSG00000108298	17	37356536	37360980
ENSG00000110700	11	17095936	17099334
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000112378	6	138409642	138428648
ENSG00000121552	3	122044091	122060819
ENSG00000122406	1	93297582	93307481
ENSG00000124102	20	43803517	43805185
ENSG00000124107	20	43880880	43883205
ENSG00000124466	19	43964939	43969812
ENSG00000125780	20	2276647	2321724
ENSG00000133112	13	45911008	45915505
ENSG00000133710	5	147405246	147516852
ENSG00000134531	12	13349650	13369708
ENSG00000135046	9	75766673	75785309
ENSG00000136689	2	113864791	113891593
ENSG00000136942	9	127620159	127624260
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000140519	15	89998680	90039844
ENSG00000140988	16	2012053	2014861
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143320	1	156669398	156675608
ENSG00000143369	1	150480538	150486265
ENSG00000143536	1	152381719	152386739
ENSG00000143546	1	153362508	153363664
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000160213	21	45192393	45196326
ENSG00000161016	8	146015150	146017972
ENSG00000163191	1	152004982	152020383
ENSG00000163209	1	152974223	152976332
ENSG00000163216	1	153012201	153014407
ENSG00000163220	1	153330330	153333503
ENSG00000165272	9	33441152	33447609
ENSG00000165474	13	20761609	20767037
ENSG00000167526	16	89627065	89630950
ENSG00000167656	8	143866296	143868008
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000169469	1	153003678	153005376
ENSG00000169474	1	152956557	152958289
ENSG00000169509	1	152486978	152488486
ENSG00000170477	12	53200333	53208335
ENSG00000171345	17	39679869	39684560
ENSG00000171401	17	39657233	39661957
ENSG00000172005	2	95691422	95719737
ENSG00000175793	1	27189633	27190947
ENSG00000177600	11	809647	812880
ENSG00000178363	10	5566924	5568225
ENSG00000184009	17	79476997	79490873
ENSG00000184292	1	59041099	59043166
ENSG00000185275	Y	21154353	21154595
ENSG00000185479	12	52840435	52845910
ENSG00000186081	12	52908359	52914471
ENSG00000186832	17	39766030	39772151
ENSG00000186847	17	39738531	39743173
ENSG00000188643	1	153579362	153585621
ENSG00000189334	1	153586731	153589462
ENSG00000196205	9	135894816	135896553
ENSG00000196754	1	153533584	153540366
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000203785	1	153065611	153078660
ENSG00000204544	6	30951495	30957680
ENSG00000205420	12	52880958	52887041
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000229732	17	39657235	39658661
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234851	3	161146915	161147398
ENSG00000234964	11	59548786	59549195
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000241794	1	153028589	153030013
ENSG00000244398	11	16996240	16996560
ENSG00000256462	10	5566939	5567705
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
