ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000007062	4	15964699	16086001
ENSG00000007216	17	26800311	26824799
ENSG00000012223	3	46477136	46526724
ENSG00000043039	11	129245835	129322171
ENSG00000064886	1	111743393	111786062
ENSG00000078898	20	31595406	31611515
ENSG00000086548	19	42254885	42276113
ENSG00000087128	4	69313167	69363322
ENSG00000090382	12	69742121	69748014
ENSG00000094755	5	170190354	170241051
ENSG00000096006	6	49695097	49712150
ENSG00000102854	16	810762	818865
ENSG00000103355	16	2833954	2837949
ENSG00000105523	19	49104067	49118111
ENSG00000106541	7	16831435	16873057
ENSG00000107807	10	102889257	102897545
ENSG00000108244	17	39078948	39093886
ENSG00000109205	4	71062213	71070293
ENSG00000109208	4	71226478	71232875
ENSG00000110484	11	62037627	62040628
ENSG00000111215	12	10977559	11324212
ENSG00000114248	3	169556967	169587718
ENSG00000115507	2	63277192	63284971
ENSG00000116748	1	115215719	115238239
ENSG00000117507	1	171106879	171130707
ENSG00000117983	11	1244296	1283406
ENSG00000124102	20	43803517	43805185
ENSG00000124107	20	43880880	43883205
ENSG00000124664	6	34505579	34524110
ENSG00000125999	20	31861286	31897684
ENSG00000126549	4	70861647	70868287
ENSG00000126550	4	70916119	70924562
ENSG00000128422	17	39775689	39781094
ENSG00000132465	4	71521258	71547534
ENSG00000134339	11	18260770	18270190
ENSG00000134398	16	23701647	23724821
ENSG00000134827	11	59620273	59634048
ENSG00000135373	11	34642640	34682604
ENSG00000135374	11	34500340	34535352
ENSG00000135480	12	52626304	52645970
ENSG00000135773	1	230883130	230937749
ENSG00000137673	11	102391239	102401484
ENSG00000137675	11	102562218	102576537
ENSG00000140297	15	59887074	59932438
ENSG00000142224	1	206972215	207016324
ENSG00000145309	4	71200683	71202833
ENSG00000148346	9	130911350	130915734
ENSG00000148735	10	115511213	115543188
ENSG00000149968	11	102706532	102714534
ENSG00000151882	5	43376747	43412493
ENSG00000156689	11	58601542	58671688
ENSG00000157765	4	25656923	25680370
ENSG00000159763	7	142829170	142836839
ENSG00000160862	7	99564343	99573780
ENSG00000161055	5	180017103	180018540
ENSG00000161798	12	50355653	50359464
ENSG00000162078	16	2880170	2888967
ENSG00000162624	1	75594119	75627218
ENSG00000162896	1	207101863	207119811
ENSG00000163735	4	74861359	74864496
ENSG00000164825	8	6728097	6735544
ENSG00000167104	20	31619454	31631853
ENSG00000167419	17	56295909	56345879
ENSG00000168539	11	62676151	62689279
ENSG00000171124	19	5842899	5851485
ENSG00000171195	4	71296209	71348714
ENSG00000171199	4	71263599	71275911
ENSG00000171201	4	71235810	71255961
ENSG00000171209	4	71108305	71117145
ENSG00000173612	6	117113248	117150200
ENSG00000176009	11	8959119	8964580
ENSG00000176920	19	49199228	49209207
ENSG00000178172	5	147582357	147594700
ENSG00000178372	10	5540658	5541533
ENSG00000179826	11	18142502	18160027
ENSG00000179913	19	17905637	17923891
ENSG00000180053	8	23559964	23564111
ENSG00000180347	7	31553704	31698334
ENSG00000181143	19	8959520	9092018
ENSG00000181617	4	71091788	71100969
ENSG00000184530	6	127840600	127912962
ENSG00000184564	13	86366925	86373623
ENSG00000184709	9	140063210	140064503
ENSG00000185479	12	52840435	52845910
ENSG00000187533	4	70999333	71042516
ENSG00000187689	4	71384257	71398459
ENSG00000187908	10	124320181	124403252
ENSG00000189377	19	42932440	42947200
ENSG00000198488	11	76745385	76753096
ENSG00000198643	3	58619673	58652575
ENSG00000198768	20	57034157	57090187
ENSG00000204361	11	114549108	114579362
ENSG00000205592	12	40787197	40964632
ENSG00000206069	22	25331077	25342662
ENSG00000214128	7	138482695	138522846
ENSG00000218357	22	47857048	47882860
ENSG00000254709	22	23229960	23238287
ENSG00000267893	17	70036164	70036872
ENSG00000268194	2	121221911	121223697
ENSG00000269071	5	138852108	138852506
