ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000026025	10	17270258	17279592
ENSG00000034510	2	85132749	85133795
ENSG00000075624	7	5566782	5603415
ENSG00000087086	19	49468558	49470135
ENSG00000089157	12	120634489	120639038
ENSG00000099194	10	102106881	102124591
ENSG00000100097	22	38071615	38075813
ENSG00000100234	22	33197687	33259030
ENSG00000100316	22	39708887	39716394
ENSG00000101335	20	35169887	35178228
ENSG00000105193	19	39923847	39926588
ENSG00000106211	7	75931861	75933612
ENSG00000108298	17	37356536	37360980
ENSG00000110700	11	17095936	17099334
ENSG00000111341	12	15034115	15038860
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000113140	5	151040657	151066726
ENSG00000117289	1	145438469	145442635
ENSG00000118181	11	118886422	118889401
ENSG00000120129	5	172195093	172198198
ENSG00000122406	1	93297582	93307481
ENSG00000123689	1	209848765	209849733
ENSG00000125148	16	56642111	56643409
ENSG00000125730	19	6677715	6730573
ENSG00000128016	19	39897453	39900052
ENSG00000133112	13	45911008	45915505
ENSG00000136942	9	127620159	127624260
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000137970	1	97144430	97145176
ENSG00000140988	16	2012053	2014861
ENSG00000141753	17	38599702	38613983
ENSG00000142089	11	319669	327537
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143878	2	20646835	20649200
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000150991	12	125396150	125401914
ENSG00000152583	4	88394487	88452213
ENSG00000156508	6	74225473	74233520
ENSG00000161016	8	146015150	146017972
ENSG00000163453	4	57896939	57976551
ENSG00000166710	15	45003675	45011075
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000170323	8	82390654	82395498
ENSG00000170345	14	75745477	75748933
ENSG00000171223	19	12902310	12904124
ENSG00000173432	11	18287721	18291524
ENSG00000174444	15	66790355	66816870
ENSG00000177600	11	809647	812880
ENSG00000177666	11	818902	825573
ENSG00000179914	1	160846329	160854960
ENSG00000184009	17	79476997	79490873
ENSG00000185201	11	307631	315272
ENSG00000189058	3	195295573	195311076
ENSG00000196205	9	135894816	135896553
ENSG00000196616	4	100226121	100242558
ENSG00000197746	10	73576055	73611126
ENSG00000197766	19	859453	863453
ENSG00000197956	1	153507075	153508720
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198755	6	35436185	35438562
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000204592	6	30457244	30461982
ENSG00000205364	16	56666145	56667898
ENSG00000205542	X	12993227	12995346
ENSG00000210082	MT	1671	3229
ENSG00000211445	5	150400124	150408554
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234745	6	31321649	31324965
ENSG00000234851	3	161146915	161147398
ENSG00000234961	10	17275324	17276832
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000244398	11	16996240	16996560
ENSG00000244734	11	5246694	5250625
ENSG00000256545	10	102121397	102123376
ENSG00000259716	20	35177530	35232932
ENSG00000265401	17	16285466	16285983
ENSG00000267328	19	36245467	36246391
ENSG00000269888	3	161146900	161147401
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
