ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000037965	12	54402832	54407570
ENSG00000047936	6	117609463	117747018
ENSG00000060718	1	103342023	103574052
ENSG00000066279	1	197053258	197115824
ENSG00000072041	12	85253492	85307394
ENSG00000078098	2	163027194	163101661
ENSG00000082482	1	215179118	215410436
ENSG00000091986	3	112323407	112368377
ENSG00000100196	22	38864067	38879452
ENSG00000103888	15	81071684	81244117
ENSG00000104321	8	72932152	72987852
ENSG00000104415	8	134203282	134242587
ENSG00000105889	7	22459063	22672544
ENSG00000106366	7	100770370	100782547
ENSG00000107984	10	54074056	54077802
ENSG00000108688	17	32597240	32599261
ENSG00000108821	17	48260650	48278993
ENSG00000109272	4	74718906	74719872
ENSG00000111799	6	75794042	75915767
ENSG00000111981	6	150285143	150294846
ENSG00000112246	6	100832891	100912805
ENSG00000113083	5	121398890	121413980
ENSG00000113739	5	172741716	172756506
ENSG00000114251	3	55499743	55523973
ENSG00000115414	2	216225163	216300895
ENSG00000120708	5	135364584	135399507
ENSG00000122691	7	19060614	19157295
ENSG00000123364	12	54332535	54340328
ENSG00000123388	12	54366910	54371427
ENSG00000124875	4	74702214	74714781
ENSG00000125965	20	34021145	34042568
ENSG00000131737	17	39533902	39538655
ENSG00000134013	8	23154702	23282841
ENSG00000134668	1	32256023	32281652
ENSG00000136010	12	105413568	105478355
ENSG00000136231	7	23349828	23510086
ENSG00000136542	2	158114110	158170723
ENSG00000137801	15	39873280	39891667
ENSG00000137869	15	51500254	51630807
ENSG00000138675	4	81187753	81257834
ENSG00000138829	5	127593601	127994878
ENSG00000139209	12	47158546	47226191
ENSG00000144583	2	217122588	217236750
ENSG00000144810	3	99357319	99518070
ENSG00000148677	10	92671853	92681033
ENSG00000148848	10	127700950	128077024
ENSG00000148926	11	10326227	10328944
ENSG00000149948	12	66217911	66360075
ENSG00000149968	11	102706532	102714534
ENSG00000152977	3	147111209	147228080
ENSG00000154027	1	77747736	78025651
ENSG00000155511	5	152869175	153193429
ENSG00000156535	6	74405508	74538040
ENSG00000159184	17	46802125	46806540
ENSG00000159217	17	47074774	47133012
ENSG00000163064	2	119599747	119605254
ENSG00000163359	2	238232646	238323018
ENSG00000163661	3	157154578	157161417
ENSG00000163735	4	74861359	74864496
ENSG00000163739	4	74735110	74736959
ENSG00000164112	4	122680088	122686582
ENSG00000164647	7	89783689	89794143
ENSG00000164692	7	94023873	94060544
ENSG00000164932	8	104383743	104395225
ENSG00000165202	9	125376948	125378026
ENSG00000166073	15	40091233	40213093
ENSG00000166147	15	48700503	48938046
ENSG00000166396	18	61420169	61472604
ENSG00000166923	15	33010175	33026870
ENSG00000168779	3	157814948	157824292
ENSG00000169594	15	83924655	83953466
ENSG00000170961	8	122624356	122653630
ENSG00000174325	2	189598882	189654831
ENSG00000174697	7	127881337	127897681
ENSG00000174963	3	147103833	147124647
ENSG00000175592	11	65659520	65668044
ENSG00000180818	12	54378849	54384063
ENSG00000182261	11	7980971	7986973
ENSG00000182752	9	118916083	119164601
ENSG00000183160	12	108983622	108992096
ENSG00000183287	18	57098172	57364612
ENSG00000183671	2	207040040	207082771
ENSG00000184995	9	21480841	21482312
ENSG00000196549	3	154741913	154901497
ENSG00000196611	11	102660651	102668891
ENSG00000196876	12	51984050	52206648
ENSG00000197472	1	247108849	247171395
ENSG00000197632	18	61538926	61571124
ENSG00000198542	13	102104966	102375456
ENSG00000198796	18	56148479	56296189
ENSG00000204767	5	169291268	169407744
ENSG00000204941	19	43670408	43690688
ENSG00000206538	3	86987119	87040269
ENSG00000212724	17	39215495	39216344
ENSG00000221852	17	39182278	39183454
ENSG00000222022	2	238330063	238333919
ENSG00000231924	19	43370616	43383974
ENSG00000233608	2	239756673	239795893
ENSG00000243137	19	43696854	43711451
ENSG00000262003	17	812872	814452
