ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006116	16	24266874	24374122
ENSG00000008197	6	50681541	50740701
ENSG00000015592	8	27092840	27115937
ENSG00000022355	5	161274197	161326975
ENSG00000067715	12	79257773	79845788
ENSG00000070808	5	149599054	149669854
ENSG00000074317	5	176047085	176057530
ENSG00000078725	9	121915736	122131745
ENSG00000084453	12	21417534	21572528
ENSG00000087250	16	56622986	56625000
ENSG00000091428	2	173600002	173917621
ENSG00000091664	11	22359643	22401049
ENSG00000100095	22	26565440	26779562
ENSG00000100167	22	42372276	42394225
ENSG00000100427	22	50497820	50524331
ENSG00000100884	14	24540046	24547309
ENSG00000104888	19	49932658	49945617
ENSG00000105605	19	54412589	54447195
ENSG00000105642	19	18062102	18110889
ENSG00000106689	9	126763949	126795580
ENSG00000110436	11	35272753	35441610
ENSG00000112333	6	108487262	108510013
ENSG00000113100	5	26880709	27121257
ENSG00000114646	3	47603729	47622282
ENSG00000116147	1	175284330	175712906
ENSG00000116983	1	40144320	40157361
ENSG00000121905	1	33351595	33364042
ENSG00000124507	6	34433916	34503006
ENSG00000125462	1	156374042	156400493
ENSG00000126861	17	29599031	29624557
ENSG00000127585	16	742500	755829
ENSG00000129951	19	812518	821967
ENSG00000130287	19	19322782	19363042
ENSG00000131095	17	42982376	42994305
ENSG00000132639	20	10199478	10288066
ENSG00000132692	1	156611182	156629324
ENSG00000136535	2	162272605	162282381
ENSG00000136541	2	158175137	158184225
ENSG00000137766	15	54305101	54920806
ENSG00000144119	2	119913819	119916465
ENSG00000145920	5	175223313	175311023
ENSG00000146005	5	139175406	139224051
ENSG00000148482	10	18240768	18332221
ENSG00000150625	4	176554085	176923815
ENSG00000152595	4	88742563	88767969
ENSG00000152954	6	24126350	24155128
ENSG00000153266	3	62355356	62359999
ENSG00000154146	11	124609742	124617106
ENSG00000155886	9	19507450	19786926
ENSG00000155980	12	57943781	57980415
ENSG00000156076	12	65444406	65515346
ENSG00000160781	1	156213206	156217881
ENSG00000161681	19	51165084	51222707
ENSG00000162728	1	160051360	160060353
ENSG00000162975	2	11052063	11054350
ENSG00000163285	4	46037786	46126098
ENSG00000163630	3	63213991	63602597
ENSG00000164076	3	49895421	49907655
ENSG00000164089	4	109663196	109684210
ENSG00000164600	7	31377075	31380508
ENSG00000164794	8	110975874	110988076
ENSG00000165478	11	124789089	124806308
ENSG00000165566	13	25735822	25746426
ENSG00000166159	12	1929433	1945918
ENSG00000168314	3	39508689	39570970
ENSG00000168913	9	34521038	34523039
ENSG00000169006	2	11798304	11810290
ENSG00000170419	7	54610018	54638773
ENSG00000171532	17	37759789	37766030
ENSG00000171885	18	24432002	24445782
ENSG00000172020	3	115342171	115440337
ENSG00000174521	19	40721965	40724306
ENSG00000175874	2	101962013	102004057
ENSG00000176244	10	15119522	15130775
ENSG00000176884	9	140032842	140063207
ENSG00000176956	8	144239331	144242128
ENSG00000178233	6	44238203	44275243
ENSG00000180332	13	45766988	45775175
ENSG00000181418	12	49388932	49393092
ENSG00000182450	11	64058774	64067503
ENSG00000184221	21	34442450	34444726
ENSG00000185742	11	109292846	109299840
ENSG00000186297	15	27111510	27194354
ENSG00000187094	3	42299317	42307699
ENSG00000187135	19	30017406	30055386
ENSG00000187416	7	103969104	104549001
ENSG00000188011	2	242811752	242815975
ENSG00000188674	2	209030067	209054797
ENSG00000196104	4	167654535	168155947
ENSG00000196361	19	11562141	11591861
ENSG00000197430	10	98102973	98119092
ENSG00000197971	18	74690783	74845639
ENSG00000198822	7	86273230	86494200
ENSG00000204278	17	76227391	76237068
ENSG00000204655	6	29624758	29640149
ENSG00000205927	21	34398153	34401504
ENSG00000220575	7	154858777	154863267
ENSG00000221946	19	35634154	35645204
ENSG00000236279	7	139208602	139229730
ENSG00000268328	2	70129482	70129841
