ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000002933	7	150497491	150502208
ENSG00000072778	17	7120444	7128592
ENSG00000075624	7	5566782	5603415
ENSG00000087086	19	49468558	49470135
ENSG00000089220	12	118573663	118583389
ENSG00000091513	3	133464800	133497850
ENSG00000091583	17	64208151	64252643
ENSG00000104760	8	17721889	17767874
ENSG00000105697	19	35771619	35776046
ENSG00000106565	7	150488373	150498448
ENSG00000106927	9	116822407	116840752
ENSG00000109072	17	26691290	26700110
ENSG00000110169	11	6452279	6463847
ENSG00000110245	11	116700422	116703788
ENSG00000111275	12	112204691	112247782
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000113905	3	186378005	186396029
ENSG00000117601	1	173872947	173886516
ENSG00000118137	11	116706467	116708666
ENSG00000118271	18	29171689	29178974
ENSG00000120885	8	27454434	27472548
ENSG00000124253	20	56136136	56141513
ENSG00000125144	16	56700643	56701977
ENSG00000125148	16	56642111	56643409
ENSG00000125730	19	6677715	6730573
ENSG00000127884	10	135175984	135187193
ENSG00000129988	20	36974759	37005665
ENSG00000130203	19	45409011	45412650
ENSG00000130208	19	45417504	45422606
ENSG00000130649	10	135333910	135374724
ENSG00000132693	1	159682079	159684379
ENSG00000132703	1	159557615	159558655
ENSG00000133112	13	45911008	45915505
ENSG00000134240	1	120290619	120311528
ENSG00000134339	11	18260770	18270190
ENSG00000135744	1	230838269	230850043
ENSG00000136872	9	104182860	104198105
ENSG00000137818	15	69745123	69748255
ENSG00000138115	10	96796530	96829254
ENSG00000138207	10	95351444	95361501
ENSG00000141753	17	38599702	38613983
ENSG00000142089	11	319669	327537
ENSG00000143947	2	55459039	55462989
ENSG00000145192	3	186330712	186339107
ENSG00000145321	4	72607410	72669758
ENSG00000148965	11	18252896	18258440
ENSG00000149131	11	57364860	57382326
ENSG00000151224	10	82031576	82049440
ENSG00000158104	12	122277433	122301502
ENSG00000158874	1	161192082	161193421
ENSG00000159403	12	7187513	7245203
ENSG00000160862	7	99564343	99573780
ENSG00000162267	3	52828784	52843025
ENSG00000163586	2	88422510	88427635
ENSG00000163631	4	74262831	74287129
ENSG00000167711	17	1646130	1658562
ENSG00000167996	11	61727190	61735132
ENSG00000169136	19	50431959	50437192
ENSG00000169738	17	79993012	79995608
ENSG00000170315	17	16284112	16286059
ENSG00000171236	19	4536421	4540486
ENSG00000171557	4	155525286	155534119
ENSG00000171560	4	155504278	155511918
ENSG00000171564	4	155484108	155492238
ENSG00000172482	2	241807896	241819919
ENSG00000173432	11	18287721	18291524
ENSG00000182326	12	7096351	7178336
ENSG00000185624	17	79801035	79818570
ENSG00000187193	16	56716336	56718108
ENSG00000196616	4	100226121	100242558
ENSG00000197249	14	94843084	94857030
ENSG00000198099	4	100044808	100078949
ENSG00000198650	16	71599563	71611033
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000227097	11	82400571	82400944
ENSG00000228278	9	117092149	117095532
ENSG00000229314	9	117085336	117088755
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000235910	11	116706833	116726445
ENSG00000237973	1	566454	567996
ENSG00000255071	11	18252970	18270182
ENSG00000255974	19	41349443	41356352
ENSG00000257017	16	72088491	72094954
ENSG00000259827	16	56716382	56721719
ENSG00000262831	17	79801041	79801834
ENSG00000265401	17	16285466	16285983
ENSG00000269968	12	6646960	6647536
