ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000004846	7	20654830	20816658
ENSG00000005102	17	41717756	41739322
ENSG00000007314	17	62015914	62050278
ENSG00000008196	6	50786436	50815326
ENSG00000010319	3	52467069	52479101
ENSG00000012223	3	46477136	46526724
ENSG00000052850	11	44281994	44331716
ENSG00000065618	10	105791044	105845760
ENSG00000079435	19	42905659	42931578
ENSG00000081277	1	201252580	201302121
ENSG00000087510	20	55204358	55214339
ENSG00000094755	5	170190354	170241051
ENSG00000101280	20	853296	896977
ENSG00000107485	10	8095567	8117161
ENSG00000110484	11	62037627	62040628
ENSG00000113430	5	1877541	1887350
ENSG00000120332	1	175036994	175117202
ENSG00000124143	20	37230577	37279678
ENSG00000124664	6	34505579	34524110
ENSG00000124935	11	62009682	62012280
ENSG00000126545	4	70796799	70812289
ENSG00000128422	17	39775689	39781094
ENSG00000129455	19	51499263	51505967
ENSG00000129514	14	38059189	38069245
ENSG00000130876	19	33699570	33716756
ENSG00000131746	17	38632080	38657849
ENSG00000132746	11	67429633	67448671
ENSG00000133317	11	63273556	63284246
ENSG00000133937	14	95234553	95236562
ENSG00000134258	1	117686209	117753556
ENSG00000134339	11	18260770	18270190
ENSG00000134757	18	29027758	29058665
ENSG00000135218	7	79998891	80308593
ENSG00000135374	11	34500340	34535352
ENSG00000135917	2	228549926	228582728
ENSG00000136944	9	129376722	129463311
ENSG00000137203	6	10393419	10419892
ENSG00000137673	11	102391239	102401484
ENSG00000137675	11	102562218	102576537
ENSG00000138207	10	95351444	95361501
ENSG00000139865	14	38065052	38510647
ENSG00000140873	16	77281710	77469011
ENSG00000141750	17	37366789	37382125
ENSG00000145423	4	154701744	154710272
ENSG00000148513	10	37414785	37673039
ENSG00000148735	10	115511213	115543188
ENSG00000148965	11	18252896	18258440
ENSG00000149968	11	102706532	102714534
ENSG00000150750	11	111126707	111157126
ENSG00000151365	11	77774907	77779397
ENSG00000156076	12	65444406	65515346
ENSG00000156284	21	31586324	31588391
ENSG00000157150	3	12194551	12200851
ENSG00000159387	16	55357672	55364672
ENSG00000159763	7	142829170	142836839
ENSG00000160862	7	99564343	99573780
ENSG00000161649	17	41924516	41940997
ENSG00000162444	1	10057264	10076078
ENSG00000163064	2	119599747	119605254
ENSG00000165269	9	33384765	33402643
ENSG00000165810	5	180467225	180488523
ENSG00000166819	15	90207596	90222658
ENSG00000167588	12	50497602	50505102
ENSG00000167754	19	51446559	51456349
ENSG00000168269	5	169532901	169536727
ENSG00000170262	21	33664124	33687095
ENSG00000170323	8	82390654	82395498
ENSG00000170549	5	3596168	3601517
ENSG00000170561	5	2745959	2752969
ENSG00000171102	9	136080664	136084630
ENSG00000171199	4	71263599	71275911
ENSG00000171346	17	39669995	39678781
ENSG00000172551	12	55224303	55252177
ENSG00000173432	11	18287721	18291524
ENSG00000174697	7	127881337	127897681
ENSG00000175445	8	19759228	19824769
ENSG00000176194	18	12254318	12277594
ENSG00000176842	16	54964774	54968397
ENSG00000180660	13	36047926	36050832
ENSG00000180914	3	8792094	8811314
ENSG00000181092	3	186560463	186576252
ENSG00000181617	4	71091788	71100969
ENSG00000184292	1	59041099	59043166
ENSG00000184601	14	105046021	105056852
ENSG00000184811	17	1182957	1204281
ENSG00000185149	4	156129781	156138230
ENSG00000185479	12	52840435	52845910
ENSG00000186081	12	52908359	52914471
ENSG00000186458	20	238377	241737
ENSG00000186847	17	39738531	39743173
ENSG00000186910	14	94908801	94919127
ENSG00000187288	3	9908398	9921938
ENSG00000196917	12	123104824	123215390
ENSG00000197506	9	86890372	86955672
ENSG00000197769	1	242158792	242162375
ENSG00000203697	1	223711349	223853436
ENSG00000205186	8	82370576	82373814
ENSG00000206075	18	61143994	61172318
ENSG00000255798	11	102552041	102554644
ENSG00000267893	17	70036164	70036872
