ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006047	17	7191571	7197934
ENSG00000010318	3	52444673	52457657
ENSG00000034510	2	85132749	85133795
ENSG00000065978	1	43148098	43168020
ENSG00000068697	2	20232411	20251789
ENSG00000070756	8	101698044	101735037
ENSG00000075624	7	5566782	5603415
ENSG00000080824	14	102547075	102606036
ENSG00000087086	19	49468558	49470135
ENSG00000096384	6	44214824	44221620
ENSG00000099840	19	2096380	2099592
ENSG00000100316	22	39708887	39716394
ENSG00000101335	20	35169887	35178228
ENSG00000101439	20	23608534	23619110
ENSG00000103363	16	2821415	2827298
ENSG00000105679	19	36024314	36036218
ENSG00000105701	19	18642561	18654887
ENSG00000106013	7	117854727	117882785
ENSG00000107317	9	139871956	139879887
ENSG00000108298	17	37356536	37360980
ENSG00000110011	11	63997750	64001758
ENSG00000111640	12	6643093	6647537
ENSG00000111644	12	6747241	6756626
ENSG00000112306	6	133135580	133138703
ENSG00000113140	5	151040657	151066726
ENSG00000115241	2	27604061	27632554
ENSG00000115255	19	1491165	1497926
ENSG00000118137	11	116706467	116708666
ENSG00000118245	2	217724181	217724787
ENSG00000120885	8	27454434	27472548
ENSG00000122304	16	11369496	11370337
ENSG00000122406	1	93297582	93307481
ENSG00000122566	7	26229547	26241149
ENSG00000124172	20	57600522	57607437
ENSG00000124490	6	49660073	49681274
ENSG00000125652	19	6372444	6375042
ENSG00000128040	4	57676026	57687908
ENSG00000129538	14	21269387	21271437
ENSG00000133112	13	45911008	45915505
ENSG00000136942	9	127620159	127624260
ENSG00000137818	15	69745123	69748255
ENSG00000140932	16	66613351	66622178
ENSG00000142534	19	49999622	50002946
ENSG00000143933	2	47387221	47403740
ENSG00000143947	2	55459039	55462989
ENSG00000147378	X	150884507	150891666
ENSG00000150991	12	125396150	125401914
ENSG00000153363	1	211556145	211605878
ENSG00000155087	8	103563800	103573245
ENSG00000159069	9	139834887	139839148
ENSG00000161016	8	146015150	146017972
ENSG00000161036	7	102105376	102113615
ENSG00000163206	1	152850793	152857523
ENSG00000163467	1	156307105	156316786
ENSG00000166917	10	135059982	135061395
ENSG00000167468	19	1103936	1106787
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000170315	17	16284112	16286059
ENSG00000172270	19	571297	583493
ENSG00000175646	16	11374693	11375207
ENSG00000177600	11	809647	812880
ENSG00000178057	3	49057892	49060928
ENSG00000184009	17	79476997	79490873
ENSG00000185290	7	56182374	56184093
ENSG00000185594	15	97326619	97328845
ENSG00000187003	9	111624603	111626035
ENSG00000188229	9	140135665	140138159
ENSG00000197746	10	73576055	73611126
ENSG00000198033	13	19747910	19755992
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000203784	1	153175919	153177596
ENSG00000203942	10	99349450	99350690
ENSG00000210082	MT	1671	3229
ENSG00000211459	MT	648	1601
ENSG00000219435	11	64067863	64072242
ENSG00000221792	15	44085857	44085957
ENSG00000223874	2	217735495	217736362
ENSG00000225630	1	565020	566063
ENSG00000226958	X	108297361	108297792
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000228075	18	54814293	54817531
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234186	16	27078028	27080486
ENSG00000234199	2	114737146	114764879
ENSG00000236552	10	98510045	98510675
ENSG00000259716	20	35177530	35232932
ENSG00000260650	16	66613886	66614619
ENSG00000265401	17	16285466	16285983
ENSG00000269968	12	6646960	6647536
