ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006788	17	10201401	10276447
ENSG00000019102	11	124617368	124622134
ENSG00000042980	8	24151553	24216531
ENSG00000044012	1	42619092	42621495
ENSG00000066405	3	137717577	137752494
ENSG00000069764	16	14766405	14788526
ENSG00000070526	17	74620843	74639920
ENSG00000089116	12	113899839	113910085
ENSG00000095932	19	3474405	3480540
ENSG00000104321	8	72932152	72987852
ENSG00000105523	19	49104067	49118111
ENSG00000105641	19	17982782	18005983
ENSG00000105675	19	36040945	36054560
ENSG00000106541	7	16831435	16873057
ENSG00000107159	9	35673853	35681156
ENSG00000108602	17	19641297	19652256
ENSG00000109205	4	71062213	71070293
ENSG00000109511	4	169013666	169108841
ENSG00000110148	11	6280966	6293357
ENSG00000114248	3	169556967	169587718
ENSG00000115386	2	79347488	79350545
ENSG00000124232	20	43935491	43945803
ENSG00000124664	6	34505579	34524110
ENSG00000125798	20	22561643	22566093
ENSG00000125999	20	31861286	31897684
ENSG00000127324	12	71518865	71835678
ENSG00000129514	14	38059189	38069245
ENSG00000130957	9	97321002	97356075
ENSG00000131668	9	96713905	96717654
ENSG00000134216	1	111833484	111863188
ENSG00000134398	16	23701647	23724821
ENSG00000134812	11	59596741	59612974
ENSG00000134827	11	59620273	59634048
ENSG00000135773	1	230883130	230937749
ENSG00000139144	12	18400548	18801348
ENSG00000139219	12	48366748	48398269
ENSG00000146205	2	242127924	242164792
ENSG00000146755	7	72726535	72742085
ENSG00000157005	3	187386694	187388187
ENSG00000157017	3	10327359	10334631
ENSG00000157315	16	69377151	69385712
ENSG00000158516	7	129906667	129929638
ENSG00000159197	21	35736323	35743688
ENSG00000159212	21	36041688	36090525
ENSG00000160181	21	43766466	43771237
ENSG00000160182	21	43782391	43786703
ENSG00000163394	4	26483022	26492084
ENSG00000163993	4	6694796	6698897
ENSG00000164266	5	147204131	147211349
ENSG00000165841	10	96447911	96613017
ENSG00000166866	12	57422301	57444982
ENSG00000167105	17	48348767	48358844
ENSG00000167600	19	41698954	41713444
ENSG00000167653	8	143751726	143764142
ENSG00000168631	6	30908749	30921998
ENSG00000169340	16	20370492	20416059
ENSG00000169605	2	69201705	69208106
ENSG00000170298	17	20352708	20370852
ENSG00000170608	19	46367247	46377055
ENSG00000171431	17	39032193	39041479
ENSG00000171916	17	18380051	18398259
ENSG00000172461	6	96463860	96663488
ENSG00000173239	10	90562487	90580303
ENSG00000174502	1	205882176	205912588
ENSG00000174514	1	205538013	205572046
ENSG00000176153	14	65405870	65409531
ENSG00000178597	4	7432022	7436700
ENSG00000178882	12	124457788	124800570
ENSG00000179674	3	160394948	160396233
ENSG00000179913	19	17905637	17923891
ENSG00000180251	2	103089762	103150431
ENSG00000180861	12	13524023	13540101
ENSG00000182333	10	90424198	90438571
ENSG00000183134	11	60618413	60623444
ENSG00000183607	2	69172364	69180102
ENSG00000184956	11	1012821	1036706
ENSG00000185002	6	117198375	117253326
ENSG00000185499	1	155158300	155162707
ENSG00000186009	13	114303119	114312501
ENSG00000188959	9	112952328	112970469
ENSG00000189377	19	42932440	42947200
ENSG00000196188	1	206317459	206332104
ENSG00000196344	4	100333418	100356894
ENSG00000196611	11	102660651	102668891
ENSG00000197520	1	222910549	222924147
ENSG00000198074	7	134212344	134226160
ENSG00000198203	2	108905095	108926371
ENSG00000198488	11	76745385	76753096
ENSG00000198758	1	110292702	110306649
ENSG00000203697	1	223711349	223853436
ENSG00000215182	11	1151580	1222364
ENSG00000222001	2	233877324	233880595
ENSG00000229183	11	60989688	61018929
ENSG00000229859	11	60970779	60980570
ENSG00000233041	15	40643234	40648635
ENSG00000242515	2	234545100	234681951
ENSG00000256713	11	61008514	61018920
ENSG00000257987	12	49121218	49159569
ENSG00000263588	18	19668021	19678741
ENSG00000272214	12	121407641	121410095
