ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000005513	16	1031808	1036979
ENSG00000034971	1	171604557	171621823
ENSG00000064787	20	52553316	52687304
ENSG00000071991	18	64168320	64271375
ENSG00000075388	11	69587797	69590171
ENSG00000081138	18	63417488	63548638
ENSG00000087250	16	56622986	56625000
ENSG00000100146	22	38366693	38383429
ENSG00000101197	20	61867235	61871859
ENSG00000103089	16	74746853	74808729
ENSG00000103184	16	5008318	5069159
ENSG00000105227	19	40899675	40919273
ENSG00000105559	19	49340354	49371889
ENSG00000105695	19	35783028	35804707
ENSG00000105855	7	20370325	20455377
ENSG00000106483	7	37945543	38065297
ENSG00000106511	7	15650837	15726437
ENSG00000108018	10	108333421	108924292
ENSG00000109099	17	15133095	15168643
ENSG00000110975	12	33527173	33592754
ENSG00000111087	12	57853918	57866045
ENSG00000115596	2	219724544	219738955
ENSG00000116985	1	40222854	40254533
ENSG00000117394	1	43391052	43424530
ENSG00000120057	10	99526508	99531709
ENSG00000122877	10	64571756	64679660
ENSG00000127743	5	148750887	148783765
ENSG00000129910	16	89238175	89261900
ENSG00000132854	1	62702651	62785085
ENSG00000136546	2	167260083	167350757
ENSG00000137441	4	15961866	15970932
ENSG00000137877	15	42140345	42186275
ENSG00000138039	2	48859428	48982880
ENSG00000139354	12	100967461	101022064
ENSG00000139549	12	49483204	49488602
ENSG00000145040	3	48599160	48601206
ENSG00000145832	5	135170338	135224326
ENSG00000145839	5	135227935	135231516
ENSG00000146013	5	137588068	137610360
ENSG00000146147	6	53794780	54131078
ENSG00000147588	8	82352561	82359758
ENSG00000148734	10	72007085	72043432
ENSG00000149968	11	102706532	102714534
ENSG00000151360	2	3705785	3750261
ENSG00000152785	4	81952119	81978685
ENSG00000153902	19	35615417	35633355
ENSG00000158008	1	26346375	26362955
ENSG00000158887	1	161274525	161279762
ENSG00000160307	21	48018875	48025121
ENSG00000163673	3	36753913	36781352
ENSG00000163817	3	45796942	45838027
ENSG00000163873	1	37261128	37499730
ENSG00000164007	1	43198764	43205925
ENSG00000164303	4	185009859	185142383
ENSG00000164588	5	45259349	45696253
ENSG00000166091	14	23846017	23848981
ENSG00000166682	11	113558272	113577095
ENSG00000168843	4	162305049	163085187
ENSG00000169247	5	148303202	148442726
ENSG00000170075	1	202091986	202102720
ENSG00000170373	20	23728190	23731905
ENSG00000171819	1	11249398	11256038
ENSG00000175445	8	19759228	19824769
ENSG00000175785	14	94184644	94254827
ENSG00000176177	22	40139049	40289868
ENSG00000176204	2	76974845	77820445
ENSG00000176402	7	99520892	99527243
ENSG00000178235	13	84451344	84456528
ENSG00000178586	2	240984494	240985489
ENSG00000178734	13	76445187	76457947
ENSG00000180332	13	45766988	45775175
ENSG00000180777	18	14728271	14852737
ENSG00000181409	17	79091095	79139877
ENSG00000182083	2	240968841	240969906
ENSG00000184261	2	47743720	47798078
ENSG00000184454	1	24882602	24935819
ENSG00000184486	6	99282580	99286660
ENSG00000185634	15	49115932	49255641
ENSG00000185668	1	38509523	38512450
ENSG00000186047	13	51285144	51418075
ENSG00000186335	5	150694539	150727151
ENSG00000186417	15	51633826	51700210
ENSG00000187140	1	63788730	63790797
ENSG00000187616	9	136379708	136393734
ENSG00000188133	9	32783497	32787397
ENSG00000188487	11	15133970	15268754
ENSG00000188501	15	66839517	66858317
ENSG00000188580	6	124125286	125146803
ENSG00000188883	7	139137436	139168458
ENSG00000189056	7	103112231	103629963
ENSG00000189058	3	195295573	195311076
ENSG00000196169	17	72322349	72351959
ENSG00000197971	18	74690783	74845639
ENSG00000198454	9	139863695	139866442
ENSG00000214866	2	3751453	3836122
ENSG00000215018	7	7395834	7575484
ENSG00000219438	22	48885272	49246724
ENSG00000221818	8	25699246	25902913
ENSG00000261857	19	41277553	41283395
ENSG00000268351	11	69587254	69587718
