ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000053438	20	36149617	36152092
ENSG00000063177	19	49118585	49122793
ENSG00000069482	11	68451247	68458643
ENSG00000072778	17	7120444	7128592
ENSG00000075624	7	5566782	5603415
ENSG00000080824	14	102547075	102606036
ENSG00000087086	19	49468558	49470135
ENSG00000087460	20	57414773	57486247
ENSG00000089157	12	120634489	120639038
ENSG00000089199	20	5892076	5906007
ENSG00000089220	12	118573663	118583389
ENSG00000096384	6	44214824	44221620
ENSG00000100316	22	39708887	39716394
ENSG00000100604	14	93389425	93401638
ENSG00000102109	X	48689504	48694035
ENSG00000104826	19	49519237	49520338
ENSG00000104904	19	2269485	2273487
ENSG00000105193	19	39923847	39926588
ENSG00000105223	19	40854363	40886346
ENSG00000108298	17	37356536	37360980
ENSG00000108551	17	17397751	17399709
ENSG00000108654	17	62495734	62504317
ENSG00000109475	4	109541722	109551568
ENSG00000110700	11	17095936	17099334
ENSG00000111341	12	15034115	15038860
ENSG00000111640	12	6643093	6647537
ENSG00000112306	6	133135580	133138703
ENSG00000114391	3	101399935	101405626
ENSG00000115138	2	25383722	25391772
ENSG00000118181	11	118886422	118889401
ENSG00000122406	1	93297582	93307481
ENSG00000123349	12	53689075	53693234
ENSG00000124107	20	43880880	43883205
ENSG00000124172	20	57600522	57607437
ENSG00000133112	13	45911008	45915505
ENSG00000133169	X	102317579	102319168
ENSG00000134200	1	115572415	115576941
ENSG00000135346	6	87795216	87804824
ENSG00000136942	9	127620159	127624260
ENSG00000137154	9	19375713	19380252
ENSG00000137818	15	69745123	69748255
ENSG00000137970	1	97144430	97145176
ENSG00000140988	16	2012053	2014861
ENSG00000142534	19	49999622	50002946
ENSG00000142541	19	49990811	49995565
ENSG00000143933	2	47387221	47403740
ENSG00000143947	2	55459039	55462989
ENSG00000147403	X	153618315	153637504
ENSG00000148303	9	136215069	136218281
ENSG00000154277	4	41258430	41270472
ENSG00000156508	6	74225473	74233520
ENSG00000161016	8	146015150	146017972
ENSG00000166710	15	45003675	45011075
ENSG00000167526	16	89627065	89630950
ENSG00000167658	19	3976054	3985467
ENSG00000167996	11	61727190	61735132
ENSG00000170315	17	16284112	16286059
ENSG00000172179	6	22287480	22297730
ENSG00000174444	15	66790355	66816870
ENSG00000176840	19	4769117	4772545
ENSG00000177600	11	809647	812880
ENSG00000184009	17	79476997	79490873
ENSG00000184205	X	53111549	53117722
ENSG00000185559	14	101192042	101201539
ENSG00000196205	9	135894816	135896553
ENSG00000197746	10	73576055	73611126
ENSG00000198034	X	71475529	71497150
ENSG00000198695	MT	14149	14673
ENSG00000198712	MT	7586	8269
ENSG00000198727	MT	14747	15887
ENSG00000198755	6	35436185	35438562
ENSG00000198763	MT	4470	5511
ENSG00000198786	MT	12337	14148
ENSG00000198804	MT	5904	7445
ENSG00000198840	MT	10059	10404
ENSG00000198888	MT	3307	4262
ENSG00000210082	MT	1671	3229
ENSG00000211445	5	150400124	150408554
ENSG00000211459	MT	648	1601
ENSG00000213442	12	104659056	104659669
ENSG00000221792	15	44085857	44085957
ENSG00000225630	1	565020	566063
ENSG00000226958	X	108297361	108297792
ENSG00000227081	12	3320775	3321096
ENSG00000227097	11	82400571	82400944
ENSG00000231500	6	33239787	33244287
ENSG00000232573	14	99439216	99439638
ENSG00000234797	15	60060543	60061347
ENSG00000234851	3	161146915	161147398
ENSG00000235174	6	74082831	74082986
ENSG00000236552	10	98510045	98510675
ENSG00000244398	11	16996240	16996560
ENSG00000244734	11	5246694	5250625
ENSG00000258663	14	101300769	101327363
ENSG00000259384	17	61994560	61996179
ENSG00000262831	17	79801041	79801834
ENSG00000265401	17	16285466	16285983
ENSG00000269888	3	161146900	161147401
ENSG00000269968	12	6646960	6647536
ENSG00000273149	13	45914174	45915318
