ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006468	7	13930853	14031050
ENSG00000007372	11	31806340	31839509
ENSG00000011083	5	149569520	149602351
ENSG00000022355	5	161274197	161326975
ENSG00000043355	13	100634026	100639018
ENSG00000058335	15	79252289	79383115
ENSG00000079841	6	72596406	73112845
ENSG00000094796	17	39549976	39553844
ENSG00000100362	22	37196728	37215523
ENSG00000100987	20	25051521	25062996
ENSG00000102924	16	49311828	49315742
ENSG00000103310	16	21208773	21225831
ENSG00000104435	8	80523049	80578410
ENSG00000104888	19	49932658	49945617
ENSG00000106069	7	29161890	29553944
ENSG00000107295	9	17579080	17797127
ENSG00000109943	11	122709208	122743347
ENSG00000111262	12	5019071	5040527
ENSG00000112139	6	37600284	37667082
ENSG00000118160	19	47931274	47975425
ENSG00000119283	1	231297858	231357302
ENSG00000124140	20	44650356	44688784
ENSG00000124493	6	33989628	34123399
ENSG00000125492	9	135457572	135465653
ENSG00000127588	16	848041	850733
ENSG00000129159	11	17756359	17804602
ENSG00000129910	16	89238175	89261900
ENSG00000132130	17	35294084	35301917
ENSG00000132639	20	10199478	10288066
ENSG00000132872	18	40847843	40857615
ENSG00000135549	6	122793076	123047518
ENSG00000136531	2	166095912	166248818
ENSG00000137766	15	54305101	54920806
ENSG00000139767	12	119419300	119600856
ENSG00000139800	13	100615218	100624163
ENSG00000139899	14	24895738	24900160
ENSG00000140873	16	77281710	77469011
ENSG00000141837	19	13317256	13734804
ENSG00000143032	1	91177096	91182794
ENSG00000143847	1	202995626	203047868
ENSG00000143858	1	202559724	202679545
ENSG00000144550	3	9745491	9771592
ENSG00000145863	5	160974069	161129599
ENSG00000145864	5	160715436	160976050
ENSG00000146910	7	155266901	155326557
ENSG00000147488	8	53023399	53373519
ENSG00000149488	20	2517253	2622430
ENSG00000149654	20	44802372	44937137
ENSG00000152154	2	39892122	39945103
ENSG00000152214	18	40323192	40695657
ENSG00000152578	11	105480721	105852819
ENSG00000152822	6	146348782	146758734
ENSG00000152977	3	147111209	147228080
ENSG00000153820	2	228844666	229046361
ENSG00000154975	17	49707674	50237377
ENSG00000156299	21	32490734	32932290
ENSG00000157219	7	154862034	154877459
ENSG00000161992	16	610422	615528
ENSG00000162992	2	182537815	182545603
ENSG00000163032	2	17720393	17838285
ENSG00000163630	3	63213991	63602597
ENSG00000164438	5	170736288	170739138
ENSG00000164600	7	31377075	31380508
ENSG00000164778	7	155250824	155257526
ENSG00000164853	7	1272543	1276954
ENSG00000165023	9	93372114	93405386
ENSG00000165066	8	41502697	41508855
ENSG00000165588	14	57267425	57277197
ENSG00000166569	18	56942388	56985881
ENSG00000166862	22	36959968	37099603
ENSG00000167619	19	42817477	42829214
ENSG00000168843	4	162305049	163085187
ENSG00000169427	8	140613081	140715299
ENSG00000171246	17	78440948	78451643
ENSG00000171532	17	37759789	37766030
ENSG00000174521	19	40721965	40724306
ENSG00000174963	3	147103833	147124647
ENSG00000178233	6	44238203	44275243
ENSG00000183715	11	132284871	133402414
ENSG00000183760	19	39574553	39602133
ENSG00000184408	7	119913722	120390385
ENSG00000185518	15	91643180	91844539
ENSG00000186895	11	69624992	69633792
ENSG00000187730	1	1950780	1962192
ENSG00000189056	7	103112231	103629963
ENSG00000196132	20	62783144	62873604
ENSG00000204001	9	139648838	139652678
ENSG00000215397	20	642240	656823
ENSG00000218672	7	155174771	155189051
ENSG00000220575	7	154858777	154863267
ENSG00000231824	18	5145284	5197502
ENSG00000234965	22	42307297	42310570
ENSG00000237289	15	43885252	43897099
ENSG00000255994	14	70037483	70038032
ENSG00000259803	16	89262406	89268072
ENSG00000260903	20	30555805	30591190
ENSG00000267228	18	44661027	44702652
ENSG00000267909	14	70038216	70040339
ENSG00000268146	1	244227632	244231211
ENSG00000268674	1	16865561	16866070
