ensembl_gene_id	chromosome_name	start_position	end_position
ENSG00000006074	17	34391640	34399392
ENSG00000013588	12	13043716	13070871
ENSG00000018280	2	219246752	219261617
ENSG00000019169	2	119699742	119752236
ENSG00000047936	6	117609463	117747018
ENSG00000066405	3	137717577	137752494
ENSG00000078081	3	182840001	182881627
ENSG00000080618	13	46627321	46679211
ENSG00000085265	9	137801431	137809809
ENSG00000086548	19	42254885	42276113
ENSG00000087589	20	54987168	55034396
ENSG00000089225	12	114791736	114846247
ENSG00000096088	6	41704449	41721847
ENSG00000102854	16	810762	818865
ENSG00000104918	19	7733930	7735334
ENSG00000105989	7	116916685	116963343
ENSG00000108576	17	28521337	28563020
ENSG00000110195	11	71900602	71907345
ENSG00000114812	3	42530791	42579059
ENSG00000115602	2	102927962	102968497
ENSG00000118113	11	102582526	102597781
ENSG00000119457	9	115641200	115653193
ENSG00000119535	1	36931644	36948879
ENSG00000121075	17	59529765	59562471
ENSG00000122852	10	81370695	81375196
ENSG00000123838	1	207277607	207318317
ENSG00000124237	20	56725960	56736206
ENSG00000124731	6	41235664	41254457
ENSG00000125872	20	6021424	6034695
ENSG00000125999	20	31861286	31897684
ENSG00000128383	22	39348746	39359188
ENSG00000131203	8	39759794	39785963
ENSG00000131400	19	50861734	50869087
ENSG00000133661	10	81697496	81742370
ENSG00000134216	1	111833484	111863188
ENSG00000134917	11	130274820	130298888
ENSG00000136155	13	78109809	78219398
ENSG00000136352	14	36985602	36990354
ENSG00000140379	15	80253231	80263788
ENSG00000140678	16	31366455	31394318
ENSG00000142748	1	27695603	27701315
ENSG00000144285	2	166845670	166984523
ENSG00000149021	11	62172575	62190667
ENSG00000149435	20	23965690	23969416
ENSG00000154342	1	228194752	228248961
ENSG00000156076	12	65444406	65515346
ENSG00000157765	4	25656923	25680370
ENSG00000158764	1	160914815	160924589
ENSG00000159339	1	17634690	17690499
ENSG00000161055	5	180017103	180018540
ENSG00000163221	1	153346184	153348125
ENSG00000163283	2	233243244	233247599
ENSG00000163464	2	219027568	219031718
ENSG00000163736	4	74852755	74853914
ENSG00000164265	5	147250245	147261754
ENSG00000164400	5	131409483	131411859
ENSG00000164821	8	6793344	6795860
ENSG00000164935	8	105351315	105368917
ENSG00000166292	17	53796988	53809482
ENSG00000166527	12	8662071	8674962
ENSG00000166961	11	60524426	60544205
ENSG00000168484	8	22014426	22021992
ENSG00000168631	6	30908749	30921998
ENSG00000168878	2	85884437	85895864
ENSG00000170367	20	23856572	23860387
ENSG00000170786	8	57212569	57233335
ENSG00000170866	19	54799854	54809952
ENSG00000171049	19	52255279	52273779
ENSG00000171611	6	42883727	42893573
ENSG00000171885	18	24432002	24445782
ENSG00000172752	3	130064359	130203688
ENSG00000173391	12	10310902	10324737
ENSG00000173467	7	16899029	16921611
ENSG00000178084	3	183770835	183778459
ENSG00000179813	13	43355686	43365683
ENSG00000182010	10	63942794	64028466
ENSG00000183019	19	7741514	7744712
ENSG00000183607	2	69172364	69180102
ENSG00000185303	10	81315608	81320153
ENSG00000186074	17	72690452	72709117
ENSG00000186407	17	72606026	72619897
ENSG00000186431	19	55385704	55401838
ENSG00000187908	10	124320181	124403252
ENSG00000188817	3	63638344	63664696
ENSG00000189377	19	42932440	42947200
ENSG00000196188	1	206317459	206332104
ENSG00000196260	6	30899130	30899952
ENSG00000198183	20	31823801	31831115
ENSG00000203697	1	223711349	223853436
ENSG00000203985	1	54474412	54483856
ENSG00000204305	6	32148745	32152101
ENSG00000204424	6	31674640	31685581
ENSG00000206047	8	6835171	6837602
ENSG00000206384	3	130279178	130396999
ENSG00000229415	14	36942493	36983034
ENSG00000239839	8	6873391	6875823
ENSG00000240247	8	6854288	6875778
ENSG00000243566	7	76139745	76648340
ENSG00000248801	8	69215703	69243726
ENSG00000259803	16	89262406	89268072
